Variable:,pr
Country:,Guinea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.00,9.55,25.64,62.75,154.23,219.10,340.63,425.29,341.41,193.00,47.37,7.35
1902,3.00,9.55,25.64,60.89,132.60,218.32,332.12,407.66,319.09,201.82,48.56,7.35
1903,13.51,9.55,26.78,47.61,140.16,233.67,419.44,382.58,320.91,199.63,62.82,13.51
1904,6.50,9.55,28.72,40.08,136.28,223.73,488.14,482.19,348.54,285.10,48.17,7.35
1905,2.60,8.43,22.13,63.68,119.59,279.60,377.14,362.15,417.18,314.51,74.19,6.03
1906,15.76,15.95,26.81,112.83,229.95,336.08,223.37,597.14,460.82,195.06,77.43,20.26
1907,2.55,8.26,22.42,53.78,122.45,264.20,195.38,502.70,328.50,184.91,57.82,5.35
1908,2.93,4.69,23.19,70.21,122.35,201.62,251.97,644.55,506.06,172.06,41.46,5.30
1909,4.25,10.04,26.38,67.54,141.35,237.50,333.41,423.15,366.69,188.06,43.08,9.11
1910,2.40,9.18,28.00,56.62,107.40,235.57,235.77,442.44,432.04,201.76,35.31,8.31
1911,2.40,8.47,25.83,55.96,143.87,320.48,304.87,333.27,355.72,198.27,55.49,6.84
1912,2.67,9.35,21.77,46.48,97.42,237.16,546.36,437.02,251.50,206.55,60.95,5.15
1913,4.90,9.97,18.70,52.33,154.26,214.89,254.71,482.43,342.80,198.90,56.21,23.43
1914,1.70,10.28,17.61,60.78,101.34,252.73,238.00,329.93,393.54,197.08,101.59,1.63
1915,0.66,4.97,42.89,91.85,189.16,208.78,373.44,469.78,332.86,171.31,76.01,3.43
1916,0.75,9.72,51.07,52.04,120.81,226.04,305.82,544.10,398.57,150.53,36.79,15.43
1917,2.80,10.37,35.29,48.51,94.72,160.75,241.74,508.03,387.96,191.78,64.39,7.24
1918,3.25,8.55,25.12,65.85,261.39,273.81,375.74,500.60,354.68,169.74,43.81,7.05
1919,2.91,9.87,24.22,68.56,188.88,237.37,344.46,422.81,382.06,160.76,37.49,5.53
1920,3.33,7.98,19.16,58.68,128.17,270.90,311.96,491.81,357.62,146.77,50.45,6.25
1921,3.34,15.64,39.56,64.66,116.79,192.34,413.10,369.15,341.47,189.99,79.49,13.96
1922,3.72,3.72,26.51,78.81,122.81,200.26,278.56,472.23,420.67,276.27,98.26,16.45
1923,0.80,9.33,45.14,87.53,107.63,245.23,321.09,378.91,371.35,210.92,115.37,7.80
1924,11.69,27.97,22.30,56.00,132.82,274.28,388.28,441.62,407.67,208.11,82.03,1.21
1925,1.00,7.28,53.42,59.03,153.03,263.63,277.79,415.87,374.88,298.44,56.21,5.44
1926,3.12,2.10,29.00,50.18,120.68,277.58,314.32,458.60,371.28,149.28,84.30,4.66
1927,1.09,7.80,24.38,74.30,193.00,289.35,317.71,441.75,409.84,256.31,58.40,3.99
1928,3.59,1.88,38.64,83.80,147.72,232.97,384.05,520.04,413.51,266.83,32.83,7.32
1929,1.85,15.01,38.52,82.47,146.55,317.64,287.16,514.74,408.83,200.36,28.73,1.85
1930,7.08,18.38,27.56,61.43,157.94,229.03,304.94,355.26,378.53,199.24,18.46,9.38
1931,6.14,11.51,40.54,90.48,192.24,267.09,435.39,365.45,379.30,184.77,73.74,10.62
1932,3.17,19.98,38.33,99.07,195.53,265.83,332.11,476.41,382.91,203.45,86.70,6.58
1933,3.04,28.40,28.88,72.73,134.29,348.81,409.92,423.12,334.79,157.27,107.51,28.21
1934,0.51,4.15,32.62,54.73,54.05,240.15,393.87,441.91,328.24,235.33,40.21,2.47
1935,6.99,6.15,18.19,53.69,91.76,298.20,376.85,423.66,345.21,189.68,62.56,4.19
1936,2.33,20.75,24.67,100.73,223.40,273.13,303.23,416.16,371.86,204.36,108.29,5.43
