Variable:,pr
Country:,"Gambia, The"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.00,0.21,0.03,0.61,21.19,187.23,390.57,394.68,210.92,66.84,6.82,0.10
1902,0.00,0.21,0.03,0.47,23.00,53.86,217.97,309.56,158.28,108.21,0.81,0.10
1903,0.03,0.21,0.03,0.49,3.82,207.00,139.68,433.12,157.22,66.45,0.61,0.10
1904,0.00,0.21,0.03,0.45,3.73,125.74,239.83,471.27,162.66,54.44,4.06,0.10
1905,0.00,0.35,0.03,0.48,13.45,139.32,333.56,390.08,187.98,198.19,11.81,0.03
1906,0.05,0.22,0.03,0.52,12.63,136.77,470.04,639.49,250.90,94.73,10.88,1.13
1907,0.61,0.01,0.08,0.47,0.91,47.36,173.32,350.37,261.16,67.86,0.25,0.03
1908,0.00,0.01,0.04,0.47,0.50,49.48,172.43,547.46,291.69,66.00,0.16,1.79
1909,0.00,0.01,0.04,0.61,3.74,154.04,249.06,452.93,285.22,127.88,1.56,0.86
1910,0.00,0.01,0.00,0.18,0.92,72.06,253.05,432.91,266.88,58.39,1.49,0.03
1911,0.00,0.01,0.00,0.17,22.97,66.77,167.22,383.28,211.04,55.84,3.41,1.11
1912,0.00,0.01,0.00,0.17,0.46,55.94,170.44,358.08,282.82,61.62,4.68,0.03
1913,2.09,0.01,0.04,0.47,0.82,86.88,207.79,241.59,170.51,44.70,0.16,5.21
1914,0.00,0.01,0.00,0.17,4.73,139.35,216.90,477.08,314.23,78.78,32.32,0.03
1915,0.00,0.01,0.00,0.22,9.02,91.06,397.77,529.35,225.70,52.65,1.04,0.03
1916,0.00,0.44,0.04,0.61,0.56,112.06,262.56,475.96,265.77,53.40,0.16,0.03
1917,0.00,0.02,0.04,0.60,5.88,87.94,159.10,494.68,341.59,54.99,0.21,0.03
1918,0.28,0.00,0.03,0.31,18.78,161.18,236.28,474.46,354.18,153.43,0.13,0.03
1919,0.00,0.00,0.03,0.96,27.46,95.06,250.88,310.51,293.02,66.54,0.13,0.03
1920,0.12,0.64,0.00,0.34,3.33,86.90,199.87,423.80,300.98,99.55,0.11,0.00
1921,0.00,0.01,0.02,0.41,4.02,102.88,151.68,401.03,300.98,89.88,0.22,0.08
1922,0.00,0.00,0.00,0.30,24.76,56.20,198.96,386.43,296.76,194.22,4.08,0.06
1923,0.33,0.00,0.00,0.67,3.25,71.17,238.63,382.75,229.98,144.76,8.46,2.15
1924,0.92,0.00,0.00,0.12,1.49,160.74,379.00,426.36,345.38,40.70,11.60,0.00
1925,0.00,0.00,0.08,0.15,5.52,139.47,202.75,408.95,286.85,112.83,0.34,0.00
1926,0.61,0.04,0.00,0.04,0.82,127.38,266.46,310.46,260.79,42.90,1.46,0.00
1927,0.00,0.00,0.00,0.53,39.07,176.03,193.71,598.40,323.78,222.51,15.06,0.72
1928,0.00,0.04,0.01,0.42,19.47,72.63,253.35,580.88,262.57,173.14,13.82,0.01
1929,0.00,0.00,0.00,0.05,5.67,171.55,218.62,463.56,362.77,83.56,0.00,4.13
1930,0.05,0.42,0.00,0.09,4.16,145.43,188.40,371.34,316.38,91.31,1.05,0.46
1931,0.00,1.68,0.00,0.18,33.11,79.17,283.96,147.18,338.12,60.74,1.74,0.00
1932,0.24,0.00,0.00,1.69,45.74,134.91,214.40,501.60,276.26,44.47,1.76,0.00
1933,0.31,0.00,0.00,0.00,22.58,199.48,356.09,417.67,279.54,76.44,22.03,0.00
1934,0.00,0.00,0.02,0.04,0.00,77.94,188.36,450.09,272.93,68.73,3.22,0.04
1935,0.62,0.00,0.02,0.00,4.51,151.58,324.49,506.35,281.53,108.04,8.62,0.00
