Variable:,pr
Country:,Guinea-Bissau
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.04,0.44,0.13,1.80,81.64,184.88,505.87,592.39,261.33,198.32,15.29,0.57
1902,0.04,0.44,0.13,1.63,78.07,128.51,262.00,485.52,241.29,219.68,11.06,0.57
1903,0.22,0.44,0.08,0.92,26.62,243.01,350.24,488.48,267.81,210.66,10.62,0.57
1904,0.04,0.44,0.13,0.80,24.24,177.46,459.35,586.51,288.86,207.80,24.13,0.57
1905,0.03,0.31,0.07,1.73,27.12,248.71,527.84,433.14,322.21,286.73,62.18,0.09
1906,0.03,0.59,0.07,4.03,51.82,301.05,366.16,771.97,428.21,225.90,22.46,6.56
1907,0.06,0.01,0.07,1.08,13.67,165.22,136.89,649.31,361.19,94.31,15.99,0.09
1908,0.04,0.01,0.07,1.34,15.04,79.68,250.68,805.49,489.25,139.45,9.23,1.39
1909,0.04,0.01,0.14,1.80,13.69,264.33,350.21,498.38,485.04,186.42,1.91,0.11
1910,0.00,0.01,0.09,0.89,8.49,172.49,239.16,598.83,491.80,176.38,12.10,0.87
1911,0.00,0.01,0.02,0.17,66.20,217.53,247.52,449.86,324.49,146.83,19.00,1.29
1912,0.00,0.01,0.01,0.17,6.24,153.43,454.17,510.33,289.24,168.12,40.08,0.04
1913,0.77,0.01,0.07,0.93,21.35,142.88,198.21,474.97,294.15,114.91,9.77,9.49
1914,0.00,0.01,0.01,0.27,21.34,187.82,293.77,605.46,533.63,184.93,131.04,0.04
1915,0.00,0.01,0.03,2.60,42.11,137.40,504.28,646.35,274.38,120.92,19.40,0.06
1916,0.03,0.08,0.18,1.90,15.55,126.09,345.24,781.80,389.55,116.49,6.07,0.15
1917,0.04,0.22,0.37,0.90,21.37,125.62,262.23,640.08,450.86,163.05,17.41,0.09
1918,0.07,0.01,0.13,1.62,104.71,295.86,410.17,635.70,503.10,254.11,1.83,0.09
1919,0.04,0.01,0.13,2.48,110.55,188.14,357.96,498.28,410.67,133.87,1.83,0.09
1920,0.05,0.53,0.05,1.62,21.03,169.03,324.41,618.41,467.20,178.77,4.52,0.08
1921,0.11,0.08,0.13,1.62,25.96,159.98,324.50,569.83,430.54,187.09,20.91,2.55
1922,0.00,0.00,0.05,2.08,76.54,131.75,332.36,554.82,432.06,331.19,28.30,1.35
1923,0.01,0.00,0.08,2.95,21.37,142.00,339.83,524.60,346.79,241.80,72.30,2.23
1924,0.19,0.03,0.00,1.29,16.96,217.92,396.83,623.62,426.53,149.46,33.67,0.01
1925,0.01,0.00,0.34,0.52,36.30,181.00,292.71,603.43,426.46,258.33,12.42,0.01
1926,0.24,0.19,0.00,0.32,14.80,239.97,389.66,483.71,363.72,122.04,14.64,0.16
1927,0.00,0.00,0.02,1.85,130.24,242.88,284.79,659.90,432.14,341.77,56.01,1.09
1928,0.00,0.19,0.13,2.53,48.93,147.57,370.50,662.54,405.29,284.82,22.35,0.01
1929,0.00,0.00,0.03,0.55,26.54,241.45,284.45,653.85,533.66,176.86,3.96,1.88
1930,0.13,0.58,0.02,0.83,16.51,220.18,320.80,440.60,394.93,226.89,10.39,0.10
1931,0.06,0.86,0.07,1.03,78.23,182.80,406.03,284.80,424.07,155.90,22.25,0.68
1932,0.21,0.03,0.11,4.93,95.98,222.20,368.26,693.40,396.29,133.07,24.76,0.03
1933,0.10,0.02,0.02,0.28,70.22,340.96,549.44,483.70,456.00,141.04,60.16,0.38
1934,0.00,0.00,0.16,0.65,2.12,188.67,332.10,604.91,387.57,224.09,13.59,0.23
1935,0.28,0.00,0.19,0.28,8.98,265.18,413.17,695.68,421.85,215.41,72.84,0.07
1936,0.10,0.08,0.13,0.84,96.82,277.09,378.48,677.86,401.43,257.45,49.41,0.50
1937,0.02,0.03,0.11,1.20,5.99,173.26,336.16,550.19,385.71,286.00,17.26,0.01
1938,0.00,0.00,0.53,0.13,72.82,121.14,327.15,645.94,418.36,256.45,26.98,0.00
1939,0.02,0.01,0.10,0.07,21.81,156.22,330.00,587.13,409.41,256.86,23.47,0.70
1940,0.11,0.00,0.00,0.23,64.36,183.98,252.22,557.34,369.29,405.47,26.17,0.14
1941,0.03,0.26,0.07,0.58,73.88,161.09,246.26,404.74,498.80,68.24,7.32,0.10
1942,0.00,2.26,0.00,1.19,50.78,194.64,384.31,539.16,390.28,191.19,50.49,1.77
1943,0.01,0.07,0.01,1.43,31.30,239.15,309.38,570.82,461.94,285.26,40.70,2.41
1944,0.00,0.14,0.13,0.76,18.05,221.53,309.90,451.66,379.52,242.06,48.33,0.12
1945,0.00,0.00,0.03,2.35,10.07,142.50,341.17,544.79,447.84,135.75,35.46,0.00
1946,0.00,0.00,0.12,1.38,5.15,154.89,425.93,562.93,404.34,208.70,10.18,0.00
1947,0.00,0.00,0.00,0.06,2.09,189.03,269.56,588.19,463.10,186.25,20.39,1.08
1948,0.00,0.11,0.01,0.16,26.80,250.26,351.52,518.60,319.70,183.76,0.88,0.00
1949,0.00,0.00,0.08,0.32,7.21,181.53,396.96,526.20,309.20,141.27,17.91,8.81
1950,0.01,0.00,0.01,0.15,87.40,192.78,517.44,714.51,453.51,320.67,65.22,0.00
1951,0.04,0.00,0.07,1.75,72.26,168.35,326.67,556.59,397.92,453.75,85.65,0.09
1952,0.14,0.50,0.29,0.09,76.03,156.23,440.56,388.18,559.38,290.74,24.31,1.34
1953,0.26,0.00,0.02,0.17,18.44,175.29,402.72,549.23,385.69,270.75,88.48,0.34
1954,0.00,3.06,0.02,0.61,26.37,209.08,525.72,713.54,339.05,127.53,159.84,2.66
1955,0.31,1.49,0.14,3.02,50.17,252.05,492.44,545.90,386.65,248.46,44.25,3.80
1956,0.01,0.04,0.23,0.15,47.32,220.78,395.27,570.81,460.17,182.36,69.17,8.66
1957,0.51,0.44,0.23,0.10,0.76,150.58,362.68,645.10,420.72,381.68,28.13,4.14
1958,0.53,1.17,0.10,3.04,53.58,337.63,453.03,629.34,361.68,219.27,114.62,1.72
1959,0.32,1.50,0.26,0.04,51.18,123.56,288.95,719.88,330.36,122.08,57.04,0.38
1960,0.10,0.97,0.06,0.10,19.72,211.42,384.98,527.84,448.95,155.23,20.64,0.02
1961,0.00,0.62,0.05,0.27,26.74,237.90,403.47,583.54,487.42,134.22,21.47,1.44
1962,0.39,0.46,0.00,0.12,76.72,187.22,352.43,528.22,404.69,234.16,50.15,0.00
1963,0.48,0.44,0.05,0.19,8.93,115.62,333.48,624.44,341.56,338.33,26.03,0.16
1964,0.49,1.69,0.21,13.00,83.73,262.60,469.89,455.23,453.86,146.55,2.55,3.96
1965,0.00,0.41,0.22,0.49,21.10,137.42,383.25,680.16,522.20,257.17,58.12,1.31
1966,0.17,0.39,0.07,1.12,45.60,258.11,213.26,381.82,446.39,364.56,18.71,0.03
1967,0.03,0.00,0.01,0.20,20.16,167.15,365.17,516.68,480.49,336.20,7.50,0.05
1968,0.00,2.11,0.00,4.94,16.14,118.38,274.59,282.54,369.06,210.96,7.57,0.00
1969,0.00,0.00,0.12,1.37,32.66,126.19,500.61,560.88,422.66,317.00,29.61,0.06
1970,0.00,0.11,0.09,0.04,94.55,141.70,377.05,604.31,313.11,107.77,7.82,0.44
1971,0.09,0.00,0.00,0.67,10.25,197.38,317.45,535.93,403.65,116.56,2.88,0.00
1972,0.16,0.06,0.01,0.03,37.39,121.66,286.57,375.26,264.37,167.21,20.74,0.00
1973,0.00,0.00,0.00,0.26,44.45,168.44,316.66,544.64,261.23,100.21,3.67,1.68
1974,0.00,0.00,0.01,0.06,13.26,73.84,423.88,506.26,342.74,99.67,84.79,0.00
