Variable:,pr
Country:,"Equatorial Guinea"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,103.33,159.00,353.49,311.71,285.88,235.31,73.04,49.39,220.63,398.30,274.82,156.57
1902,178.49,171.30,299.78,266.61,281.93,117.09,38.82,168.61,280.48,443.30,281.41,199.30
1903,122.53,160.83,247.17,248.79,242.32,86.60,92.03,135.05,307.96,416.10,261.07,276.16
1904,165.80,73.11,292.03,242.03,322.01,156.07,51.92,91.70,182.99,397.35,307.88,79.63
1905,109.41,211.58,200.94,218.73,309.46,59.76,32.84,74.32,305.63,533.59,394.91,237.53
1906,100.37,258.41,235.44,231.16,213.40,84.86,37.83,56.84,202.70,353.99,304.82,245.13
1907,98.90,286.10,216.30,332.79,254.92,51.30,22.82,51.76,171.94,430.57,299.60,88.64
1908,192.19,103.39,287.72,349.62,173.87,102.87,35.23,205.09,243.30,559.06,315.71,120.65
1909,167.56,206.41,300.68,219.62,248.49,140.70,48.62,123.70,308.13,469.27,367.34,230.32
1910,119.19,97.02,203.25,257.40,389.28,202.61,34.08,80.00,384.46,502.90,310.09,108.66
1911,197.95,115.82,231.22,210.18,267.86,67.17,37.98,64.89,170.17,361.29,268.22,221.70
1912,179.79,144.25,190.94,252.65,291.77,160.72,75.16,184.69,260.42,440.73,284.46,100.21
1913,36.81,214.81,168.21,227.32,403.63,238.79,37.07,40.46,69.23,226.01,146.60,35.54
1914,132.25,233.78,222.06,282.45,74.35,92.27,16.19,50.28,283.51,300.19,284.70,156.94
1915,116.35,135.95,243.85,246.79,294.72,120.71,68.62,85.19,273.14,481.11,307.49,147.60
1916,121.60,142.07,239.49,250.47,282.21,123.19,67.04,75.63,267.49,477.36,302.23,149.21
1917,120.82,144.50,227.73,240.20,258.52,118.57,57.34,96.88,264.13,471.15,309.64,152.28
1918,123.86,135.88,233.30,247.66,261.82,118.39,65.16,87.58,270.54,467.80,300.78,138.86
1919,118.95,144.77,228.83,243.87,278.46,113.16,58.61,77.84,268.88,457.97,298.74,139.81
1920,124.34,132.24,223.48,260.74,269.93,127.70,55.18,95.65,268.87,463.58,300.47,142.63
1921,122.75,133.79,241.14,248.27,275.89,119.28,53.88,86.91,266.55,455.20,299.23,157.57
1922,146.30,216.35,248.29,240.85,252.81,134.48,41.49,97.12,306.05,470.98,323.08,211.50
1923,120.82,146.84,171.89,203.75,203.68,108.32,40.53,96.56,354.36,538.25,310.06,164.02
1924,311.96,172.32,273.44,239.61,202.65,79.64,41.21,64.23,207.73,457.74,442.85,281.04
1925,59.70,82.63,183.23,206.17,272.50,140.53,43.78,104.45,250.66,467.53,324.24,210.04
1926,143.30,144.43,275.20,286.34,304.59,100.52,51.70,74.50,285.87,491.67,441.24,211.17
1927,161.91,167.20,162.93,246.27,297.34,165.26,83.63,86.31,225.79,457.14,299.55,403.66
1928,329.30,130.16,260.30,309.94,277.24,150.09,42.87,94.59,329.28,464.29,329.59,248.48
1929,55.68,187.74,324.07,304.43,304.58,132.47,41.70,110.64,286.33,534.90,265.90,330.41
1930,195.93,135.40,271.01,304.47,231.73,163.04,22.66,69.27,314.01,464.84,208.62,272.25
1931,89.30,122.41,156.86,292.43,295.91,169.36,44.29,52.60,227.41,504.19,373.14,233.57
1932,65.17,81.95,250.49,218.73,268.96,126.51,30.36,67.96,260.19,468.78,293.26,145.36
1933,158.46,184.00,284.35,247.69,250.12,90.41,49.91,61.11,177.79,484.81,390.06,240.71
1934,84.40,74.42,216.43,275.84,308.52,221.39,70.67,65.48,305.37,531.95,392.26,144.72
1935,150.85,163.72,284.41,290.48,239.92,138.00,47.15,102.61,303.60,478.90,169.44,222.88
1936,89.56,127.50,253.56,258.98,263.05,105.55,39.64,77.87,256.79,392.10,197.41,237.23
1937,65.15,165.17,187.79,247.55,298.49,256.87,49.65,78.98,160.16,467.94,224.22,131.87
1938,140.74,148.17,210.84,293.76,268.23,103.98,35.38,108.51,232.96,523.27,322.44,255.32
1939,115.44,227.85,208.05,234.85,335.48,131.62,28.60,63.09,213.54,415.08,288.25,131.87
1940,212.98,149.63,210.97,282.41,251.56,90.44,27.27,73.82,240.95,358.34,221.89,146.95
1941,43.58,151.28,229.01,276.64,398.66,119.68,42.05,42.49,192.40,331.52,238.39,110.41
1942,132.93,217.24,168.07,252.39,286.33,93.12,49.70,66.67,205.59,374.46,240.57,257.38
1943,219.97,170.48,257.39,234.16,263.26,56.48,31.79,83.82,228.04,405.54,364.23,229.15
1944,66.96,137.70,296.94,251.11,351.77,119.59,38.16,97.98,350.59,502.54,221.73,129.84
1945,227.06,73.57,177.98,211.28,281.83,112.78,58.89,88.50,305.28,566.55,265.36,181.56
1946,147.88,149.93,211.16,253.44,187.57,86.09,57.25,96.80,354.14,526.21,322.97,217.18
1947,142.38,187.64,186.72,293.28,367.46,259.60,28.77,109.11,348.07,397.02,307.60,230.61
1948,205.06,181.64,186.18,299.85,217.21,232.82,56.04,123.35,239.55,481.36,245.01,226.12
1949,111.12,139.98,215.36,220.81,286.07,189.46,104.85,109.25,423.34,428.16,290.45,98.36
1950,200.85,133.61,294.93,249.54,296.61,160.24,15.63,136.72,268.58,579.27,319.30,143.01
1951,162.11,126.81,277.85,226.81,369.07,98.47,36.60,65.64,305.24,612.55,361.74,153.09
1952,161.09,162.98,250.18,365.92,408.05,167.93,57.06,61.33,269.47,533.92,307.65,186.41
1953,131.82,218.68,262.79,226.08,307.15,134.72,58.66,65.31,159.52,419.68,371.50,83.62
1954,86.10,212.61,236.56,292.61,265.94,91.01,25.14,49.76,290.02,534.32,360.66,124.57
