Variable:,pr
Country:,Kenya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.43,61.00,63.63,175.74,76.20,21.11,24.51,12.34,21.01,35.84,99.55,57.42
1902,8.68,45.42,39.66,129.98,88.75,36.36,54.02,30.34,19.42,77.42,137.23,72.42
1903,44.36,40.65,51.38,140.88,92.05,55.44,30.08,22.46,33.15,48.22,47.57,59.39
1904,17.59,16.58,57.72,117.83,121.13,38.14,32.55,37.59,19.82,61.34,123.54,61.12
1905,26.67,9.72,157.43,128.27,90.34,28.37,24.16,33.97,25.97,69.94,112.03,50.20
1906,10.83,56.01,127.31,192.30,96.91,59.59,25.42,42.97,22.69,67.84,82.53,44.11
1907,42.39,17.97,15.56,170.02,130.41,33.72,25.64,21.74,11.40,65.43,81.60,29.98
1908,12.73,22.45,52.10,147.80,107.69,37.50,36.60,39.50,18.92,73.46,85.60,52.03
1909,17.18,7.19,34.24,161.06,57.24,26.32,41.90,41.03,32.13,54.45,113.50,122.67
1910,28.11,5.76,42.01,130.61,93.48,28.63,42.15,23.96,13.39,39.15,94.31,52.37
1911,8.16,18.26,58.35,165.87,106.01,33.02,30.28,41.81,17.02,36.90,145.34,19.23
1912,21.05,88.74,58.04,195.58,77.48,26.90,27.90,29.59,24.59,28.97,127.78,88.00
1913,10.13,36.38,112.93,127.63,109.73,49.81,25.62,20.55,12.71,71.05,72.07,35.58
1914,46.30,16.03,58.20,111.85,121.09,33.30,34.28,50.66,28.70,49.82,134.36,25.03
1915,7.36,9.38,77.92,149.95,133.39,62.17,25.06,15.33,27.35,45.50,114.76,51.84
1916,51.57,24.60,52.95,200.18,97.47,33.57,25.98,36.64,49.45,38.78,94.13,73.93
1917,68.77,43.53,64.48,226.48,118.36,54.57,27.16,49.75,25.58,64.12,38.60,8.58
1918,14.91,9.51,17.42,150.72,66.83,30.78,37.64,20.67,16.62,48.16,54.21,49.64
1919,4.17,34.18,92.87,127.27,54.26,31.56,44.33,27.93,34.77,91.83,67.47,20.01
1920,7.59,3.59,112.35,156.14,78.25,33.79,22.69,14.57,22.68,72.57,99.50,58.31
1921,21.83,12.42,21.51,85.01,103.52,29.27,33.29,22.45,15.43,50.48,63.82,29.54
1922,15.07,33.71,83.82,87.67,124.37,23.49,25.50,45.99,26.78,55.57,51.46,55.84
1923,18.14,41.58,70.65,197.09,149.76,39.96,39.51,18.22,31.93,82.12,96.44,42.62
1924,8.35,32.05,54.21,140.18,58.43,53.89,23.45,40.23,17.63,36.08,92.34,42.07
1925,58.70,17.81,66.49,40.05,58.31,34.14,39.80,30.17,11.95,77.97,171.52,39.27
1926,14.83,23.40,80.06,194.41,138.76,28.39,37.94,26.27,55.05,37.25,116.54,26.25
1927,14.95,14.10,105.43,116.36,79.46,27.68,24.36,21.84,16.96,49.17,67.64,62.78
1928,26.50,8.91,34.35,110.22,104.72,48.55,16.27,21.66,14.71,45.82,128.93,30.03
1929,15.61,3.62,26.68,95.27,56.52,40.82,47.06,27.20,39.33,84.09,86.98,103.40
1930,46.08,30.34,151.82,198.07,96.25,28.73,27.34,24.80,33.45,68.49,90.97,64.96
1931,13.85,30.55,73.05,134.23,93.85,22.27,36.83,37.55,33.69,52.92,77.61,47.01
1932,20.76,22.48,93.05,110.80,128.25,32.88,35.07,37.85,42.99,27.42,62.75,90.55
1933,64.76,11.37,22.74,61.49,43.22,20.61,33.45,45.52,27.65,53.01,87.66,70.78
1934,5.44,7.66,26.52,114.43,119.67,51.41,44.34,33.34,10.57,53.25,42.87,61.22
1935,2.07,61.86,32.69,95.73,154.25,47.94,17.87,42.25,42.17,42.18,95.40,63.41
1936,46.61,66.76,76.79,182.28,76.04,64.29,25.20,31.32,32.63,58.88,62.63,66.53
1937,20.75,16.77,94.43,178.39,148.97,41.74,29.63,30.95,14.35,98.42,112.31,55.50
1938,29.57,11.90,53.23,98.72,94.59,32.14,39.37,34.82,22.28,73.09,71.86,72.65
1939,15.68,17.95,38.22,129.39,90.98,30.10,28.61,28.26,15.45,43.90,63.46,17.40
1940,30.40,57.09,113.10,195.13,79.23,23.87,32.43,34.06,12.67,56.19,75.38,24.34
1941,11.77,23.07,75.16,197.83,98.80,49.83,23.96,28.24,19.12,67.40,111.48,96.14
1942,14.07,12.03,125.24,146.06,131.06,31.35,23.69,35.39,12.62,24.31,79.24,27.03
1943,9.65,34.85,23.68,116.55,101.74,50.30,31.33,36.64,21.31,24.37,46.90,55.02
1944,29.25,6.80,50.59,133.85,76.58,30.44,40.23,34.41,36.19,66.88,105.49,58.03
1945,13.03,17.66,21.93,39.37,135.98,45.11,36.03,45.53,35.27,35.33,95.65,33.02
1946,4.58,4.02,24.13,133.48,87.33,36.71,28.20,56.69,53.92,86.21,50.98,29.71
1947,41.96,19.29,88.41,189.18,116.46,41.33,33.66,42.64,40.47,33.01,64.98,49.04
1948,8.00,15.21,60.30,139.47,61.51,39.94,35.92,29.66,20.57,83.41,84.38,72.52
1949,5.44,12.80,8.63,124.03,74.88,27.17,37.26,31.29,27.46,23.62,36.56,63.24
1950,14.62,7.92,97.85,145.28,91.13,28.93,39.55,32.21,22.30,29.10,55.48,15.63
1951,11.65,12.40,96.01,233.19,144.98,36.97,39.43,28.19,18.04,117.74,144.90,118.73
1952,5.32,18.26,35.67,145.85,115.15,18.75,20.86,28.10,33.66,36.49,90.05,24.52
1953,29.30,6.50,39.03,128.11,116.47,31.68,28.26,35.72,21.67,87.80,100.75,39.56
1954,9.65,11.16,20.66,182.77,130.98,38.53,35.99,33.74,27.04,32.12,82.24,35.72
1955,27.67,36.03,29.60,121.70,97.42,25.05,28.58,44.01,31.19,35.39,65.01,67.21
1956,72.40,20.59,50.56,140.39,67.38,29.12,22.88,35.21,23.22,40.15,99.77,42.05
1957,47.84,12.61,62.76,158.17,177.61,41.54,23.86,23.34,18.96,53.43,124.55,69.20
1958,28.93,55.83,54.01,127.89,111.21,56.14,48.61,26.78,16.87,29.18,50.78,74.64
1959,35.80,25.72,59.26,144.59,115.88,22.38,31.91,31.46,22.09,39.18,94.75,35.14
1960,23.23,16.85,126.59,127.95,74.51,29.49,23.99,26.02,22.11,85.71,53.63,37.99
1961,10.71,21.99,38.79,126.69,82.67,29.83,47.31,47.62,63.11,162.96,317.96,107.05
1962,50.65,10.04,68.02,129.32,124.48,30.06,31.87,39.18,27.02,63.43,77.76,62.42
1963,34.21,37.80,67.77,230.21,101.18,36.96,28.68,37.82,22.86,25.40,171.63,136.22
1964,32.87,38.81,67.13,189.47,62.35,33.24,40.90,36.83,31.38,52.18,40.99,101.50
1965,33.67,7.75,37.85,122.45,55.81,25.12,19.56,20.42,23.54,82.49,144.49,32.16
1966,20.55,47.94,96.83,183.58,58.39,33.66,23.02,43.50,24.43,82.85,84.58,16.58
1967,7.18,10.11,45.65,196.12,166.81,43.95,48.82,36.08,43.13,114.69,165.68,22.16
1968,2.03,73.87,132.81,224.31,120.10,62.88,33.43,24.54,12.88,73.09,187.16,83.78
1969,49.74,61.82,79.13,50.57,116.46,23.25,23.43,32.25,24.31,63.53,107.39,17.61
1970,80.35,12.80,119.95,169.77,74.23,23.74,26.84,38.72,25.43,36.88,47.77,30.41
1971,19.35,5.56,25.94,166.44,111.34,56.34,31.31,35.19,23.39,61.17,53.48,56.23
1972,19.25,48.69,24.28,73.32,126.04,38.82,25.00,22.93,33.71,126.20,125.08,36.44
1973,39.48,32.96,9.65,83.30,76.58,36.48,18.55,36.71,37.75,38.70,84.62,15.87
1974,10.31,12.82,97.65,145.06,65.23,38.74,55.53,31.91,23.49,30.82,60.14,35.57
1975,14.61,7.54,38.34,132.94,101.70,44.29,53.67,35.99,40.59,44.58,50.01,24.57
1976,8.81,21.93,19.33,107.50,78.97,33.65,38.01,29.04,36.91,28.48,70.67,49.65
1977,39.71,21.12,46.17,218.64,98.23,37.87,32.20,39.63,23.57,102.03,184.80,55.55
1978,44.20,65.00,144.88,144.80,68.32,32.09,30.96,28.92,30.58,95.22,95.06,76.71
1979,90.59,55.06,75.20,145.10,128.06,58.60,32.53,23.97,18.67,35.22,83.21,52.68
1980,19.76,9.00,30.97,94.60,111.37,19.57,22.46,40.61,16.01,27.69,100.06,25.46
1981,7.36,10.47,159.64,208.45,98.50,21.44,32.32,37.84,29.61,60.17,50.48,36.53
1982,9.73,11.73,40.39,164.50,162.20,32.17,30.98,29.78,35.61,154.52,144.31,67.77
1983,13.00,34.10,16.72,122.42,97.53,41.03,32.49,38.61,33.42,47.14,53.72,64.02
1984,9.61,5.32,13.74,98.18,45.15,31.26,35.48,16.15,20.25,85.48,129.34,48.22
1985,19.28,35.87,82.46,151.58,136.63,23.94,35.34,22.90,19.76,47.87,74.40,33.39
1986,11.03,8.60,51.78,190.25,102.72,41.78,26.23,20.15,19.66,41.75,107.69,63.24
1987,23.97,16.32,35.40,119.85,154.62,51.58,25.51,37.38,14.14,19.01,85.94,13.92
1988,37.78,12.81,65.62,233.52,57.28,51.80,41.10,43.44,46.69,49.75,92.40,70.51
1989,41.92,25.07,65.13,155.06,93.09,23.83,29.50,32.44,38.55,72.36,122.42,81.82
1990,30.97,60.98,120.77,181.11,62.12,18.92,19.51,22.75,21.36,59.31,92.43,79.76
1991,32.97,11.47,75.71,87.12,119.17,32.22,36.59,34.68,17.07,44.73,63.74,57.99
1992,13.47,15.42,18.47,129.79,83.33,29.81,35.95,33.03,28.53,52.04,108.57,101.62
1993,65.87,51.47,32.75,82.99,118.56,48.29,14.99,23.56,14.96,61.78,76.95,46.94
1994,6.35,16.85,53.24,121.06,81.53,42.47,43.56,34.51,18.40,92.02,170.76,56.73
1995,10.14,33.25,70.95,159.56,71.71,23.09,27.53,33.52,26.87,87.93,74.08,45.13
1996,24.54,26.83,77.03,77.61,89.94,45.68,31.78,26.72,23.24,21.52,88.04,7.90
1997,9.44,1.58,45.14,200.74,79.04,45.36,26.50,28.94,9.28,188.18,243.89,119.22
1998,58.85,56.05,51.94,123.31,161.77,67.59,39.55,30.53,22.05,31.58,75.46,13.67
1999,17.54,3.78,88.57,103.25,59.94,31.22,33.54,34.92,21.15,63.95,108.98,46.58
2000,13.38,6.26,42.77,81.13,56.80,36.98,18.16,34.83,24.24,57.69,81.69,44.50
2001,65.86,8.74,65.79,109.89,63.69,35.53,29.99,28.96,27.43,42.65,132.70,27.06
2002,29.71,45.52,47.22,194.51,94.04,18.19,19.03,28.46,43.29,87.24,80.11,127.38
2003,10.21,5.26,47.02,183.93,127.47,26.81,28.55,27.96,25.71,56.53,78.22,32.77
2004,42.71,20.13,55.85,134.19,78.53,32.31,26.59,28.19,23.41,75.10,94.43,46.97
2005,21.74,21.07,57.70,84.91,93.97,29.86,27.90,31.64,24.96,67.42,47.98,35.93
2006,23.05,21.67,83.25,142.97,91.79,25.47,25.07,44.32,43.59,82.10,144.26,68.12
2007,28.10,25.40,57.98,132.67,97.17,31.71,40.47,69.04,59.25,48.37,74.38,51.95
2008,24.06,28.16,109.82,103.95,80.18,30.45,23.47,30.24,31.24,87.48,111.23,27.44
2009,28.32,26.34,33.04,119.57,81.86,29.62,27.88,22.84,19.61,120.84,89.72,83.69
2010,37.46,40.45,90.58,130.13,84.53,37.19,26.38,37.45,23.53,54.20,69.24,44.46
2011,21.17,26.95,81.05,81.30,91.20,29.98,20.32,29.62,32.30,81.22,112.90,40.36
2012,32.20,17.52,33.62,158.49,101.88,37.44,27.23,39.12,37.30,92.22,126.86,112.91
2013,35.29,21.86,128.25,161.06,76.29,26.86,25.09,53.71,40.55,40.74,84.86,73.77
2014,20.48,32.36,67.82,73.45,71.46,42.67,28.42,33.95,32.45,66.11,105.67,52.40
2015,26.24,25.84,60.85,148.69,100.02,44.31,30.12,30.02,31.21,81.98,163.58,65.31
2016,48.65,18.51,35.33,174.90,76.32,33.02,30.30,25.23,14.35,43.32,119.28,92.95
2017,25.57,27.61,64.31,276.18,90.08,22.55,59.07,45.98,35.70,120.43,261.66,29.45
2018,35.54,46.76,64.73,151.07,185.09,64.46,22.88,54.02,31.91,58.30,47.63,73.02
2019,57.29,49.90,96.92,145.31,102.10,39.85,39.27,32.35,20.52,245.16,181.70,135.77
2020,87.18,27.68,68.16,151.98,66.05,27.30,88.06,43.38,38.68,70.24,95.90,43.92
2021,68.90,43.81,116.91,149.84,105.95,14.80,70.65,29.56,44.86,118.94,211.10,53.80
