Variable:,pr
Country:,Lesotho
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,93.50,131.98,166.09,60.82,9.35,6.99,13.97,36.00,70.96,111.64,81.54,111.12
1902,101.58,107.08,166.47,56.03,14.70,44.69,18.23,22.86,83.75,78.15,35.63,102.03
1903,56.63,123.95,35.26,101.02,60.36,9.97,2.99,5.92,2.01,53.16,78.05,69.65
1904,167.20,122.16,62.27,38.15,30.15,28.92,5.65,6.77,30.47,42.65,59.68,66.38
1905,140.62,159.51,131.87,38.15,39.73,14.78,1.90,13.50,72.36,14.20,78.61,138.02
1906,151.44,100.10,105.96,25.51,31.46,11.14,0.78,5.60,81.37,95.45,130.40,134.92
1907,168.09,146.63,154.19,115.41,82.79,6.16,12.71,0.87,63.14,84.50,130.46,157.08
1908,101.04,96.26,120.59,43.83,9.27,34.65,16.90,45.04,83.08,116.13,97.41,97.77
1909,249.08,267.24,105.24,70.87,98.49,0.01,4.13,8.76,82.01,33.61,88.84,193.00
1910,194.31,148.81,101.26,22.48,37.37,12.32,5.34,5.05,83.01,168.10,50.33,96.36
1911,110.50,80.18,181.54,79.21,57.15,10.73,31.98,25.60,43.35,92.81,146.34,63.11
1912,95.93,174.92,74.35,84.98,42.12,26.80,15.25,0.94,1.50,40.55,40.54,148.11
1913,83.06,133.23,159.14,39.92,12.85,9.31,15.60,25.15,53.79,81.47,58.13,16.35
1914,78.60,102.21,73.30,75.28,38.84,10.08,2.07,43.68,17.29,93.51,115.76,164.47
1915,182.50,138.79,53.14,24.43,43.92,12.39,30.55,6.42,41.99,92.83,147.90,101.14
1916,116.23,77.71,97.77,73.02,25.96,4.06,10.46,0.91,24.11,71.71,52.21,143.37
1917,153.41,145.12,107.01,54.96,20.93,33.25,37.09,56.22,43.39,51.21,144.18,136.39
1918,113.67,136.12,159.51,8.73,24.91,6.23,35.28,62.46,79.09,57.69,65.79,106.01
1919,102.90,54.56,88.76,83.48,6.36,9.49,17.99,10.77,52.21,23.68,120.98,35.45
1920,141.37,152.06,182.25,27.51,21.27,3.72,4.87,11.16,61.03,88.44,53.02,65.05
1921,85.88,156.74,156.96,59.33,33.59,3.22,1.06,5.17,51.71,42.01,139.76,171.37
1922,145.08,74.66,48.61,12.12,31.59,43.61,10.35,36.80,11.95,88.76,151.80,94.55
1923,157.50,140.20,63.49,60.28,50.23,49.44,39.21,20.45,4.60,38.52,74.55,64.05
1924,108.94,94.53,200.42,25.68,15.96,4.11,5.59,8.50,95.23,93.02,151.36,164.23
1925,98.22,135.47,239.22,123.07,57.23,8.05,5.38,5.74,53.19,65.63,88.42,67.39
1926,108.26,92.36,148.06,15.74,26.92,24.67,1.98,1.34,67.88,90.33,113.61,116.73
1927,100.91,102.07,176.61,21.54,11.93,2.45,37.76,24.76,6.02,116.14,44.02,163.95
1928,158.07,100.18,96.56,39.83,9.47,7.20,0.58,12.15,33.43,94.30,91.19,137.57
1929,135.21,66.76,146.65,21.84,38.18,59.71,47.57,15.22,140.17,53.73,101.07,166.09
1930,124.62,82.16,135.42,77.55,19.43,9.83,7.31,26.62,18.10,71.48,56.15,88.55
1931,153.97,102.04,104.72,132.99,2.01,1.83,62.68,0.96,0.30,75.19,115.82,74.81
1932,88.22,150.33,99.84,9.33,26.02,7.06,4.72,0.47,40.93,34.13,86.20,103.78
1933,57.10,79.08,93.59,44.85,13.44,10.59,17.75,2.57,7.39,20.72,196.47,209.75
1934,252.59,107.70,125.29,73.36,74.29,4.86,46.69,32.42,12.08,102.52,178.99,157.49
1935,81.54,97.67,135.56,65.10,55.62,13.55,3.77,34.64,14.66,61.05,69.14,111.70
1936,95.83,115.86,104.48,29.40,79.36,4.91,7.57,0.41,10.92,99.49,205.72,122.14
1937,191.83,169.59,103.42,22.58,18.69,2.38,11.57,1.71,18.10,44.52,59.23,105.78
1938,140.70,152.66,42.03,98.77,21.32,41.80,25.84,42.48,23.98,103.24,73.75,146.34
1939,166.16,189.56,58.36,22.39,55.73,3.99,37.75,44.86,40.08,119.18,132.69,92.82
1940,77.98,105.40,105.57,82.60,64.21,13.61,11.47,2.56,103.19,29.08,103.72,148.02
1941,139.45,148.05,64.67,77.58,9.80,3.20,27.45,6.57,40.47,111.13,15.52,51.69
1942,169.96,143.66,141.32,64.68,23.98,7.47,0.53,54.59,36.25,108.73,141.06,187.70
1943,125.24,64.93,106.16,128.30,92.64,3.92,25.60,62.83,22.16,157.62,194.33,200.90
1944,103.77,137.54,92.47,16.47,43.01,52.25,1.27,0.94,89.00,83.95,80.93,28.88
1945,90.78,111.59,167.94,30.18,43.39,3.22,2.73,3.27,3.19,34.01,49.22,74.93
1946,142.93,88.04,121.90,46.37,63.07,7.95,7.40,0.39,18.21,129.52,87.67,95.39
