Variable:,pr
Country:,Morocco
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,62.29,60.68,62.79,33.92,16.81,8.14,4.89,6.06,33.85,41.21,48.74,73.90
1902,24.36,59.91,44.56,39.50,20.61,8.48,9.53,10.25,13.07,49.14,66.86,40.39
1903,25.07,13.46,33.97,32.86,29.03,10.00,1.58,4.79,17.58,17.38,21.93,95.62
1904,48.26,68.94,78.04,56.28,17.20,19.57,1.75,4.40,20.34,23.71,40.66,39.26
1905,24.77,17.37,17.20,30.75,39.82,9.29,3.70,1.58,6.04,80.11,88.01,29.56
1906,20.59,19.33,41.65,48.90,39.87,9.51,5.48,11.70,17.34,34.37,36.99,52.51
1907,31.53,48.33,47.72,19.63,22.36,2.91,2.37,9.33,25.70,35.39,85.41,36.86
1908,50.02,36.29,45.33,24.65,15.57,20.19,1.43,5.60,9.82,18.14,57.23,40.11
1909,39.90,37.52,61.39,39.63,30.56,3.85,1.64,1.91,8.89,40.54,77.14,36.70
1910,17.13,14.18,27.81,28.74,59.41,11.34,0.98,4.69,9.44,32.44,30.22,61.32
1911,49.64,27.84,73.55,51.11,24.30,6.83,1.23,7.13,8.93,32.95,46.41,35.34
1912,87.54,73.70,42.59,49.41,6.79,5.20,3.19,4.36,26.60,53.15,16.74,52.82
1913,33.57,34.44,36.79,20.64,16.88,4.67,1.20,7.23,13.51,37.45,20.46,32.17
1914,77.07,68.95,38.60,47.72,4.20,2.29,5.46,4.10,8.66,26.64,76.99,68.38
1915,64.26,21.06,46.44,23.60,24.29,9.88,1.68,1.06,8.37,42.28,50.49,47.41
1916,32.75,31.68,83.55,34.38,25.22,4.68,1.01,3.89,7.76,18.98,60.77,55.71
1917,91.42,58.65,48.20,20.42,21.34,18.19,0.55,1.12,3.44,11.84,10.58,69.27
1918,53.54,15.51,47.31,51.49,22.66,4.66,3.63,6.32,5.23,33.58,56.58,36.38
1919,40.82,38.46,33.81,21.49,5.18,14.91,0.39,0.73,26.40,38.74,62.39,44.59
1920,37.56,54.49,45.80,10.45,12.37,6.00,0.47,1.71,10.43,30.18,63.04,53.96
