Variable:,pr
Country:,Mozambique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,220.61,238.23,145.63,93.68,25.62,33.98,9.85,10.11,27.34,33.60,69.71,180.57
1902,270.42,170.46,199.20,47.75,20.08,9.80,9.19,8.79,12.93,19.92,84.81,97.41
1903,245.37,127.10,109.29,53.79,24.27,8.78,9.57,14.43,10.51,17.46,88.93,165.45
1904,261.13,204.80,191.98,67.70,37.27,23.00,12.66,10.29,9.47,27.31,64.68,226.54
1905,166.89,226.62,157.88,47.38,14.02,8.28,14.33,7.93,7.24,13.29,95.57,160.58
1906,224.04,244.43,138.09,43.52,20.91,9.90,14.30,7.72,11.62,31.24,82.82,138.88
1907,208.23,299.73,157.77,107.11,15.50,15.66,28.39,4.51,8.60,20.74,111.84,197.72
1908,168.80,232.09,137.90,83.11,20.82,8.59,16.00,5.83,6.42,13.33,93.62,184.20
1909,273.57,202.42,140.40,59.99,28.79,21.71,13.56,9.62,12.98,14.87,45.94,114.68
1910,161.42,220.39,204.85,76.12,17.15,24.09,16.16,4.97,6.99,27.49,63.75,172.35
1911,278.07,220.75,158.71,67.15,64.24,24.34,14.93,16.06,12.86,15.26,43.70,129.26
1912,216.55,140.97,101.90,41.36,22.72,20.24,19.38,8.21,6.65,8.13,38.42,216.26
1913,207.75,194.35,176.93,86.25,40.55,15.66,3.73,4.86,8.98,14.61,95.38,119.22
1914,212.53,202.67,183.85,89.54,19.92,18.26,19.28,12.40,2.13,7.10,65.57,166.20
1915,238.67,217.24,145.35,44.34,26.43,16.74,8.55,7.88,16.39,18.58,56.08,131.22
1916,205.26,140.88,140.59,84.91,20.53,8.37,3.18,10.66,3.69,13.92,134.18,262.76
1917,163.47,161.87,189.11,68.87,24.50,15.38,5.26,24.64,13.11,16.27,102.04,218.46
1918,272.59,266.20,201.79,72.96,29.55,8.60,9.51,20.76,1.71,5.07,110.16,117.15
1919,242.75,217.43,101.43,67.26,36.15,10.89,6.23,7.85,8.28,18.22,65.81,123.09
1920,232.00,234.05,255.09,43.76,30.81,8.89,10.65,7.15,4.27,33.21,65.64,141.90
1921,207.77,184.82,182.52,72.46,32.84,8.12,20.41,13.13,9.91,28.00,92.54,163.83
1922,99.15,180.48,100.27,42.68,26.52,14.23,10.68,4.54,8.58,36.44,86.18,173.26
1923,221.10,291.57,221.67,79.55,27.50,6.91,11.85,13.34,8.30,11.76,33.89,179.50
1924,146.78,205.25,141.74,30.69,16.46,13.41,11.61,14.49,7.44,20.27,63.99,155.25
1925,351.05,254.19,204.19,112.86,33.26,9.32,24.59,3.95,23.82,24.05,60.57,153.73
1926,329.61,208.80,189.75,47.26,15.57,14.99,20.27,10.29,3.44,4.27,49.90,184.25
1927,206.51,216.48,182.30,94.20,12.43,14.88,20.25,5.97,2.60,30.14,51.72,150.97
1928,207.78,102.93,198.54,78.36,29.04,13.09,10.79,12.28,11.82,10.61,58.45,203.00
1929,317.13,222.57,198.67,45.93,10.82,11.43,7.91,18.03,3.93,20.82,74.06,177.01
1930,187.92,148.86,173.01,65.75,28.85,15.34,10.29,7.40,16.35,6.29,51.81,150.12
1931,259.39,221.62,115.42,80.06,12.18,12.45,11.98,1.75,6.27,15.65,78.78,206.01
1932,169.51,199.28,167.19,56.86,34.06,6.33,7.32,8.34,4.54,10.29,45.82,207.31
1933,274.55,161.96,106.52,48.12,10.38,15.44,7.10,7.05,4.53,10.93,65.13,164.97
1934,197.23,229.54,168.84,63.02,22.50,41.75,13.02,8.04,14.65,16.05,114.39,217.55
1935,262.14,175.71,107.48,54.82,22.55,21.07,7.27,22.60,7.81,7.94,92.76,124.13
1936,210.19,236.92,215.77,80.18,24.73,24.19,22.36,17.44,11.65,22.47,92.60,149.54
1937,238.02,242.56,116.48,54.85,19.53,7.25,14.35,20.55,18.75,9.28,41.51,155.62
1938,259.78,114.73,140.36,77.41,11.44,20.52,6.92,12.15,8.63,14.84,47.64,186.17
1939,253.43,229.91,235.75,69.87,19.35,27.08,23.01,19.33,25.16,13.45,84.29,177.53
1940,197.44,217.38,194.74,74.44,17.85,28.40,19.88,9.14,6.35,27.06,78.52,122.95
1941,248.83,132.96,114.78,26.17,9.35,21.63,8.86,10.83,6.89,12.35,82.74,136.77
1942,231.18,153.85,155.77,44.34,23.31,12.16,16.84,13.54,10.04,27.09,59.68,198.94
1943,252.06,202.39,162.48,62.82,14.71,11.21,4.32,16.00,12.72,4.58,51.13,132.74
1944,143.51,305.18,172.92,27.57,19.40,24.87,8.55,2.54,2.99,10.15,89.83,158.26
1945,280.41,237.91,173.83,39.37,24.13,12.53,9.81,10.17,2.05,10.36,59.80,137.25
1946,228.49,216.50,253.93,60.79,16.79,24.37,7.53,13.34,3.27,4.13,105.12,182.06
1947,190.62,158.18,246.03,65.14,21.15,15.26,12.48,2.12,13.68,19.89,77.71,180.52
1948,204.31,239.37,213.83,75.74,16.97,8.17,16.79,10.18,11.08,20.06,73.97,83.11
1949,123.29,159.56,176.14,56.45,39.59,24.92,11.99,6.36,10.90,8.65,54.30,149.04
1950,274.14,272.78,201.20,67.78,29.30,11.47,15.41,18.78,3.57,20.04,60.66,146.88
1951,232.84,131.40,112.36,52.00,24.87,18.70,10.40,26.67,17.48,19.99,90.67,184.84
1952,288.86,288.51,134.50,79.66,39.71,23.04,12.14,6.90,12.30,13.66,109.62,142.29
1953,257.81,188.07,216.33,53.01,16.49,13.18,12.43,17.72,24.23,7.60,58.16,190.81
1954,167.46,205.49,137.58,45.53,10.08,23.05,4.43,15.05,11.40,8.58,125.58,200.27
1955,244.38,281.31,189.50,58.83,29.82,19.71,13.68,9.72,4.73,13.38,73.78,161.08
1956,238.54,223.79,217.14,139.66,38.51,22.21,8.49,7.86,17.13,9.55,92.78,181.91
1957,224.27,168.77,157.69,90.66,31.85,11.03,11.60,10.79,6.95,13.23,32.50,197.39
1958,271.48,261.34,101.20,55.84,17.03,35.34,13.95,20.27,21.58,25.89,44.88,174.59
1959,207.39,263.20,106.58,41.32,19.12,17.74,16.38,19.48,18.38,17.61,54.99,163.30
1960,155.52,210.10,154.27,61.12,19.76,29.07,18.06,6.25,27.29,15.49,54.74,177.67
1961,192.69,172.31,190.96,91.53,22.50,27.92,24.70,37.81,11.77,20.60,88.35,170.89
1962,330.46,147.89,196.49,91.92,22.54,5.45,12.94,13.80,3.08,19.93,102.50,229.63
1963,239.51,298.60,175.62,70.44,17.24,16.55,10.33,1.67,1.95,18.24,106.54,155.35
1964,236.53,168.45,82.48,31.80,20.16,12.67,20.34,14.73,3.40,12.25,67.49,181.45
1965,241.78,168.45,227.43,51.06,18.40,13.92,6.69,9.51,26.16,18.24,74.39,154.71
1966,197.20,265.47,96.61,47.97,27.15,31.71,10.65,7.63,11.38,17.17,60.99,145.25
1967,199.94,199.70,230.80,90.39,32.04,19.96,23.06,20.74,8.42,20.39,67.79,164.09
1968,179.08,193.48,130.37,70.39,21.62,24.37,8.23,8.54,6.31,8.40,93.79,189.96
1969,231.97,145.32,142.11,106.22,23.63,13.99,13.40,16.86,7.89,33.72,56.14,251.76
1970,197.74,173.58,72.47,54.79,8.27,23.70,10.64,3.23,3.11,18.57,116.40,185.69
1971,295.01,206.29,146.33,48.38,38.03,14.84,8.38,2.07,4.52,20.18,92.16,139.43
1972,249.05,232.53,129.28,68.95,39.51,13.11,7.96,7.81,5.68,20.07,65.96,152.37
1973,189.72,124.65,127.89,104.25,12.66,17.76,15.88,10.17,11.47,17.51,76.45,210.11
1974,201.99,266.41,241.11,86.31,64.38,21.61,30.99,7.52,14.37,9.26,71.88,185.35
1975,146.96,204.12,130.28,92.58,21.58,21.09,8.35,16.70,2.36,15.39,58.09,178.75
1976,240.26,239.44,204.96,112.64,44.48,24.92,6.27,6.74,5.69,25.64,34.76,153.45
1977,210.03,233.54,175.75,42.97,7.96,6.34,9.77,17.72,30.58,13.67,81.20,177.38
1978,264.59,194.87,244.60,98.67,16.18,24.79,16.21,0.98,7.43,23.39,80.33,275.55
1979,145.64,219.02,179.17,55.42,16.30,19.24,24.18,10.97,8.18,19.80,108.08,143.44
1980,167.47,140.39,153.17,108.72,15.30,9.61,12.84,18.45,31.70,20.44,45.15,228.98
1981,170.12,261.63,129.60,62.94,43.62,12.38,10.25,10.79,23.74,35.67,74.33,139.71
1982,228.09,246.11,111.14,85.56,28.24,8.70,22.11,10.11,10.19,34.94,61.41,141.63
1983,180.32,175.93,114.37,45.33,30.50,21.88,25.61,19.56,0.98,15.18,48.26,164.16
1984,184.79,216.48,183.03,47.46,27.58,18.68,23.23,9.77,11.11,15.31,96.23,216.62
1985,210.53,221.07,185.26,82.09,22.37,15.19,14.76,14.65,22.08,28.94,107.12,189.83
1986,285.88,188.07,155.53,93.16,14.57,12.56,7.81,2.90,6.20,37.40,80.09,175.86
