Variable:,pr
Country:,Mauritania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.13,1.11,0.50,0.73,1.80,6.29,22.39,41.69,28.32,7.52,1.71,1.48
1902,1.12,1.11,0.50,0.65,1.33,5.81,21.12,36.28,22.15,8.48,1.74,1.48
1903,1.12,1.11,0.50,0.73,1.26,7.32,22.45,41.68,24.84,6.44,1.69,1.48
1904,1.12,1.11,0.50,0.65,1.23,8.08,20.46,39.41,23.58,7.72,1.74,1.59
1905,0.94,0.97,0.48,0.62,2.13,9.71,24.60,47.36,32.18,12.89,1.59,1.27
1906,1.24,0.88,0.44,0.62,1.91,10.54,38.94,45.66,26.85,5.67,2.74,1.62
1907,1.79,1.40,0.46,0.49,0.98,6.46,24.91,41.13,26.13,6.87,1.98,1.07
1908,1.51,0.64,2.09,0.48,0.65,4.13,15.07,38.40,31.62,4.92,1.19,1.29
1909,0.83,1.19,0.93,0.59,2.42,6.74,28.97,38.64,26.20,7.60,1.26,1.44
1910,1.29,0.87,0.52,0.59,0.98,4.96,26.66,47.57,31.47,5.86,1.47,1.27
1911,0.78,0.70,0.37,0.54,1.93,4.32,22.56,40.51,22.61,7.02,1.27,1.14
1912,0.79,0.71,0.37,0.54,0.71,3.67,15.65,49.43,26.43,7.11,1.28,1.92
1913,1.61,0.70,0.42,0.52,0.75,5.66,17.40,44.61,21.42,5.56,1.28,2.15
1914,0.79,0.82,0.37,0.52,0.83,5.38,19.35,35.19,25.01,7.01,3.20,1.24
1915,1.12,1.15,0.50,0.69,1.15,6.64,20.95,41.48,26.96,7.55,1.77,1.50
1916,1.03,1.04,0.44,0.66,1.15,6.73,21.83,49.41,26.56,7.58,1.65,1.50
1917,1.12,1.15,0.50,0.69,1.15,6.28,19.94,42.24,28.31,7.15,1.78,1.50
1918,1.06,2.34,0.95,0.62,1.47,8.13,22.47,45.41,36.46,10.66,1.49,1.30
1919,0.90,0.96,0.42,1.19,1.94,6.98,21.29,39.24,26.01,7.34,2.94,1.22
1920,0.86,1.18,0.41,0.78,2.06,7.97,19.50,46.89,29.18,5.49,2.74,1.17
1921,0.77,1.18,0.29,0.28,0.83,6.29,11.26,36.58,18.39,5.97,1.50,1.18
1922,0.61,0.43,0.26,0.29,2.52,4.32,22.79,42.46,28.04,10.64,2.51,3.52
1923,3.30,0.43,0.69,1.06,0.43,3.19,27.21,37.25,32.35,9.82,1.72,1.52
1924,1.99,1.24,0.24,0.50,0.84,11.46,26.92,34.90,38.28,4.22,3.07,2.34
1925,0.88,0.43,0.80,0.18,0.27,5.31,17.73,48.22,29.68,14.06,0.81,0.79
1926,1.56,0.43,0.31,0.17,0.40,10.74,20.78,31.28,22.40,4.48,0.82,3.52
1927,0.53,0.46,0.24,0.74,3.10,6.56,19.79,62.93,36.67,8.48,1.70,1.43
1928,0.83,0.53,0.24,0.45,0.76,5.78,21.04,57.21,19.94,9.59,2.65,3.18
1929,0.52,0.43,0.24,0.25,1.43,10.64,25.01,57.57,27.10,5.82,0.82,0.88
1930,3.25,1.96,0.26,0.32,2.57,5.10,19.99,55.92,26.18,11.13,1.22,1.84
1931,0.68,1.19,0.41,0.90,2.75,3.80,21.40,18.33,38.18,5.70,1.64,1.62
1932,0.56,0.47,0.23,0.23,2.84,8.25,28.92,55.78,19.05,3.54,0.94,0.74
1933,2.89,0.40,0.24,0.90,1.37,13.66,32.80,48.92,26.19,7.86,6.02,2.80
1934,0.57,0.67,0.23,0.31,0.45,12.18,26.34,44.27,23.08,4.18,1.05,0.74
1935,0.44,1.11,0.22,0.28,0.15,8.48,25.86,52.19,28.29,11.48,0.64,1.39
1936,0.44,0.31,0.17,0.25,3.06,7.44,28.57,53.26,32.34,5.54,3.83,3.73
1937,0.44,0.31,0.17,0.18,0.20,3.96,19.33,63.09,22.64,6.92,1.30,0.73
1938,0.44,0.41,2.14,0.18,0.32,3.55,24.17,38.88,30.27,21.30,0.55,0.55
1939,0.33,0.22,1.68,0.17,2.57,6.77,16.60,57.56,21.80,6.81,0.89,1.83
1940,0.33,0.22,0.12,0.13,0.50,10.33,15.22,63.46,24.18,14.50,0.55,1.06
1941,0.64,0.22,0.23,0.32,1.70,5.13,18.75,23.71,30.94,2.58,0.49,0.77
1942,0.41,0.90,0.59,0.41,2.11,2.17,16.26,38.59,10.81,7.79,6.12,1.17
1943,0.31,0.75,0.81,1.12,0.43,9.32,22.12,65.41,42.48,12.31,0.36,4.67
1944,0.32,0.61,0.11,0.31,0.69,8.14,18.80,32.27,38.62,32.48,3.24,0.38
1945,0.39,0.19,0.15,0.85,1.87,4.20,29.69,44.32,30.68,7.68,3.37,0.35
1946,1.71,0.16,0.08,0.48,0.14,3.54,24.06,39.34,40.20,7.47,1.04,0.88
1947,1.57,0.46,0.08,0.20,0.38,3.76,14.57,69.44,32.41,2.45,4.60,0.36
1948,0.26,2.73,0.08,1.79,0.64,10.52,17.35,52.66,16.28,8.33,0.36,0.55
1949,0.26,1.82,0.95,0.38,1.32,4.58,22.51,44.86,14.22,4.01,4.78,4.63
1950,0.23,0.16,0.09,0.63,1.64,6.23,26.12,74.51,43.35,12.91,0.82,0.86
1951,0.92,2.42,0.42,0.24,1.91,4.59,23.36,39.45,39.32,22.56,4.37,2.07
1952,0.47,0.14,0.11,0.31,1.70,7.81,28.77,50.91,57.90,7.08,4.67,0.59
1953,3.81,1.77,1.07,0.17,1.32,10.04,38.80,50.26,29.70,19.97,0.85,1.54
1954,0.64,3.06,0.08,1.05,0.66,10.43,39.05,62.75,22.97,6.69,9.27,2.72
1955,0.23,0.38,0.15,1.83,0.81,13.08,32.77,59.15,35.54,6.73,0.44,0.46
1956,5.83,2.75,0.13,0.06,0.84,6.47,21.18,36.65,43.44,11.21,1.88,1.89
1957,1.53,0.99,0.08,0.40,2.22,10.26,23.43,60.52,33.63,12.24,1.66,4.47
1958,3.30,4.03,0.08,0.20,1.42,9.67,32.51,67.20,29.14,3.90,2.68,0.34
1959,0.44,1.17,0.86,0.07,1.61,8.53,18.23,51.98,24.34,4.54,0.73,0.34
1960,0.23,0.21,0.12,0.28,2.44,8.21,29.13,37.85,30.69,4.87,0.40,2.88
1961,0.51,0.14,0.08,0.06,1.41,10.95,29.28,36.36,33.92,4.51,0.43,0.34
1962,0.23,0.88,0.11,1.28,0.43,11.74,26.31,58.66,17.69,9.38,1.15,3.47
1963,0.92,2.05,0.12,2.07,1.41,6.79,23.69,40.51,24.25,17.28,0.96,0.35
1964,0.73,0.23,0.11,0.22,1.93,7.19,31.85,54.37,30.15,5.81,0.56,2.31
1965,3.09,2.60,0.11,0.08,0.29,8.86,22.44,62.28,41.37,14.47,4.67,0.34
1966,0.23,0.14,0.96,0.06,3.23,8.04,18.26,36.26,39.01,26.73,1.20,2.83
1967,0.23,0.41,0.49,0.12,0.74,10.43,22.12,46.68,45.94,18.17,6.26,0.38
1968,0.23,5.56,0.12,1.53,0.43,4.94,20.19,32.67,22.95,2.73,2.43,0.76
1969,1.36,0.14,0.52,0.06,1.61,3.22,36.55,62.17,28.21,27.63,0.73,1.81
1970,0.39,1.07,0.08,0.48,1.09,3.32,18.89,39.91,33.04,5.67,1.53,2.19
1971,0.23,0.29,0.82,1.51,0.81,2.81,15.91,36.23,24.62,1.59,3.48,0.34
1972,2.24,0.56,0.60,1.57,1.23,5.87,9.01,23.98,18.79,6.05,1.44,3.87
1973,0.41,0.35,0.08,0.34,1.64,8.23,15.06,40.09,14.13,1.86,3.51,0.35
1974,0.23,0.32,1.82,0.07,0.53,4.82,21.42,53.04,21.72,4.57,0.64,1.86
1975,1.37,0.14,0.15,0.26,2.20,4.94,39.66,41.63,16.42,4.21,0.40,1.82
1976,2.22,1.24,1.26,1.04,1.90,5.00,14.32,45.65,34.71,8.89,1.26,2.08
1977,0.36,0.20,0.08,1.17,0.32,3.01,13.66,19.45,24.17,2.82,0.32,2.53
1978,0.72,0.59,0.08,1.31,1.89,5.16,22.60,30.13,41.99,5.58,2.71,0.94
1979,4.13,0.14,0.60,0.11,3.39,8.39,19.83,24.14,28.81,11.13,0.86,1.49
1980,0.69,7.78,0.68,0.56,0.20,4.16,12.66,37.61,17.27,3.77,2.31,0.74
1981,0.55,1.91,0.34,0.17,2.87,5.91,28.07,33.13,26.67,1.50,0.38,0.34
1982,0.39,0.55,1.81,0.35,0.93,1.96,16.76,31.65,13.43,4.06,0.32,0.46
1983,0.41,2.44,0.65,0.53,0.86,8.53,8.18,18.92,13.21,2.13,0.32,0.34
1984,0.23,0.14,0.08,0.73,1.03,9.09,12.75,14.77,23.28,5.58,2.05,0.96
1985,1.99,0.14,0.44,0.42,0.20,4.68,21.29,37.80,19.80,4.86,0.44,1.20
1986,0.23,0.34,0.08,0.16,0.47,1.74,12.11,29.01,47.21,6.67,0.60,0.60
1987,0.23,0.14,0.15,0.07,0.37,5.56,15.31,24.03,35.31,7.63,1.03,0.40
1988,0.45,2.25,0.37,0.09,0.33,5.62,13.42,49.51,28.66,2.21,1.34,0.42
1989,0.23,3.23,0.13,0.15,0.17,6.78,35.03,50.17,15.82,3.66,1.77,2.21
1990,0.62,0.18,0.25,0.75,0.13,5.39,18.59,26.08,21.24,2.77,0.43,0.55
1991,0.90,0.29,0.13,0.45,0.82,4.92,14.68,34.64,18.11,4.53,0.32,0.60
1992,0.85,1.86,0.09,0.16,0.33,5.60,19.77,31.05,20.02,4.40,1.30,1.06
1993,2.04,0.86,1.11,0.10,0.34,7.08,21.46,30.37,25.81,14.92,1.12,0.47
1994,0.23,0.18,0.08,0.07,0.50,4.34,17.57,37.57,33.53,14.43,0.43,0.38
1995,0.23,0.19,0.25,0.66,0.83,2.88,25.61,41.62,36.99,1.92,1.72,3.68
1996,0.77,1.90,0.94,0.42,1.33,4.99,16.61,38.12,14.24,6.90,1.24,1.14
1997,0.78,0.29,0.41,0.33,1.26,8.20,9.53,49.75,17.48,9.97,1.19,1.05
1998,0.54,1.52,0.26,0.54,1.24,4.32,12.58,34.04,41.73,7.17,1.27,3.40
1999,0.78,0.50,0.23,1.14,0.71,5.50,20.93,53.99,31.85,10.11,1.13,1.62
2000,2.69,0.78,0.17,0.19,0.62,6.06,25.87,36.49,22.90,9.94,1.72,0.64
2001,0.39,0.88,0.47,0.32,0.38,7.77,16.35,38.20,25.25,5.56,3.35,1.61
2002,1.79,0.98,0.82,0.52,0.55,3.43,11.74,34.85,24.55,10.61,1.53,1.84
2003,0.75,0.49,0.30,0.41,0.73,9.33,20.44,44.67,32.48,20.23,1.67,1.98
2004,1.97,1.23,0.28,0.76,0.93,5.51,23.19,44.52,26.54,5.51,1.66,0.60
2005,0.72,1.35,0.53,0.64,1.41,15.41,23.46,34.13,31.33,6.20,2.06,1.11
2006,1.17,0.62,0.12,0.24,0.94,7.17,17.48,36.55,27.63,3.32,0.57,0.76
2007,0.59,0.44,0.70,0.13,1.00,1.22,22.08,50.00,21.60,4.76,0.70,0.66
2008,0.89,1.66,0.19,0.39,1.95,12.78,21.82,46.34,28.78,10.96,0.81,2.83
2009,0.74,1.17,0.36,0.67,1.00,9.08,18.98,44.12,36.20,5.12,0.97,0.75
2010,0.58,0.74,0.26,0.22,0.57,8.49,20.66,56.83,43.57,15.06,1.16,1.24
2011,2.45,2.02,0.46,0.46,1.19,5.73,19.02,40.88,20.32,4.52,0.59,0.75
2012,0.45,0.34,0.32,1.20,3.01,8.41,21.43,48.06,33.45,7.98,0.52,1.25
2013,0.39,0.31,0.20,0.52,0.97,3.36,16.17,51.73,39.78,5.96,1.78,2.48
2014,0.64,0.51,0.22,0.54,1.25,5.61,13.64,49.99,24.22,5.64,1.48,1.26
2015,0.89,1.00,0.41,0.36,1.02,3.00,18.37,62.37,25.35,10.02,1.42,1.21
2016,0.83,0.75,0.41,0.45,0.65,4.43,27.29,37.31,25.55,7.09,1.42,2.83
2017,0.95,0.75,0.41,0.39,2.03,8.80,17.22,36.91,21.50,5.86,1.37,1.21
2018,0.97,0.77,0.37,0.38,1.28,4.81,19.91,42.06,30.34,7.42,2.12,1.17
2019,0.95,1.14,0.77,0.73,1.21,6.16,15.60,39.96,25.97,12.55,1.31,1.22
2020,0.87,0.72,0.35,0.63,1.01,5.57,23.39,48.87,34.62,9.38,1.38,1.17
2021,0.86,0.88,0.42,0.62,1.21,5.01,18.33,44.57,30.62,6.24,2.38,1.83
