Variable:,pr
Country:,Malawi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,221.83,220.40,189.94,156.78,31.08,26.89,5.61,2.40,13.84,35.83,52.39,186.90
1902,338.82,192.88,256.28,122.63,56.57,3.03,2.61,3.30,5.69,11.08,66.66,128.75
1903,260.64,151.47,138.61,107.02,97.73,8.79,3.30,1.26,5.16,6.00,65.07,202.18
1904,327.12,245.07,239.50,127.12,92.75,10.28,12.95,0.70,4.58,25.53,33.94,311.23
1905,226.49,287.78,162.76,60.01,12.16,1.28,4.97,6.09,6.32,11.86,166.17,201.16
1906,302.31,240.30,189.94,56.65,47.14,3.10,9.68,1.51,3.48,30.38,69.76,139.41
1907,192.94,249.44,161.38,185.66,45.46,11.84,9.73,0.59,0.74,10.11,86.73,248.82
1908,221.23,273.96,156.95,139.07,30.29,9.08,7.17,4.70,1.86,8.90,83.60,258.25
1909,259.49,203.24,186.96,71.40,77.73,14.66,3.27,4.13,6.31,12.09,26.66,64.65
1910,200.98,246.66,217.27,138.25,13.85,8.52,4.39,3.82,1.28,10.89,41.87,215.09
1911,214.97,217.05,167.46,78.12,61.64,18.63,4.70,3.14,5.21,13.54,56.18,161.73
1912,235.29,170.10,130.18,31.37,24.38,14.07,7.88,1.67,3.59,13.27,37.32,248.25
1913,202.84,188.72,278.72,117.57,71.02,29.83,0.67,1.38,1.64,7.03,60.56,161.27
1914,210.08,210.31,190.18,135.73,12.45,8.72,8.65,7.61,1.46,8.12,74.77,128.74
1915,204.31,207.94,205.30,88.44,18.51,13.12,0.47,3.00,3.27,6.48,43.68,182.42
1916,220.49,178.66,151.88,134.12,41.56,7.67,0.61,1.36,3.44,17.65,116.80,290.93
1917,216.97,186.43,219.02,130.95,25.80,4.42,2.93,3.29,3.49,15.05,84.79,180.97
1918,220.00,199.05,206.92,72.82,26.48,10.83,5.76,8.78,0.06,3.08,97.80,87.17
1919,262.97,252.93,145.55,46.27,30.48,2.37,2.44,1.44,2.91,27.42,48.58,168.12
1920,187.49,239.99,328.17,34.51,59.24,15.56,5.25,1.90,0.02,32.58,54.70,179.58
1921,200.77,227.37,225.21,85.87,29.89,3.28,12.04,7.49,3.54,20.16,76.72,207.08
1922,114.81,200.01,191.54,50.69,31.37,8.78,3.41,2.88,4.74,31.37,64.05,222.18
1923,155.71,286.16,216.57,157.91,52.29,2.29,5.42,10.61,1.03,17.71,19.62,269.03
1924,195.46,221.18,176.05,43.88,14.14,15.05,5.84,4.28,0.12,12.75,60.28,112.47
1925,301.89,258.01,234.58,148.59,45.18,8.63,13.61,2.25,8.57,18.80,87.18,203.76
1926,306.85,241.44,253.02,105.71,15.61,4.44,7.48,5.43,0.64,5.68,43.81,225.48
1927,246.11,223.06,228.92,149.34,17.29,10.24,6.33,1.26,0.25,4.85,26.53,210.61
1928,198.19,142.03,284.42,108.94,22.40,8.27,2.15,1.94,1.67,13.48,41.89,186.76
1929,283.06,173.12,252.25,108.13,11.92,1.41,5.04,7.79,0.01,20.96,44.28,191.32
1930,239.00,156.46,187.39,106.77,12.87,4.33,2.94,1.42,11.83,2.02,62.23,146.70
