Variable:,pr
Country:,Namibia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.66,59.51,55.67,24.97,2.01,0.12,0.41,0.32,2.45,9.38,21.23,68.28
1902,67.68,53.81,46.32,12.29,0.61,1.74,1.41,0.42,6.10,2.34,21.03,54.81
1903,20.32,81.29,27.37,4.66,1.15,0.67,0.36,0.41,2.85,1.69,14.56,72.95
1904,144.39,60.41,40.61,17.61,4.48,0.51,1.01,0.22,1.73,3.52,9.57,11.08
1905,73.05,81.08,40.99,4.13,2.19,0.60,0.26,1.27,2.86,8.73,15.67,27.98
1906,131.34,48.53,29.07,9.27,1.53,1.33,1.09,0.26,1.54,3.13,15.47,40.43
1907,82.76,69.86,59.60,39.36,2.77,4.15,0.35,0.17,7.66,11.92,5.65,63.54
1908,26.09,70.77,16.19,2.26,0.82,0.07,1.26,0.99,1.23,1.34,18.94,82.14
1909,128.27,100.52,102.08,34.82,12.22,1.04,0.29,1.08,0.35,7.52,22.17,63.85
1910,78.38,91.82,50.82,25.71,0.48,3.41,2.38,0.74,1.01,9.93,12.10,14.17
1911,22.81,46.88,42.71,5.54,5.79,2.15,1.25,2.41,0.28,6.66,28.00,32.66
1912,123.06,101.07,37.33,19.67,1.55,1.47,0.97,0.26,0.84,3.88,14.47,43.73
1913,23.44,42.05,45.29,36.76,2.83,3.38,0.28,0.20,4.13,6.21,41.66,39.00
1914,63.06,56.11,52.44,17.94,2.28,0.82,0.82,3.69,0.37,11.77,4.73,37.73
1915,57.49,102.09,14.64,12.11,1.48,3.12,0.59,0.41,3.81,2.66,12.05,57.18
1916,19.68,37.33,71.45,11.43,0.99,0.15,0.47,0.31,0.36,12.88,52.62,85.86
1917,87.54,107.06,65.90,29.11,3.44,2.91,0.83,1.91,1.20,1.83,15.03,42.33
1918,52.52,69.48,124.43,3.88,4.05,0.90,1.98,1.41,1.31,21.34,20.61,42.76
1919,36.71,42.42,46.09,11.22,0.47,0.20,0.28,1.85,7.36,25.42,26.76,25.46
1920,37.44,71.10,26.69,28.19,6.02,1.72,0.36,2.14,0.85,3.33,42.53,26.78
1921,37.61,107.35,84.53,22.11,14.95,2.33,0.40,1.19,0.25,6.81,30.58,21.57
1922,27.54,42.81,25.54,2.31,3.84,0.38,0.20,0.89,0.22,18.64,15.13,18.95
1923,62.02,126.03,106.49,41.88,11.14,1.28,0.34,0.26,0.31,12.28,16.32,26.35
1924,28.12,38.90,67.08,4.52,0.91,0.10,0.32,0.35,0.85,13.33,20.09,34.88
1925,65.62,100.86,113.98,52.15,9.78,1.33,2.97,0.23,0.48,2.27,16.65,27.52
1926,30.71,21.11,35.37,32.99,11.72,4.66,0.52,0.14,3.37,9.24,29.17,59.06
1927,43.47,28.48,40.85,33.95,0.37,0.07,0.28,1.14,0.29,10.98,35.45,29.45
1928,57.19,33.28,78.89,25.63,1.36,0.06,0.26,0.09,4.03,1.11,16.31,12.17
1929,37.20,48.85,51.22,3.09,1.58,2.68,1.27,0.41,6.47,15.60,16.37,17.81
1930,33.31,36.51,27.80,19.70,0.88,0.40,0.15,1.44,0.28,3.80,16.20,27.94
1931,61.28,55.03,66.65,9.66,0.32,0.23,1.33,0.10,0.22,5.02,29.32,33.27
1932,16.36,29.31,53.57,6.56,8.10,0.21,0.67,0.11,0.49,18.26,15.21,36.65
1933,22.28,24.43,20.74,3.73,0.23,0.98,0.70,1.68,0.15,1.12,28.05,75.66
1934,161.58,127.83,120.70,43.82,2.07,0.07,0.16,0.22,0.36,7.84,32.43,68.56
1935,56.32,43.21,38.57,15.85,8.79,0.28,0.30,0.09,3.40,2.99,19.93,43.01
1936,62.08,31.33,84.82,12.39,20.65,0.13,0.24,0.14,0.68,2.79,10.06,37.56
1937,71.14,113.14,40.55,28.93,0.94,0.33,0.96,0.07,0.68,9.61,23.05,50.37
1938,86.31,57.91,15.70,32.03,16.67,3.64,1.65,0.07,0.41,12.74,70.54,37.03
1939,39.23,38.00,103.02,14.80,6.70,2.45,2.42,2.97,1.31,21.69,30.25,55.50
1940,65.28,55.27,64.20,21.50,0.30,3.36,0.50,0.07,6.07,7.33,15.44,46.39
1941,45.25,41.74,13.93,17.37,0.62,1.29,0.25,0.50,0.62,18.61,3.43,19.47
1942,27.43,107.56,70.77,37.83,3.60,0.99,0.09,0.23,2.46,21.30,18.08,70.10
1943,28.90,31.06,45.34,41.16,1.50,0.12,0.32,1.44,1.24,1.32,30.72,75.47
1944,125.96,88.41,47.44,1.88,2.12,0.79,0.53,0.59,0.84,5.07,18.37,24.45
1945,36.79,46.95,49.43,6.54,1.49,0.18,0.60,0.15,0.13,2.55,54.99,66.47
1946,27.86,25.74,14.36,10.47,0.68,0.05,0.09,0.10,1.85,4.34,14.78,46.63
1947,56.69,75.84,67.71,24.00,2.60,2.12,0.21,0.11,2.72,3.14,15.50,55.16
1948,45.52,91.14,32.00,13.07,3.35,0.03,1.00,0.21,0.11,5.67,34.75,11.96
1949,52.46,30.01,97.86,29.35,0.90,1.23,0.10,0.61,0.24,3.50,19.00,25.42
1950,88.80,120.54,118.00,47.87,21.09,1.06,1.22,0.69,2.58,1.38,36.58,77.09
1951,30.41,76.60,39.73,41.91,15.66,1.62,0.17,0.47,1.74,17.08,25.76,50.31
1952,28.38,112.70,6.76,6.18,0.47,1.93,0.56,0.26,1.03,15.19,30.90,23.76
1953,45.99,112.99,40.30,29.89,7.69,0.06,0.27,0.78,1.98,19.05,23.69,66.61
1954,70.06,86.32,133.09,26.00,3.24,0.03,0.49,0.19,3.77,7.54,20.82,53.30
1955,63.65,60.61,68.90,24.13,2.17,3.91,1.08,0.36,0.07,15.23,33.74,40.90
1956,82.09,105.25,106.92,16.23,2.68,0.23,1.09,0.14,4.63,3.80,23.78,23.11
1957,62.75,76.90,75.99,9.28,4.64,0.76,0.84,0.70,4.04,16.63,53.18,57.22
1958,77.13,62.72,37.11,7.99,3.47,0.10,0.07,0.11,2.83,6.03,15.51,46.38
1959,42.52,57.05,31.70,19.74,5.78,1.93,0.21,0.41,0.27,1.71,15.08,30.68
1960,24.23,126.26,28.84,17.64,7.84,1.38,0.08,0.42,2.59,7.23,24.63,21.21
1961,27.89,46.58,59.76,42.91,13.33,10.05,1.09,0.16,1.27,1.39,38.03,27.96
1962,32.73,73.60,12.41,10.01,0.11,0.32,0.63,2.60,0.42,15.93,18.64,20.94
1963,135.16,26.03,87.64,47.12,6.78,1.11,0.80,1.74,2.60,9.44,71.77,34.40
1964,22.91,35.08,27.59,6.49,1.31,0.99,0.41,0.64,0.94,6.85,12.95,25.89
1965,43.21,46.05,44.04,38.62,0.09,0.58,0.72,0.11,6.40,3.85,30.92,15.86
1966,98.98,49.99,55.83,24.40,0.12,2.29,0.09,0.43,15.68,9.26,6.08,53.77
