Variable:,pr
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.74,7.01,39.26,75.56,124.51,170.18,264.56,261.92,250.40,118.47,26.30,2.98
1902,2.17,13.74,32.64,77.22,124.07,166.47,207.95,220.53,192.73,97.36,11.21,4.66
1903,5.51,13.08,21.96,79.33,109.83,150.85,230.75,235.93,232.13,117.75,19.01,6.02
1904,9.23,5.45,49.62,62.45,142.54,169.91,232.72,193.99,191.57,82.95,10.37,4.45
1905,1.26,8.55,32.42,63.38,122.24,201.34,214.56,229.39,228.79,115.00,31.37,14.67
1906,2.53,11.10,25.81,58.24,174.94,160.16,239.74,217.12,212.35,131.27,13.82,8.90
1907,6.27,13.13,19.91,72.63,117.71,165.56,193.86,157.91,188.22,91.95,11.55,1.83
1908,4.74,3.57,52.59,76.67,97.31,150.49,231.05,233.24,229.75,116.69,21.13,3.30
1909,8.23,25.42,48.86,130.45,117.11,183.76,245.15,264.64,234.26,89.45,13.41,8.97
1910,1.83,6.19,12.88,60.11,124.57,160.39,238.14,218.16,207.56,89.76,10.82,1.51
1911,5.99,3.86,68.85,108.97,194.78,181.55,175.24,202.02,220.87,108.73,13.31,9.53
1912,3.11,11.05,23.62,84.82,82.76,143.88,177.24,206.05,201.16,80.60,20.32,2.19
1913,0.48,13.94,14.31,65.90,115.88,101.49,202.00,228.34,201.98,81.95,12.02,3.54
1914,9.40,12.70,44.83,50.46,111.11,150.58,149.75,171.83,161.08,78.77,36.27,3.20
1915,1.36,6.34,30.75,64.36,136.52,159.74,272.20,198.67,188.13,91.68,17.85,2.03
1916,1.14,8.31,45.43,96.22,135.72,151.55,243.47,215.58,264.40,117.08,30.72,2.65
1917,8.02,19.75,20.99,55.52,138.44,141.41,242.61,316.20,237.68,57.33,37.79,6.99
1918,2.05,15.03,72.31,79.28,125.03,191.82,205.06,231.38,205.36,88.37,27.37,1.10
1919,6.95,21.29,53.85,42.29,186.90,116.57,186.90,155.79,213.77,89.79,23.37,3.64
1920,1.85,1.29,15.25,88.95,143.20,170.82,211.56,238.50,222.08,104.28,39.15,1.54
1921,4.96,4.49,29.06,85.74,156.26,165.25,201.54,264.49,238.10,69.63,18.33,13.32
1922,6.13,13.49,20.68,89.27,110.12,149.77,171.35,202.61,239.79,145.42,27.04,3.45
1923,7.34,4.84,41.16,102.49,137.19,176.27,197.62,181.81,230.29,115.30,13.41,0.78
1924,10.89,16.53,36.23,91.98,94.86,164.23,236.73,227.79,239.52,134.73,18.18,11.39
1925,1.00,5.54,59.18,68.23,129.48,173.53,201.19,275.07,181.82,116.43,22.56,3.02
1926,0.80,12.06,23.96,79.54,150.94,191.99,187.91,210.42,207.50,67.97,25.25,1.17
1927,9.92,10.43,16.29,60.67,147.45,166.09,202.86,253.71,217.34,163.44,18.10,7.80
1928,14.34,3.39,57.51,63.34,155.00,163.99,204.75,250.74,214.76,119.77,12.79,2.99
1929,1.99,13.75,30.84,58.56,151.75,210.08,214.69,233.00,197.56,141.60,21.55,3.27
1930,4.38,8.09,44.31,69.41,147.16,170.72,229.82,244.97,220.89,131.07,18.14,14.24
1931,9.58,9.82,28.69,89.53,140.09,184.33,246.19,194.92,264.69,83.35,24.40,4.41
1932,2.75,10.47,49.03,51.16,129.64,173.52,143.88,198.05,222.47,132.87,25.18,1.67
1933,20.14,15.67,46.93,85.78,143.42,189.39,209.43,275.70,209.04,78.16,39.53,14.76
1934,1.29,1.92,38.22,93.78,148.60,159.37,209.07,259.69,196.15,126.92,14.47,4.97
1935,3.29,8.02,46.68,50.42,106.97,210.20,210.74,291.67,200.25,88.26,13.12,7.60
1936,3.60,17.69,44.60,88.09,155.06,170.97,180.01,201.98,231.55,109.08,25.90,12.71
1937,0.11,14.16,37.01,42.61,125.33,130.44,223.92,221.62,235.66,107.37,16.54,5.10
1938,1.81,12.10,34.20,79.98,106.53,169.22,175.69,222.56,245.25,94.44,35.00,6.06
1939,7.12,25.87,46.79,70.69,150.05,178.14,222.43,239.16,244.26,124.83,20.57,6.67
1940,8.42,7.04,26.09,57.47,136.36,184.93,224.48,247.81,197.45,112.10,27.92,0.34
1941,5.78,6.51,45.33,102.10,164.09,163.33,219.86,228.70,176.45,72.13,36.93,1.06
1942,8.58,11.11,32.45,68.88,173.15,133.42,180.88,208.22,171.60,100.06,10.29,8.49
1943,10.89,6.77,41.41,54.04,161.65,139.11,180.31,237.26,228.96,116.53,38.82,4.83
1944,5.03,12.45,49.96,64.97,84.09,139.34,182.68,233.74,221.38,95.17,14.10,2.81
1945,2.90,1.96,15.40,52.32,99.77,146.90,234.70,231.65,216.79,118.64,11.53,8.32
1946,4.30,10.98,23.41,62.27,120.61,160.98,190.49,201.45,228.89,151.82,25.13,6.77
1947,1.34,20.10,17.71,57.80,132.82,187.35,209.40,265.05,236.33,92.10,15.91,8.40
1948,5.22,11.46,29.17,111.07,113.97,186.45,199.77,243.16,209.58,55.54,13.46,1.17
1949,0.60,4.74,34.72,54.47,133.65,155.28,224.93,242.14,192.76,101.20,17.47,1.24
1950,10.62,5.92,19.19,73.02,144.20,138.96,197.20,226.90,200.05,101.10,22.24,1.20
1951,5.64,4.61,42.47,36.02,156.21,141.11,221.76,217.19,244.83,172.12,25.48,0.32
1952,6.56,14.17,32.32,72.98,147.34,146.25,224.02,212.02,279.50,129.80,20.20,6.38
1953,2.17,26.33,47.89,36.14,197.65,181.51,250.25,174.90,227.48,99.65,16.39,4.06
1954,2.65,25.09,68.33,96.96,173.80,171.76,210.56,261.96,228.66,144.40,29.72,6.83
1955,8.85,5.94,46.86,77.18,120.56,196.98,256.64,225.72,270.89,141.17,11.04,1.52
1956,1.75,21.88,72.74,57.92,72.03,157.09,191.81,179.35,236.38,109.13,21.79,14.39
1957,2.98,3.52,38.60,70.69,184.01,182.31,265.97,260.21,252.60,139.90,32.04,8.64
1958,7.71,4.97,34.68,79.31,124.58,171.36,134.35,230.41,215.07,84.14,26.48,6.85
1959,7.50,6.57,39.65,69.31,136.52,153.51,214.71,257.02,251.55,75.66,27.41,2.42
1960,8.66,4.93,32.38,107.47,121.29,181.70,240.85,238.58,230.96,101.64,20.48,12.03
1961,9.30,2.13,20.01,75.45,77.51,178.44,275.20,197.67,210.94,79.38,8.35,2.96
1962,2.80,3.35,56.11,77.33,121.41,209.51,203.37,251.76,233.64,148.60,44.05,4.09
