Variable:,pr
Country:,Rwanda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,100.17,115.52,131.70,174.40,114.93,28.62,14.78,35.69,82.56,110.01,136.88,109.57
1902,84.12,97.39,109.06,149.93,115.74,51.58,12.33,48.90,110.58,118.90,143.32,94.69
1903,77.05,40.11,139.56,223.93,124.66,86.30,15.08,16.41,141.27,161.56,170.94,102.66
1904,88.20,129.52,132.91,92.76,112.26,13.95,7.82,66.85,76.16,98.80,137.17,148.28
1905,99.04,71.37,220.35,110.66,50.64,14.69,6.41,24.42,132.07,110.60,165.27,189.27
1906,55.77,122.94,177.64,196.08,76.07,31.03,8.41,36.28,103.59,107.03,84.02,55.13
1907,55.57,133.41,75.18,195.78,164.84,33.51,4.36,28.43,96.05,96.53,150.23,99.61
1908,73.49,103.17,74.24,184.32,149.32,17.93,15.15,49.44,48.84,101.27,137.78,117.37
1909,59.22,66.64,141.03,196.18,81.19,7.14,13.36,62.64,156.23,63.42,118.99,127.95
1910,104.08,65.27,136.30,180.12,125.64,13.13,21.48,45.58,55.22,96.77,154.93,114.12
1911,84.73,42.48,130.90,127.40,100.66,17.58,6.37,41.33,34.53,72.65,171.89,59.06
1912,111.74,99.77,98.27,261.04,65.36,19.63,12.32,63.14,110.72,114.69,133.76,123.78
1913,26.54,122.63,127.76,105.14,114.98,42.60,7.02,11.08,30.75,96.21,112.05,66.87
1914,86.19,108.42,139.71,109.23,90.84,30.71,11.76,34.48,137.51,68.67,104.30,80.90
1915,69.56,129.54,133.34,132.17,96.31,25.22,3.70,14.03,133.75,98.60,99.26,185.31
1916,35.80,146.05,103.80,211.05,141.25,32.38,4.08,32.09,110.67,102.38,88.92,77.30
1917,70.34,133.51,91.12,213.73,112.68,32.73,7.60,82.50,91.26,134.60,48.44,85.97
1918,80.42,78.13,120.39,133.95,74.46,37.55,5.78,13.90,83.86,70.49,86.61,115.72
1919,75.80,153.86,157.57,133.22,88.99,3.33,31.65,65.51,93.94,90.00,126.32,96.51
1920,91.20,51.59,178.03,124.86,99.97,15.49,5.85,10.48,59.96,178.03,142.06,128.12
1921,83.05,110.00,83.41,146.94,77.15,8.51,12.16,30.60,48.97,140.26,106.65,35.68
1922,49.67,106.83,124.38,109.06,110.61,6.09,1.54,102.91,106.93,96.17,90.98,131.46
1923,63.89,132.02,109.37,218.00,141.75,20.28,20.10,9.60,119.02,82.19,94.42,129.53
1924,92.83,112.76,102.25,201.83,67.03,3.62,8.38,40.67,61.81,111.08,116.70,91.99
1925,104.46,95.85,189.99,56.45,111.68,95.00,24.13,40.55,74.09,91.54,193.36,100.45
1926,95.12,108.62,159.63,178.93,122.93,13.44,45.65,37.83,156.68,86.67,122.30,69.11
1927,112.22,101.78,152.17,161.76,93.61,14.25,1.73,47.89,93.34,78.06,104.60,124.12
1928,61.22,96.55,90.84,167.21,141.18,27.14,17.48,22.49,65.51,100.20,85.79,104.03
1929,69.55,67.74,151.80,185.38,99.15,12.79,34.29,36.95,70.52,145.19,126.37,138.03
1930,108.51,101.91,185.28,229.02,171.07,56.52,23.82,60.44,161.02,106.65,128.81,81.28
1931,97.22,105.58,184.12,176.91,81.90,12.48,11.22,34.02,87.23,63.62,114.88,148.89
1932,73.09,95.01,170.92,108.07,141.91,19.06,9.31,12.23,148.55,99.69,120.32,105.32
1933,157.83,110.41,100.82,94.15,103.51,28.90,26.96,55.59,100.04,97.43,80.64,107.41
1934,51.23,74.19,102.23,169.14,85.22,25.86,5.59,46.41,57.57,180.44,128.66,120.70
1935,35.45,129.62,125.26,116.93,143.27,97.83,0.18,31.95,96.87,94.63,129.78,120.34
1936,132.64,185.62,132.90,188.09,62.53,90.77,19.13,27.07,85.31,99.25,99.57,165.74
1937,103.30,131.55,215.81,214.54,226.51,28.40,7.80,21.27,90.32,111.30,184.61,87.23
1938,52.87,112.42,152.77,142.09,117.93,14.63,19.30,34.98,87.12,113.24,97.70,107.71
1939,72.55,127.14,137.24,196.85,91.47,18.19,24.49,44.91,87.78,71.30,140.58,75.38
1940,129.83,167.46,145.86,139.83,138.73,20.45,23.26,13.08,45.10,92.09,135.48,80.88
1941,120.35,139.79,150.31,202.69,165.96,37.78,0.68,57.27,27.82,123.26,189.19,159.33
1942,104.19,94.97,196.94,201.86,194.31,4.98,4.72,90.36,17.62,72.09,100.28,82.98
1943,69.50,104.37,91.54,142.83,110.01,37.97,0.64,67.13,63.98,87.81,89.68,95.58
1944,126.37,72.22,132.35,142.14,150.04,5.86,0.60,21.85,123.34,118.91,138.08,88.35
1945,85.64,69.76,90.38,108.18,198.83,54.20,10.60,58.72,102.11,94.97,144.60,86.47
1946,84.88,82.29,100.77,191.72,110.83,14.15,6.23,22.39,75.83,126.87,159.67,127.23
1947,111.47,118.38,144.92,233.45,154.53,55.98,42.25,4.15,73.74,103.71,80.76,102.39
1948,99.81,108.88,100.51,142.31,101.42,27.61,11.58,30.31,116.26,98.75,123.64,103.87
1949,85.63,85.99,92.67,192.89,116.94,19.02,13.53,43.15,69.74,117.25,90.16,120.98
1950,81.28,89.52,160.13,175.20,142.30,10.13,5.44,51.60,83.82,124.03,107.49,111.19
1951,98.16,91.59,155.54,220.12,92.85,43.29,19.00,58.65,75.55,150.71,159.09,172.22
1952,38.95,73.58,107.88,147.43,206.76,17.83,6.79,24.54,73.63,97.60,103.58,41.02
1953,80.70,71.06,168.24,188.29,107.73,62.55,7.64,48.60,118.32,104.62,153.45,81.53
1954,59.59,103.53,112.05,148.83,173.18,42.44,16.73,25.66,70.46,82.12,97.78,132.34
1955,99.16,140.77,141.65,162.76,64.04,7.13,33.97,31.01,160.87,109.42,94.53,143.06
1956,111.07,81.95,127.53,189.98,179.79,11.01,5.82,61.36,76.00,130.57,114.52,128.98
1957,107.22,109.22,155.70,193.67,169.14,52.12,18.95,42.17,33.51,124.03,107.30,160.48
1958,127.86,121.96,134.52,138.97,116.24,15.96,14.64,55.82,59.14,110.83,88.00,154.01
1959,120.98,93.50,120.98,142.54,114.01,6.14,3.48,42.10,84.70,129.77,157.75,125.42
1960,123.52,117.48,129.96,178.40,45.61,5.78,2.82,28.93,82.09,109.87,117.14,95.73
1961,77.00,116.13,136.36,140.47,93.74,11.52,10.00,20.80,103.38,168.16,269.73,149.07
1962,128.35,76.42,115.19,135.26,165.14,46.27,5.37,79.02,116.91,201.04,157.57,124.17
1963,146.18,111.72,143.20,251.25,232.46,33.77,12.69,27.17,79.85,67.51,180.56,214.01
1964,86.96,151.22,122.02,230.09,46.42,39.86,32.28,32.54,64.90,122.30,131.99,122.10
1965,52.37,83.52,180.56,189.04,101.64,11.88,2.05,34.64,101.60,126.50,145.32,113.81
1966,103.89,154.49,164.57,175.41,53.77,29.89,1.47,65.75,99.27,104.07,136.73,83.86
1967,67.26,53.47,125.03,166.12,190.51,39.12,11.69,11.34,98.73,136.84,196.45,122.45
1968,88.87,197.16,168.91,183.58,109.80,58.12,16.70,7.03,72.84,122.69,161.22,97.46
1969,138.05,165.97,127.30,119.74,142.30,5.84,1.76,14.67,64.53,102.74,129.44,81.53
1970,137.62,93.84,187.79,210.71,97.56,13.89,25.28,51.27,73.12,104.35,139.13,96.09
1971,101.33,91.08,132.50,193.63,155.10,13.45,25.92,67.05,73.44,103.72,149.34,108.74
1972,104.40,135.91,119.92,126.15,137.28,90.72,1.56,43.70,78.39,115.67,179.52,113.88
1973,89.26,107.97,106.54,159.78,160.21,13.41,3.22,30.30,163.94,105.71,164.66,101.28
1974,89.81,70.26,169.87,169.26,106.23,74.52,37.90,22.81,77.08,76.02,139.40,99.17
1975,89.47,90.22,126.08,169.30,103.31,13.25,51.10,30.73,163.65,154.31,93.87,137.54
1976,56.87,116.69,113.99,159.30,130.48,21.83,16.63,76.20,98.92,102.76,131.70,106.97
1977,144.78,87.59,154.96,209.82,114.48,47.55,14.93,85.00,70.79,92.98,201.94,126.71
1978,75.53,144.54,219.66,176.85,83.66,25.19,7.37,54.69,86.20,131.62,151.43,136.79
1979,156.82,147.93,121.09,207.57,139.40,31.15,4.63,23.90,29.59,102.80,142.55,128.56
1980,87.95,106.24,113.82,159.42,185.70,24.93,3.47,17.43,127.48,119.67,156.33,105.36
1981,95.23,80.44,166.66,185.63,131.74,16.31,7.02,94.02,92.40,119.46,101.34,98.41
1982,105.59,59.99,93.38,207.71,143.04,20.06,3.40,9.92,100.91,147.07,194.40,125.03
1983,52.25,104.64,119.91,218.60,74.82,26.55,13.86,61.63,84.71,160.98,145.42,120.36
1984,84.98,96.18,141.58,152.58,42.31,3.11,41.01,54.44,62.06,125.97,147.02,108.28
1985,83.97,84.35,133.86,222.00,72.75,14.63,12.52,20.00,119.27,115.57,149.61,120.08
1986,102.68,113.62,127.55,235.11,98.71,22.71,6.77,12.27,57.97,120.27,120.70,106.56
1987,101.45,96.33,122.98,136.63,166.03,40.28,8.77,21.86,113.18,116.34,203.51,77.66
1988,108.03,86.44,165.27,182.55,109.26,21.67,25.47,89.83,112.61,125.83,131.96,86.12
1989,81.67,76.23,124.21,138.50,107.23,27.37,9.48,54.58,106.03,138.34,111.31,116.06
1990,65.69,154.37,132.55,153.12,99.14,8.46,5.98,29.03,102.28,106.92,140.32,130.32
1991,92.80,114.73,134.30,158.41,145.73,50.58,13.79,31.10,56.93,159.03,93.85,80.45
1992,56.78,64.67,122.32,142.44,116.74,55.04,4.22,11.71,110.44,166.41,121.09,115.89
1993,118.50,79.76,141.27,135.50,171.99,35.32,0.07,55.81,33.32,74.89,114.93,114.47
1994,114.16,73.22,172.63,161.49,132.06,23.04,14.43,41.64,81.07,121.25,172.31,128.40
1995,78.43,91.93,133.33,175.50,154.85,82.98,5.49,3.92,84.31,150.83,137.40,92.82
1996,105.47,117.04,138.98,128.01,64.58,46.31,22.63,67.84,100.39,106.13,143.22,96.10
1997,168.49,14.14,96.05,190.43,145.13,35.06,11.15,25.36,26.00,163.74,175.66,169.64
1998,175.88,135.45,160.57,134.48,153.25,24.12,9.08,27.13,81.77,153.64,100.09,77.66
1999,132.07,27.47,161.82,93.64,56.64,1.86,0.49,95.25,78.37,117.42,169.42,111.19
2000,74.08,68.20,155.20,131.41,104.30,9.16,4.55,15.75,49.69,135.54,169.73,142.33
2001,195.27,82.89,189.61,103.08,82.64,15.71,56.48,73.13,128.02,141.27,197.33,116.85
2002,181.44,105.53,138.95,150.66,135.16,3.33,0.41,11.51,31.30,107.87,157.00,148.73
2003,104.37,78.62,147.43,176.36,160.67,8.18,3.92,51.83,123.26,168.72,107.28,91.87
2004,128.24,62.82,65.87,81.79,38.21,5.45,4.17,41.43,95.91,86.72,119.94,123.05
2005,172.10,69.82,151.84,60.87,104.04,11.83,0.36,50.67,104.10,102.94,74.25,78.78
2006,83.64,119.31,134.54,150.31,179.27,6.56,22.92,32.95,79.05,100.67,246.32,163.68
2007,105.03,127.19,86.68,145.80,143.49,40.89,72.34,29.72,137.35,109.17,157.48,136.55
2008,119.96,116.58,142.58,146.94,61.62,38.31,5.69,11.64,102.06,120.42,144.68,90.92
2009,101.01,138.05,150.24,175.69,98.18,42.72,8.83,24.70,88.70,128.18,142.17,117.70
2010,143.88,239.21,166.21,139.87,154.85,43.96,10.67,26.30,84.84,120.47,124.09,91.80
2011,84.67,106.43,160.11,143.58,98.54,38.28,44.42,44.60,244.76,133.36,169.54,124.83
2012,59.79,75.10,112.08,174.27,95.47,63.84,8.83,36.14,79.09,117.17,154.47,114.79
2013,101.36,81.08,181.33,145.35,93.93,16.66,8.83,35.53,161.64,95.98,178.90,115.65
2014,109.37,97.36,125.23,156.32,119.65,25.59,14.09,47.00,120.70,121.15,148.71,114.06
2015,86.59,89.38,118.54,163.08,119.43,47.40,11.34,31.88,92.69,159.82,192.07,132.83
