Variable:,pr
Country:,Sudan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.11,0.14,0.70,2.83,10.63,33.95,56.32,72.59,33.58,13.28,0.66,0.94
1902,0.09,0.15,0.58,2.51,13.78,21.26,75.90,68.83,41.35,18.96,1.54,1.14
1903,1.41,0.67,0.57,2.30,13.58,18.51,54.57,79.80,37.39,6.91,1.47,1.14
1904,0.30,0.10,0.53,2.20,10.82,22.72,64.73,72.56,43.36,11.04,1.91,0.45
1905,0.54,0.27,0.45,1.73,11.10,38.48,64.51,75.24,41.37,10.02,0.98,0.13
1906,0.28,0.14,1.06,2.74,8.32,31.06,66.60,78.88,49.72,15.84,1.22,0.37
1907,0.66,0.10,0.48,4.74,14.45,23.60,59.16,100.45,39.90,8.84,1.27,0.55
1908,0.22,0.21,1.01,2.78,11.49,23.42,71.45,76.16,44.47,15.65,1.25,0.44
1909,0.10,0.09,1.15,4.26,15.89,32.72,69.97,78.03,50.67,13.22,1.11,0.34
1910,0.13,0.08,0.40,2.09,13.57,31.42,64.69,79.42,45.45,18.19,0.46,0.20
1911,0.08,0.50,0.24,3.25,16.29,19.47,74.81,74.55,34.11,16.19,2.04,0.40
1912,0.54,0.47,0.61,0.79,6.69,26.38,63.84,85.90,46.74,9.90,0.86,1.43
1913,0.26,0.29,0.74,4.66,8.33,16.05,45.01,74.07,30.21,13.33,0.39,0.87
1914,0.58,0.17,0.44,1.79,11.52,25.92,60.94,104.63,35.48,12.72,1.15,0.57
1915,0.50,0.42,0.28,0.99,9.83,34.48,56.56,84.86,50.26,5.26,1.49,0.46
1916,0.15,0.17,0.26,2.29,9.74,42.06,67.00,88.68,40.18,13.46,2.17,0.69
1917,0.24,0.35,0.24,4.18,16.83,37.38,55.03,73.50,45.01,7.42,0.70,0.58
1918,0.50,0.20,0.98,1.99,9.62,39.55,60.60,88.08,27.20,8.11,1.15,0.36
1919,0.50,0.15,0.18,1.72,11.66,14.04,65.18,73.90,38.09,6.40,0.81,0.16
1920,0.42,0.18,0.87,1.69,27.54,41.92,79.38,120.43,40.15,9.82,0.71,0.82
1921,0.21,0.53,0.26,4.08,10.57,25.10,70.21,97.46,36.87,11.48,1.25,0.33
1922,0.37,0.13,0.22,1.32,13.06,21.94,95.68,123.38,49.89,26.58,0.47,0.43
1923,0.11,0.14,0.77,2.05,24.00,38.57,95.86,112.52,36.36,12.73,1.86,1.00
1924,0.41,0.07,1.79,3.40,5.71,39.61,53.99,106.50,57.98,12.47,1.50,0.30
1925,0.27,0.17,0.60,2.08,13.51,24.77,58.71,88.33,33.32,10.14,2.91,0.42
1926,0.20,0.17,0.13,6.78,12.67,37.25,67.94,67.12,32.82,9.90,0.48,0.40
1927,0.34,0.11,0.41,0.60,15.86,26.79,84.08,86.26,44.27,9.83,0.91,0.58
1928,0.39,0.17,1.58,4.54,20.75,27.80,67.90,102.48,33.66,7.48,0.99,0.33
1929,0.41,0.09,0.15,5.23,29.16,33.25,93.39,100.04,50.04,13.56,0.72,0.38
1930,0.09,0.10,0.94,4.52,16.48,46.21,75.44,105.31,30.19,11.39,0.58,0.15
1931,0.21,0.25,0.26,1.11,7.55,26.76,74.25,104.74,50.14,8.96,1.27,0.52
1932,0.35,0.16,0.29,1.30,8.93,30.02,69.46,104.05,44.65,14.81,0.79,0.38
1933,0.66,0.10,0.31,0.88,19.97,37.72,61.34,101.11,46.82,12.57,3.33,0.41
1934,0.25,0.51,0.23,3.90,24.26,51.23,75.61,101.97,41.35,14.60,1.47,0.53
1935,0.35,0.15,0.54,2.27,21.68,40.90,55.22,103.38,43.89,12.31,1.65,0.69
1936,0.22,0.15,0.70,4.61,15.33,33.33,65.75,113.51,39.65,16.71,0.43,0.33
1937,0.80,0.10,0.15,1.77,20.78,24.08,72.57,100.10,42.67,14.88,0.76,0.20
1938,0.13,0.48,0.13,4.40,11.54,20.62,90.80,106.62,54.24,9.35,1.22,0.52
1939,0.29,0.11,0.64,7.62,24.61,25.22,71.54,92.20,61.80,17.76,0.96,0.52
1940,0.19,0.27,0.50,3.40,20.18,30.31,67.72,79.70,25.76,14.34,1.07,0.46
1941,0.19,0.08,0.25,5.48,27.38,26.05,58.25,83.52,30.50,9.83,2.44,0.24
1942,0.09,0.57,0.55,0.82,19.58,17.38,91.50,96.92,28.85,11.91,0.73,0.17
1943,0.09,0.11,0.77,0.65,10.92,20.80,72.94,88.74,41.97,23.71,1.17,0.51
1944,0.38,0.08,1.54,2.64,10.26,27.01,87.72,76.92,41.17,12.07,1.57,0.25
1945,0.28,0.18,0.34,1.21,36.20,22.31,58.96,101.05,43.47,16.55,1.59,0.22
1946,0.37,0.25,1.00,4.92,9.27,47.13,83.20,117.68,53.77,17.61,2.02,0.34
1947,0.26,0.11,0.10,4.41,26.19,20.73,67.29,79.28,50.85,10.97,2.20,0.38
1948,0.68,0.15,0.11,2.86,19.19,40.14,59.34,84.05,31.72,7.44,0.45,0.28
1949,0.14,0.18,0.95,0.70,25.80,22.78,50.08,81.45,36.27,16.09,1.00,0.71
1950,0.07,0.09,0.19,7.70,20.76,22.65,98.13,119.90,52.98,8.36,0.31,0.34
1951,0.10,0.09,0.20,0.22,22.15,21.59,61.58,86.94,50.10,21.97,2.54,0.32
1952,0.11,0.12,0.23,1.98,8.68,19.52,55.88,120.64,49.44,15.08,0.55,0.49
1953,0.08,0.11,0.18,2.25,26.05,37.58,88.35,113.16,42.45,13.24,1.73,0.23
1954,0.06,0.21,0.40,3.60,15.87,25.41,87.87,107.61,46.09,11.54,0.30,0.40
1955,0.12,0.09,0.47,5.71,12.48,36.26,64.61,82.65,54.48,12.30,1.41,0.35
1956,0.11,0.09,0.64,2.01,6.93,29.91,87.17,122.74,55.97,10.92,0.59,0.57
1957,0.18,0.27,1.84,1.86,19.62,33.14,67.43,93.27,43.10,12.43,2.07,0.36
1958,0.17,0.08,0.13,6.76,10.91,43.66,97.81,78.30,34.38,8.13,1.54,0.41
1959,0.14,0.18,0.29,3.31,8.83,20.73,62.56,123.29,51.10,10.83,1.12,0.92
1960,0.10,0.08,0.44,2.82,8.47,22.66,69.62,60.65,47.60,15.36,0.66,0.29
1961,0.46,0.20,0.15,0.82,3.68,42.66,88.17,116.24,31.56,10.67,2.07,0.90
1962,0.27,0.08,0.93,1.49,3.72,39.05,69.70,116.53,45.56,17.95,3.73,0.63
1963,0.26,0.25,0.13,6.74,26.39,23.86,75.75,82.55,40.76,12.51,2.86,0.38
1964,0.10,0.06,0.11,3.31,5.99,26.00,84.66,123.81,37.47,19.40,0.56,1.03
1965,0.05,0.06,1.05,0.85,3.52,30.15,67.13,111.31,35.24,13.65,2.07,0.28
1966,0.12,0.07,1.65,2.97,26.96,30.87,44.42,79.10,42.28,13.54,2.59,0.36
1967,0.09,0.09,0.19,5.45,4.40,34.58,57.41,110.42,35.55,16.17,0.96,0.29
1968,0.08,0.29,0.13,2.10,10.13,58.81,74.31,72.28,31.67,6.51,1.66,0.10
