Variable:,pr
Country:,Senegal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.06,0.19,0.03,1.07,31.56,104.07,233.44,279.87,179.44,54.38,3.16,0.12
1902,0.06,0.19,0.03,0.39,13.76,55.15,161.47,206.63,107.44,82.53,1.64,0.12
1903,0.08,0.19,0.03,0.64,11.14,123.30,143.36,284.94,132.85,43.98,0.86,0.13
1904,0.06,0.19,0.03,0.38,10.84,107.57,176.85,294.97,129.13,58.54,2.23,0.28
1905,0.01,0.21,0.05,0.47,22.31,117.21,231.89,285.53,193.84,151.50,6.26,0.05
1906,0.36,0.16,0.03,0.68,29.91,122.24,343.39,402.62,195.45,49.58,12.11,0.95
1907,2.22,0.05,0.32,0.41,4.36,61.88,107.60,226.02,190.79,72.68,0.88,0.09
1908,0.02,0.05,0.14,0.44,2.23,41.04,112.08,350.29,220.58,41.17,0.72,1.04
1909,0.06,0.12,0.09,1.07,14.98,109.33,159.52,314.23,195.47,72.65,1.32,1.06
1910,0.01,0.05,0.10,0.35,4.29,61.84,200.33,292.56,208.88,40.36,1.22,0.07
1911,0.01,0.05,0.02,0.29,27.66,56.40,134.28,255.28,163.30,46.74,1.98,0.57
1912,0.05,0.12,0.02,0.29,2.06,45.75,143.93,253.22,197.28,46.23,3.03,0.09
1913,2.46,0.05,0.13,0.40,4.19,76.68,160.61,190.99,121.95,40.62,1.22,2.45
1914,0.08,0.12,0.02,0.31,7.32,101.87,157.03,295.04,230.94,65.95,19.44,0.09
1915,0.06,0.22,0.07,1.00,12.15,74.99,220.70,325.63,172.77,44.03,2.10,0.16
1916,0.06,0.56,0.11,1.06,6.30,78.70,177.54,324.04,198.08,47.50,1.30,0.17
1917,0.06,0.23,0.10,0.99,10.00,68.75,121.98,319.79,231.31,46.09,1.60,0.16
1918,0.40,0.05,0.03,0.27,30.19,119.43,180.18,338.65,249.47,91.18,0.39,0.03
1919,0.03,0.03,0.02,3.59,29.11,85.81,184.64,218.64,199.01,55.50,0.38,0.02
1920,0.28,0.67,0.00,0.42,11.18,94.10,135.12,295.15,211.45,47.95,1.78,0.01
1921,0.01,0.11,0.08,0.57,7.06,85.02,101.22,279.60,177.26,51.17,1.58,1.07
1922,0.01,0.00,0.01,0.45,9.54,48.73,149.08,258.58,219.91,116.28,4.95,0.21
1923,1.24,0.01,0.03,1.32,6.88,48.51,172.07,262.26,206.64,82.38,16.47,1.01
1924,1.41,0.04,0.00,0.42,7.38,116.14,223.84,227.22,243.47,27.22,8.79,0.14
1925,0.07,0.00,0.42,0.37,11.35,91.76,137.36,279.15,202.15,83.35,0.36,0.01
1926,0.23,0.02,0.01,0.14,3.84,98.07,168.52,239.27,185.28,23.88,2.70,0.01
1927,0.00,0.10,0.00,1.71,42.62,114.98,141.57,379.15,230.20,120.26,7.43,0.36
1928,0.43,0.03,0.04,0.86,17.28,69.87,160.20,385.76,182.64,117.92,9.66,0.18
1929,0.00,0.00,0.02,0.35,9.08,125.69,147.91,332.71,235.12,54.77,0.06,1.92
1930,0.48,1.56,0.02,0.33,10.44,102.31,139.51,273.06,209.50,63.82,0.75,0.43
1931,0.27,1.79,0.06,0.81,30.51,65.21,194.97,109.71,230.39,46.27,1.34,0.02
1932,0.21,0.06,0.02,2.72,33.31,99.47,181.35,312.66,181.08,25.99,2.06,0.00
1933,1.32,0.27,0.01,0.25,20.86,152.50,253.74,297.87,215.28,56.25,14.99,0.23
1934,0.00,0.00,0.01,0.26,0.42,88.37,156.18,289.72,186.84,48.28,3.76,0.06
1935,0.37,0.00,0.02,0.31,3.30,127.15,220.60,358.21,210.37,68.10,7.59,0.08
1936,0.01,0.06,0.01,0.41,37.62,137.52,201.75,359.61,234.00,71.37,9.28,0.15
1937,0.00,0.02,0.03,0.55,3.49,64.79,184.22,295.12,179.00,106.60,1.45,0.06
1938,0.02,0.13,0.35,0.04,10.97,59.31,160.41,297.13,251.04,112.58,2.05,0.00
1939,0.00,0.00,0.05,0.32,18.11,67.01,151.29,306.52,202.62,85.06,3.76,1.10
1940,0.14,0.00,0.00,0.15,15.67,81.38,132.89,323.06,199.27,139.78,2.12,0.06
1941,0.00,0.07,0.02,0.60,28.80,55.69,137.80,162.82,261.48,17.67,0.52,0.00
1942,0.00,1.57,0.00,1.57,20.00,64.34,135.93,307.24,159.16,46.57,6.35,0.04
1943,0.00,1.82,0.00,1.56,14.50,106.54,158.64,332.11,229.39,78.59,0.83,1.59
1944,0.01,0.07,0.01,0.37,4.76,84.69,124.94,208.00,205.64,95.83,12.38,0.62
1945,0.00,0.00,0.07,3.74,8.55,42.93,175.98,305.33,219.10,61.18,6.29,0.00
1946,0.00,0.00,0.07,0.49,2.19,64.08,186.08,281.23,212.37,89.06,0.57,0.01
1947,0.05,0.00,0.00,0.05,1.23,54.44,132.94,322.80,210.97,55.76,9.57,0.10
1948,0.00,2.16,0.00,1.37,11.32,128.98,150.06,299.39,132.44,45.58,0.50,0.08
1949,0.00,0.01,0.29,0.39,8.26,85.72,180.88,293.63,115.69,42.59,0.41,3.82
1950,0.00,0.00,0.00,0.25,17.55,75.91,170.93,400.79,280.39,135.68,11.61,0.01
1951,0.09,0.21,0.03,2.24,25.00,58.30,162.50,309.81,227.11,205.30,19.10,0.08
1952,0.12,0.05,0.02,0.10,26.76,72.67,211.15,210.36,353.34,117.70,1.10,0.11
1953,0.02,0.15,0.01,0.02,5.25,82.81,227.84,243.81,216.66,107.23,5.50,0.06
1954,0.11,6.45,0.00,0.20,10.34,92.12,209.39,344.24,160.38,42.75,21.12,0.06
1955,0.02,0.51,0.23,3.56,21.34,112.25,243.41,314.48,242.55,50.54,1.84,0.24
1956,0.66,0.01,0.01,0.40,13.40,94.89,166.32,238.39,255.06,67.31,9.09,2.84
1957,0.67,0.30,0.01,0.98,0.62,94.18,156.30,282.92,273.40,135.17,6.35,2.07
1958,0.60,0.60,0.01,1.19,12.96,121.93,154.08,416.83,179.50,70.82,13.24,0.09
1959,0.56,0.14,0.02,0.04,13.13,87.87,137.10,310.40,200.17,25.81,6.36,0.02
1960,0.00,0.05,0.00,0.15,14.10,78.70,188.74,262.42,246.48,33.43,5.68,0.01
1961,0.09,0.05,0.00,0.16,9.23,113.43,209.99,269.22,237.47,35.62,4.17,0.00
1962,0.07,0.75,0.00,0.84,13.54,71.38,156.79,315.99,142.53,77.65,3.43,0.00
1963,0.04,0.02,0.00,0.08,5.26,60.74,194.36,237.06,174.51,149.36,2.83,0.00
1964,1.52,0.30,0.00,4.97,28.45,102.64,211.54,298.15,223.20,29.01,0.63,0.53
1965,0.42,0.88,0.00,0.38,7.31,94.88,142.10,326.59,237.64,82.71,10.44,0.05
1966,0.03,0.02,0.11,1.69,11.97,127.17,80.30,201.00,283.29,188.82,1.74,1.63
1967,0.00,0.00,0.01,0.64,8.32,79.45,174.84,258.15,277.50,92.91,1.00,0.22
1968,0.02,4.89,0.00,1.02,5.48,59.37,136.91,106.34,185.44,56.59,3.60,0.63
1969,0.00,0.00,0.10,0.24,13.32,42.55,230.38,282.68,197.85,153.64,0.71,0.00
1970,0.00,0.00,0.05,0.03,19.58,55.90,160.40,229.10,136.61,21.01,3.54,0.01
1971,0.13,0.00,0.00,1.93,3.96,65.92,155.41,276.00,190.90,22.14,1.73,0.09
1972,1.83,0.75,0.00,0.15,13.96,74.29,108.77,169.62,104.13,64.90,1.81,0.05
1973,0.00,0.33,0.00,0.61,14.85,67.92,140.16,226.04,109.14,22.81,0.40,0.00
1974,0.00,0.04,0.01,0.22,4.10,36.12,175.71,286.92,164.15,45.26,3.54,0.04
1975,0.00,0.00,0.00,0.04,6.23,38.22,273.42,215.58,254.93,42.03,0.46,0.15
1976,0.89,1.28,0.34,4.45,18.49,55.50,148.81,180.90,178.63,75.08,15.97,4.17
1977,0.03,0.28,0.00,1.31,5.26,42.95,121.20,138.62,212.43,29.50,0.00,0.53
1978,0.03,0.01,0.00,0.15,10.59,96.53,172.59,219.72,195.21,73.01,21.26,2.84
1979,3.38,0.05,0.02,0.03,25.11,116.36,157.75,188.46,98.15,64.77,6.58,3.81
1980,0.00,3.67,0.04,0.05,2.71,41.27,102.05,231.10,152.78,22.09,0.71,1.63
1981,1.05,0.58,0.59,1.35,26.67,42.80,179.53,244.19,137.97,46.74,2.49,0.00
1982,0.00,0.50,0.05,0.31,8.16,54.01,149.28,220.80,111.52,53.75,0.03,0.00
1983,0.00,2.07,0.26,0.04,11.08,72.57,112.16,139.82,101.41,18.22,1.08,0.00
1984,0.00,0.00,0.00,0.49,19.33,128.48,117.99,117.48,146.40,47.86,5.75,0.15
1985,0.57,0.00,0.14,0.94,1.31,60.06,145.17,231.11,186.71,16.84,0.58,2.68
1986,0.00,0.13,0.01,0.96,15.04,34.87,99.45,201.84,264.75,42.48,0.78,0.00
1987,0.00,0.11,0.06,0.00,7.91,81.41,147.24,186.85,196.46,62.89,0.43,0.00
1988,0.78,0.93,0.00,1.08,18.93,49.42,142.37,313.27,198.48,25.00,2.00,0.43
1989,0.00,0.04,0.02,0.02,5.95,118.08,191.64,267.41,142.13,59.74,1.76,0.05
1990,0.77,0.03,0.04,1.08,1.95,50.32,136.29,209.02,132.23,49.84,0.76,0.04
1991,0.38,0.00,0.00,0.78,8.16,43.39,141.65,164.63,162.54,77.02,0.18,0.33
1992,0.58,2.67,0.05,0.64,20.17,68.07,130.17,198.39,151.38,45.80,1.88,0.26
1993,0.27,1.05,0.01,2.87,3.72,55.63,160.38,203.76,163.92,38.19,4.05,1.60
1994,0.00,0.01,0.01,0.39,9.03,59.69,157.46,284.10,190.71,78.03,7.48,0.00
1995,0.00,0.06,0.18,0.42,7.19,59.99,154.61,265.97,164.84,49.96,0.59,0.34
1996,0.00,0.12,0.06,0.01,6.92,48.61,152.68,209.01,147.28,57.34,2.12,0.17
1997,0.18,0.00,0.00,0.29,25.68,106.19,77.72,214.55,179.67,41.90,0.57,0.00
1998,0.00,0.01,0.00,0.16,4.78,37.64,117.75,236.23,262.85,31.38,0.05,0.33
1999,0.00,0.08,0.00,1.29,10.76,63.87,157.59,309.12,202.30,132.32,1.56,0.63
2000,0.42,0.03,0.03,0.25,2.29,63.48,174.33,226.04,152.75,99.60,4.42,0.00
2001,0.01,0.00,0.00,0.09,2.95,101.80,159.45,155.96,169.44,31.29,16.46,0.05
2002,2.33,0.01,0.04,0.58,5.88,56.44,57.26,161.33,131.74,74.65,0.05,1.95
2003,0.00,0.39,0.00,1.01,1.27,80.83,162.31,278.23,228.81,83.26,2.89,0.00
2004,1.08,0.67,0.01,0.28,11.60,85.06,169.22,205.90,153.76,11.02,3.65,0.00
2005,0.00,2.14,0.42,0.11,23.68,104.02,230.73,262.64,219.07,52.22,0.75,0.01
2006,0.13,0.18,0.00,0.01,4.82,97.44,107.77,253.98,185.84,51.81,0.04,0.00
2007,0.00,0.00,0.03,0.01,6.62,34.57,149.06,237.18,191.07,35.11,6.07,0.00
2008,0.00,3.09,0.00,0.04,17.58,113.52,189.61,264.64,182.48,62.50,0.02,0.05
2009,0.00,0.00,0.06,0.00,11.47,70.00,179.04,304.43,214.84,33.71,0.98,0.34
2010,0.00,0.00,0.00,1.73,10.03,90.28,198.72,259.62,305.03,58.64,1.64,0.00
2011,0.00,0.00,0.03,0.04,7.21,57.67,119.31,279.07,154.56,35.72,0.02,0.00
2012,0.00,0.00,0.01,1.92,22.28,95.57,177.83,276.83,253.51,59.69,0.86,0.99
2013,0.48,0.08,0.00,0.55,8.51,52.66,125.04,274.20,234.83,57.11,3.67,2.48
