Variable:,pr
Country:,"Sierra Leone"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.64,16.47,40.87,101.04,228.91,335.81,476.01,548.93,440.27,320.10,131.60,24.32
1902,6.64,16.47,40.87,101.04,228.91,335.81,476.01,548.93,440.27,320.10,131.60,24.32
1903,27.81,16.47,41.40,78.58,233.24,374.56,562.42,494.38,421.95,324.30,183.51,44.14
1904,14.08,16.47,45.65,69.23,231.92,326.30,611.91,613.72,465.63,427.18,131.60,24.32
1905,3.58,8.67,21.15,104.65,152.85,489.79,526.44,484.41,553.93,579.88,193.56,15.92
1906,22.75,27.53,32.09,245.94,365.47,632.95,216.95,797.71,625.08,341.54,208.26,119.86
1907,3.58,8.67,21.15,59.66,198.34,469.51,172.64,801.30,377.83,260.01,167.69,11.29
1908,6.64,5.68,21.15,99.22,217.97,276.61,301.66,919.11,653.65,312.32,116.79,11.29
1909,6.64,16.47,40.87,101.04,228.91,335.81,476.01,548.93,440.27,320.10,131.60,24.32
1910,3.58,8.67,48.73,104.44,169.04,378.44,168.05,549.72,685.73,391.95,75.01,37.34
1911,3.58,8.67,28.06,44.66,197.95,707.78,411.23,258.48,477.37,348.05,143.44,11.32
1912,3.58,8.67,21.15,44.66,149.45,393.14,1151.12,588.60,160.13,406.77,140.25,11.29
1913,19.83,20.93,23.08,75.93,303.27,300.36,331.68,668.96,443.00,343.82,147.73,71.08
1914,2.88,23.31,18.66,101.26,157.28,456.86,212.83,345.99,490.16,307.84,190.84,1.17
1915,0.12,5.73,72.07,201.84,347.47,279.66,484.60,706.16,434.95,312.50,215.93,8.35
1916,0.04,14.76,105.02,81.03,219.48,345.98,471.38,744.03,547.94,264.41,114.86,64.60
1917,6.64,21.29,99.96,44.68,87.81,152.49,223.12,773.91,541.54,320.10,217.15,24.32
1918,6.64,16.47,40.87,101.04,264.22,340.06,487.82,569.79,431.82,307.95,131.60,24.32
1919,6.64,16.47,40.86,101.04,231.56,340.70,480.32,554.77,449.40,315.40,131.60,23.76
1920,6.64,16.47,39.20,101.04,231.81,354.86,470.88,565.95,446.30,315.54,132.27,24.32
1921,7.86,18.51,46.44,102.69,242.71,269.98,778.96,372.02,460.87,341.00,234.84,43.50
1922,3.16,3.26,44.62,123.71,217.50,324.97,318.51,654.19,527.47,411.83,265.75,76.49
1923,1.60,15.90,89.88,139.93,220.43,410.49,519.49,394.07,543.87,368.17,238.37,35.85
1924,21.16,52.80,44.22,123.46,234.68,379.08,488.02,536.23,467.48,396.78,233.04,8.01
1925,0.03,18.63,101.88,103.96,281.21,445.95,325.15,582.60,406.49,408.63,192.78,26.79
1926,2.33,0.19,37.46,99.04,244.29,368.88,457.15,636.67,469.67,303.23,193.08,11.92
1927,1.85,13.31,62.80,107.62,298.91,489.04,390.21,466.20,460.22,366.63,119.72,14.11
1928,8.72,1.38,60.85,194.84,273.52,417.83,577.49,630.78,542.03,386.86,110.34,40.38
1929,9.13,20.73,73.04,121.90,249.13,487.25,454.22,584.58,537.69,304.78,80.73,8.58
1930,14.26,42.69,46.40,74.81,294.64,308.58,446.57,451.75,488.79,313.05,68.24,42.23
1931,19.17,15.75,89.80,153.80,287.88,463.50,607.59,438.33,467.51,316.66,215.49,42.83
1932,10.83,25.34,83.40,217.67,314.43,485.40,425.00,651.74,455.61,346.90,233.25,19.09
1933,8.33,46.18,44.77,139.32,225.94,503.94,467.21,589.98,391.40,256.91,237.71,105.40
1934,1.34,14.44,55.86,87.53,80.03,318.89,617.72,458.59,451.50,386.91,77.77,4.03
1935,11.66,6.52,20.76,60.01,164.63,453.45,506.25,500.12,430.94,309.88,146.82,26.72
1936,2.29,33.05,81.26,161.76,360.45,396.33,379.71,501.66,447.36,331.95,258.85,24.17
1937,0.26,9.00,105.20,123.57,189.20,331.01,453.78,546.73,453.74,411.59,127.57,12.79
1938,1.31,26.28,93.61,98.83,362.71,368.39,455.22,602.87,434.96,368.07,180.85,5.09
1939,5.85,18.51,39.08,45.73,216.02,436.05,381.89,525.66,505.07,423.13,176.32,35.37
1940,6.17,14.07,23.39,100.37,206.79,427.92,371.42,614.27,373.09,395.80,192.87,11.84
1941,14.37,2.25,56.58,83.24,213.56,409.46,390.95,601.22,468.24,249.49,149.38,12.76
1942,16.58,2.98,48.93,105.97,260.12,313.47,631.60,491.95,348.03,371.18,238.87,17.33
1943,13.73,16.55,48.97,148.58,186.59,384.33,374.20,648.98,524.62,306.13,152.00,71.43
1944,1.80,7.32,36.54,92.18,180.63,354.19,442.90,732.27,456.42,306.39,204.89,37.96
1945,2.25,5.21,49.75,132.38,198.94,336.29,559.69,600.53,503.58,394.81,151.85,16.28
1946,3.86,2.53,69.84,113.34,300.84,369.38,530.57,579.05,442.97,436.05,127.98,41.99
1947,0.31,41.08,37.46,74.76,152.64,386.71,433.61,659.54,489.62,248.09,80.50,52.85
1948,0.10,5.75,38.86,91.85,227.91,429.14,435.45,454.47,535.91,324.82,176.74,24.65
1949,2.85,4.74,74.26,126.25,197.94,215.26,639.66,522.35,441.85,344.87,166.82,43.45
1950,6.82,4.28,49.57,64.81,192.79,342.59,403.97,407.32,508.23,339.88,163.17,28.43
1951,32.93,56.22,101.36,93.91,306.95,286.57,561.92,602.11,465.10,511.91,233.11,8.16
1952,7.88,33.62,56.77,59.98,249.28,295.69,655.91,497.09,529.92,294.15,216.15,32.09
1953,12.86,34.09,78.57,135.87,187.02,478.95,556.20,633.36,467.12,341.69,151.99,52.67
1954,3.17,53.32,77.79,188.24,269.71,381.60,538.58,588.85,464.47,373.20,301.07,48.29
1955,8.25,38.23,135.15,175.17,287.17,414.19,472.14,543.56,533.28,361.32,131.01,71.29
1956,4.48,57.79,74.71,122.26,206.65,375.54,490.45,396.01,440.87,264.06,146.19,99.14
1957,4.04,10.31,56.09,99.46,160.06,306.20,437.81,540.08,530.74,521.50,204.52,33.53
1958,14.70,22.10,105.71,187.61,277.09,355.52,215.45,435.37,432.58,373.24,292.36,35.78
1959,11.76,16.30,47.14,72.20,340.38,323.94,424.76,464.75,512.85,284.38,237.78,11.56
1960,3.76,15.03,46.98,72.00,251.73,342.28,438.29,641.22,534.50,328.77,124.81,45.49
1961,1.45,15.12,25.33,115.47,184.64,338.00,867.46,507.42,447.68,282.28,147.91,4.39
1962,2.99,7.84,36.33,152.64,295.24,337.76,492.89,606.45,472.10,313.85,321.46,8.76
1963,23.08,58.10,65.01,73.33,193.34,283.21,695.97,554.95,436.20,420.30,114.24,13.11
1964,7.03,9.41,44.21,55.97,217.26,331.82,447.40,583.62,494.64,250.24,133.33,81.35
1965,18.67,16.45,24.85,86.49,256.99,385.18,356.32,592.65,477.09,360.70,121.08,2.61
1966,0.06,10.86,62.80,88.02,280.82,362.96,739.88,584.90,562.80,425.84,173.99,46.03
1967,0.88,8.65,14.35,105.33,205.02,509.20,374.72,519.48,486.91,410.97,143.10,13.50
1968,5.02,49.26,25.81,106.18,330.85,374.50,504.19,499.33,504.63,335.18,203.35,65.77
1969,2.16,19.21,120.47,113.89,218.64,370.68,510.51,628.39,454.55,444.12,141.85,18.74
1970,3.72,15.96,64.53,90.62,263.27,281.26,441.39,491.03,419.14,242.30,154.82,16.93
1971,0.63,6.79,16.43,176.16,144.22,241.35,437.09,505.30,483.10,272.91,176.60,94.32
1972,8.83,8.92,63.05,110.57,266.87,346.52,366.19,507.87,367.24,337.79,82.63,9.05
1973,0.17,4.80,52.05,95.08,305.54,256.18,375.56,518.79,427.30,314.18,152.05,16.25
1974,0.06,4.65,27.85,77.19,170.20,298.96,679.53,458.25,431.07,338.96,108.66,5.05
1975,0.29,9.63,43.76,133.33,199.02,266.04,435.67,503.22,527.80,305.79,68.69,26.26
1976,17.86,20.76,33.49,147.63,232.65,396.96,275.29,528.39,441.30,484.79,189.41,6.42
1977,12.14,3.39,33.54,59.35,204.20,424.59,321.25,643.38,498.37,290.26,82.05,19.36
1978,17.43,41.54,37.94,137.72,218.27,374.37,466.45,560.54,479.89,329.46,106.13,17.89
1979,17.59,3.09,26.82,52.33,240.76,339.07,490.74,620.01,398.10,366.77,125.42,29.43
1980,19.02,27.84,21.69,97.12,229.09,285.25,557.89,449.13,391.03,312.42,200.84,44.65
1981,0.09,26.96,75.50,101.66,293.39,400.15,413.51,624.38,460.83,334.40,73.36,33.55
1982,0.57,9.50,41.93,129.47,230.37,317.26,546.98,584.87,344.08,271.32,82.75,0.97
1983,0.02,21.27,17.46,86.69,265.40,510.17,544.88,465.67,418.58,189.52,107.58,9.75
1984,0.99,8.81,49.44,159.98,269.12,294.13,422.54,454.35,296.32,286.70,84.80,0.46
1985,8.85,18.18,29.59,79.88,129.58,197.89,459.87,727.83,389.70,222.84,125.98,1.14
1986,0.03,12.85,23.60,81.09,209.95,268.66,423.71,500.74,380.76,287.00,86.63,1.15
1987,7.58,8.45,13.15,69.71,235.68,278.19,332.39,633.87,420.23,290.28,60.12,22.09
1988,0.02,16.99,33.31,72.10,162.18,419.80,451.54,536.90,402.02,211.78,89.29,7.53
1989,3.08,21.21,72.76,92.05,201.72,284.74,492.91,599.75,421.15,325.61,124.48,10.72
1990,2.37,12.41,16.83,91.07,201.06,260.74,329.53,486.01,404.87,278.38,125.28,61.00
1991,1.72,5.66,27.90,60.23,163.95,311.73,577.21,413.77,326.29,336.50,62.66,21.87
1992,6.26,25.06,7.74,98.30,238.28,376.19,658.02,722.34,419.25,282.81,125.06,16.43
1993,0.02,10.04,50.78,89.01,178.99,463.95,446.42,444.48,385.58,324.75,133.76,3.33
1994,7.44,17.50,53.73,75.53,220.24,318.22,464.66,583.28,511.49,344.40,141.23,6.47
1995,0.03,2.58,57.02,130.72,223.80,246.87,443.82,642.61,464.96,360.58,72.46,39.43
1996,20.50,26.32,64.00,76.41,267.18,302.10,396.54,630.46,521.60,289.21,32.92,21.08
1997,16.49,8.70,11.42,89.83,232.15,301.10,358.28,587.99,490.39,278.17,75.32,18.79
1998,6.32,15.60,36.16,77.66,173.39,232.32,480.34,906.60,524.47,314.09,122.50,23.65
1999,4.42,15.25,38.92,99.72,225.69,332.90,476.01,560.22,443.96,352.98,128.27,22.23
2000,6.29,14.72,40.18,101.52,222.05,341.61,478.65,557.33,422.97,329.77,137.87,22.56
2001,6.54,15.46,40.00,99.73,228.91,337.62,476.06,545.21,435.08,318.58,134.14,24.07
2002,8.78,16.47,40.15,101.23,227.11,335.03,478.50,548.88,437.13,317.53,128.97,20.24
2003,6.64,62.44,40.00,112.80,223.70,336.78,282.85,548.31,441.25,319.56,145.77,24.07
2004,6.54,16.20,40.87,100.45,232.45,335.81,480.39,546.73,440.27,320.10,140.90,24.31
2005,6.64,16.47,40.87,101.04,215.65,152.65,475.43,548.93,446.41,319.91,131.60,24.32
2006,6.64,16.46,41.36,95.83,161.77,160.76,242.04,1400.14,392.14,354.62,99.74,24.32
2007,6.64,16.47,40.87,61.61,149.56,155.18,287.93,1005.42,394.89,247.44,134.78,24.32
2008,6.54,16.20,39.31,95.83,228.25,331.01,476.79,545.98,432.68,325.66,125.87,24.36
2009,6.64,16.47,39.31,95.83,230.80,326.09,466.67,557.53,448.71,312.03,125.88,24.06
2010,6.64,16.47,39.32,127.18,240.11,334.91,479.21,546.09,451.15,325.97,131.51,24.07
2011,6.54,16.20,40.91,95.91,220.65,332.67,482.84,568.70,437.65,307.74,125.94,24.07
2012,6.54,16.20,39.31,88.80,228.06,331.57,477.77,547.98,445.12,320.09,131.60,24.32
2013,6.64,16.47,39.31,104.38,220.57,330.99,468.91,556.99,449.91,309.07,137.30,24.07
2014,6.54,16.20,44.44,95.83,229.49,330.02,464.47,540.62,444.58,311.84,129.47,24.06
2015,6.54,16.20,39.31,101.97,224.23,326.49,478.26,577.87,438.69,332.11,125.37,23.77
2016,7.65,15.26,38.32,102.73,225.79,338.09,478.31,546.06,449.25,321.39,129.73,23.07
2017,6.50,15.46,38.98,97.12,236.94,331.73,474.61,554.90,435.58,311.81,129.36,24.07
2018,6.54,16.24,40.66,98.40,223.46,335.37,471.15,549.54,442.57,318.99,128.93,24.06
2019,6.64,16.47,40.02,101.04,228.91,335.81,296.80,545.36,442.15,309.96,142.30,11.30
2020,6.54,16.45,40.81,244.01,224.38,336.98,274.84,551.24,434.98,317.11,131.46,24.06
2021,6.64,16.45,40.85,101.03,226.27,332.03,468.32,562.95,435.17,451.43,122.73,24.07
