Variable:,pr
Country:,"South Sudan"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.75,5.14,40.56,62.95,116.61,138.83,140.65,164.30,117.18,88.97,44.62,2.54
1902,1.96,4.25,33.79,69.27,105.60,129.91,163.45,157.52,207.06,137.36,28.90,11.70
1903,1.99,3.92,19.85,65.29,121.92,132.81,204.70,180.12,142.21,115.45,16.08,2.96
1904,1.84,12.13,41.32,47.47,132.44,119.79,130.75,171.21,112.16,82.47,21.93,4.58
1905,1.85,4.86,10.25,39.11,84.77,131.09,123.73,219.81,161.86,86.25,42.29,12.83
1906,4.08,19.69,41.01,49.67,108.15,131.36,156.06,161.88,154.64,113.61,10.86,1.42
1907,0.85,23.99,11.90,72.71,129.34,115.54,170.17,164.61,109.81,102.10,35.38,3.46
1908,1.75,3.83,29.78,84.67,163.81,110.66,168.58,237.64,142.08,115.73,30.57,3.60
1909,3.82,5.93,43.49,129.83,104.16,137.19,167.40,164.58,158.77,60.94,31.77,19.62
1910,1.54,9.37,16.16,54.29,124.32,116.21,156.02,203.76,114.96,110.56,21.06,2.84
1911,2.39,5.96,17.80,48.68,152.65,133.66,161.66,186.28,84.01,99.72,21.24,4.64
1912,1.89,18.06,15.09,34.57,86.03,159.58,200.60,177.45,132.23,73.36,11.92,3.83
1913,1.51,7.39,15.33,97.34,69.52,90.03,128.88,147.17,78.42,82.17,9.01,2.22
1914,3.40,7.76,40.08,46.15,106.74,134.14,194.77,220.29,167.35,124.53,57.55,8.54
1915,1.30,10.70,40.02,47.37,89.62,158.23,155.85,225.87,179.16,95.92,42.54,6.49
1916,0.85,5.22,27.90,87.90,156.33,181.05,201.69,231.80,178.48,112.87,39.86,8.38
1917,3.69,8.75,14.66,77.02,124.90,166.29,161.36,188.22,203.77,109.13,16.15,2.43
1918,1.42,4.83,34.45,61.05,131.11,162.24,140.71,178.06,146.00,53.31,25.68,10.43
1919,8.08,14.54,18.76,68.86,143.39,149.36,149.93,191.64,122.37,76.22,51.90,2.03
1920,1.09,2.77,25.69,98.75,171.13,171.79,149.16,157.65,169.10,113.63,31.30,2.55
1921,1.64,2.44,8.58,92.44,103.20,125.99,213.31,183.66,137.56,96.36,15.97,4.57
1922,1.20,11.27,15.91,89.75,136.37,139.81,178.44,194.18,145.65,114.32,19.14,2.95
1923,1.46,14.04,45.81,81.13,165.68,114.29,210.26,177.66,153.84,85.70,22.44,7.06
1924,3.21,12.53,37.57,115.76,80.25,110.27,140.70,211.32,151.45,123.52,24.04,6.48
1925,1.07,5.60,33.78,43.58,101.09,131.71,165.09,140.21,113.36,84.08,55.75,6.83
1926,1.59,10.59,17.52,81.67,125.84,150.43,178.19,209.47,155.82,80.60,16.56,1.01
1927,1.58,11.07,42.24,55.55,79.52,130.21,188.67,162.07,117.73,50.28,23.67,5.74
1928,4.58,3.16,42.34,99.41,170.00,140.09,142.62,174.72,128.73,93.46,20.16,3.12
1929,2.29,9.21,16.64,93.83,145.47,135.17,193.26,148.54,132.09,106.70,29.38,11.85
1930,2.23,4.56,21.30,114.17,111.00,142.31,141.31,159.14,109.71,83.54,18.69,11.68
1931,2.15,5.39,24.75,59.50,98.13,140.03,155.91,195.59,177.67,85.97,20.97,5.61
1932,1.92,7.56,46.32,41.89,144.35,131.88,185.53,182.04,175.32,93.61,19.54,8.05
1933,5.70,18.35,27.38,37.38,142.10,119.02,155.11,211.19,133.73,99.53,29.44,9.36
1934,0.35,1.24,37.43,93.57,115.40,144.93,186.79,219.77,122.62,97.45,17.41,10.84
1935,0.90,11.98,37.68,66.54,141.67,151.38,106.28,142.04,162.23,80.07,19.63,11.49
1936,4.21,12.39,33.15,71.21,114.38,165.17,136.76,163.82,123.49,100.10,9.52,9.29
1937,4.67,19.25,14.87,70.19,140.44,153.99,169.93,178.94,109.17,106.72,23.39,3.84
1938,2.40,8.59,21.81,100.86,134.88,146.35,179.77,224.13,172.18,97.59,10.47,3.63
1939,2.08,11.58,32.19,106.32,125.44,101.24,171.33,177.50,167.56,91.50,32.81,2.35
1940,9.52,17.14,27.08,84.64,141.16,120.19,171.33,168.36,93.01,58.49,24.59,3.72
1941,0.90,9.24,34.75,63.55,176.79,151.92,144.48,167.08,108.62,86.21,48.54,8.54
1942,3.48,10.40,41.22,44.95,145.69,130.56,168.46,202.43,127.69,38.71,7.51,6.49
1943,2.06,7.27,22.89,36.48,102.69,118.52,167.32,185.09,165.07,91.71,12.11,2.62
1944,5.27,4.59,47.00,52.31,127.91,100.20,206.09,179.85,195.65,100.49,14.20,5.56
1945,2.45,1.43,9.26,28.13,188.95,146.99,185.44,194.82,148.42,101.05,20.54,3.87
1946,0.46,0.73,10.87,95.00,114.35,177.84,174.44,238.31,136.46,132.66,36.65,5.49
1947,4.22,9.78,28.57,99.57,134.13,138.15,197.74,224.66,184.51,55.71,10.67,10.81
1948,6.26,8.36,25.92,73.70,100.17,151.88,194.53,172.08,135.90,94.16,11.45,7.26
1949,1.21,5.70,23.79,44.29,156.00,134.77,177.53,195.50,140.77,81.76,8.67,7.51
1950,2.47,1.48,17.62,103.58,133.23,151.25,183.04,229.22,142.76,88.15,6.87,1.86
1951,0.55,5.13,26.05,39.91,126.70,116.70,154.69,176.86,116.10,131.30,44.25,11.09
1952,0.93,7.02,24.99,67.59,122.06,115.70,133.78,213.56,146.51,109.74,16.11,1.67
1953,5.10,8.31,19.97,65.98,140.84,158.47,156.03,190.01,101.59,102.00,29.70,3.98
1954,0.32,16.10,21.37,70.13,121.65,161.11,201.62,186.28,174.58,86.09,10.88,6.04
1955,10.75,2.80,27.16,93.08,109.38,123.83,155.04,221.71,185.51,91.95,22.67,10.70
1956,1.81,6.15,42.49,70.27,115.22,126.57,163.65,209.00,149.96,116.26,9.28,9.43
1957,5.75,5.12,62.68,69.62,117.91,167.85,140.73,202.99,90.03,77.67,36.90,10.28
1958,4.17,6.87,17.01,99.71,85.91,186.18,198.24,177.69,123.55,94.93,11.46,9.61
1959,4.00,11.54,25.66,79.76,129.04,102.30,152.73,179.70,137.97,112.12,28.29,3.37
1960,2.46,7.27,27.39,82.12,101.35,102.53,164.74,163.81,134.15,122.19,10.22,9.52
1961,4.02,8.34,29.06,45.89,91.25,148.22,194.01,216.09,150.33,144.89,56.80,8.35
1962,3.20,2.11,42.99,60.31,119.82,170.31,172.19,182.57,190.59,117.81,28.88,8.36
1963,8.93,13.32,34.81,115.70,146.64,133.63,170.63,188.00,135.90,66.55,57.39,8.50
1964,2.38,7.23,19.98,80.93,117.67,125.03,176.00,195.81,175.17,138.58,23.27,10.66
1965,2.19,5.45,28.76,69.40,83.38,129.89,132.86,180.31,142.32,130.31,31.39,4.80
1966,2.57,9.56,48.38,93.18,143.42,112.08,184.82,199.03,135.63,108.08,33.41,1.20
1967,0.35,5.06,20.23,53.08,82.08,162.07,173.94,187.28,169.60,131.60,40.15,2.08
1968,0.38,9.41,17.83,62.95,113.76,184.75,152.82,179.21,101.03,90.33,31.47,14.76
1969,12.14,24.57,66.38,57.24,109.08,129.32,166.23,154.28,150.64,105.65,10.74,6.41
