Variable:,pr
Country:,Seychelles
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,269.46,396.44,327.44,244.39,101.95,120.41,96.41,34.78,300.23,123.43,228.01,208.84
1902,350.32,368.57,221.46,36.98,85.57,21.14,21.58,98.11,62.20,215.28,245.21,319.78
1903,412.97,370.78,325.70,433.04,364.00,66.65,88.98,18.31,96.57,47.34,284.76,188.86
1904,683.00,352.68,12.57,100.41,1.70,2.96,7.04,119.53,182.92,70.57,566.00,408.92
1905,337.70,200.95,77.81,98.47,213.45,22.47,15.05,165.53,314.87,12.05,126.79,569.80
1906,461.56,220.08,274.83,356.69,111.70,113.59,63.82,23.08,23.78,115.63,182.03,298.96
1907,446.99,426.48,44.65,123.75,107.56,12.32,84.71,35.35,148.24,104.68,67.16,321.12
1908,76.85,474.80,170.29,266.14,133.49,114.09,60.78,27.66,139.85,141.77,110.73,245.57
1909,342.25,414.04,31.18,225.73,95.05,35.85,35.63,8.85,40.06,140.93,246.34,151.37
1910,315.13,121.15,275.30,276.49,164.36,31.79,39.47,51.25,65.91,0.84,211.95,413.57
1911,251.07,392.42,112.57,71.64,90.31,42.95,33.36,18.31,172.02,175.25,306.44,156.89
1912,576.72,560.35,71.59,128.03,198.34,179.93,91.55,21.21,125.70,107.66,103.87,289.72
1913,148.51,174.42,250.40,125.52,58.54,80.76,112.83,61.47,8.39,65.04,196.38,303.81
1914,335.69,246.28,379.27,318.25,165.93,106.19,26.22,19.08,271.47,271.86,190.26,176.48
1915,241.03,619.47,98.90,234.54,129.85,68.88,21.18,96.44,129.28,237.81,256.28,331.56
1916,208.24,178.33,170.89,211.76,131.22,108.29,133.71,15.47,15.58,28.32,94.70,225.68
1917,289.55,251.94,39.91,245.16,9.15,28.23,62.15,110.57,97.24,11.21,157.57,277.33
1918,541.56,167.62,52.31,55.91,68.01,17.88,33.06,46.57,352.16,228.87,210.14,222.81
1919,402.70,292.79,288.40,165.24,289.94,66.65,112.13,11.56,120.05,126.47,28.94,280.65
1920,703.66,158.16,183.29,19.71,143.94,94.88,59.38,24.28,129.28,195.70,213.28,345.75
1921,360.07,332.23,157.52,318.25,142.37,35.35,212.31,28.53,7.89,70.57,184.61,354.59
1922,121.89,44.30,262.63,96.13,123.74,103.43,50.48,43.66,115.60,248.09,52.07,94.00
1923,438.93,331.73,294.98,229.46,176.07,112.79,11.28,111.71,169.31,378.74,213.65,206.10
1924,281.98,43.33,319.88,411.67,106.49,86.36,165.88,23.78,198.30,289.16,272.24,333.57
1925,565.27,290.98,510.56,367.35,144.74,29.36,116.87,151.40,132.46,270.15,369.32,194.18
1926,241.30,369.34,167.81,276.29,352.35,66.65,260.79,56.02,3.55,112.38,177.08,462.98
1927,175.60,14.92,36.83,132.27,144.94,194.55,45.74,27.49,124.77,341.68,136.63,234.72
1928,374.47,366.29,510.82,372.92,336.30,69.68,98.08,14.43,62.67,45.83,240.89,640.53
1929,287.10,323.60,330.91,143.26,81.23,16.88,31.86,46.87,35.71,131.23,121.73,242.52
1930,138.46,220.08,141.14,165.74,75.89,106.49,80.27,48.91,214.85,82.92,477.60,300.56
1931,250.03,464.56,35.86,63.73,208.71,108.79,52.08,35.55,3.55,210.53,136.16,257.55
1932,336.19,22.68,278.64,74.08,119.48,47.24,57.01,42.96,62.37,311.16,138.26,225.68
1933,476.56,30.61,183.09,51.14,104.52,124.17,29.39,21.91,270.80,57.91,275.12,231.01
1934,295.24,530.67,149.60,103.74,123.34,63.59,79.87,373.88,129.28,122.76,200.67,374.18
1935,460.72,306.20,308.45,287.62,142.07,158.29,79.87,90.70,69.29,169.05,269.00,302.54
1936,347.38,212.89,54.54,163.17,283.64,119.68,124.61,343.02,61.40,129.22,382.80,312.75
1937,484.80,244.68,65.28,275.03,220.93,51.50,58.68,9.15,231.14,195.80,211.95,215.61
1938,193.28,143.06,76.74,125.69,187.72,40.15,27.89,16.47,91.16,272.43,392.84,290.56
