Variable:,pr
Country:,Togo
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.04,28.65,51.67,93.39,135.27,161.56,114.50,198.99,291.31,177.86,25.37,2.54
1902,5.68,23.65,72.33,127.11,197.35,151.99,150.23,160.33,121.89,97.83,15.87,15.16
1903,8.86,27.92,26.93,114.38,135.04,120.71,113.55,160.44,158.88,112.94,27.01,10.67
1904,8.27,12.23,54.90,84.20,149.30,151.04,115.07,97.50,137.11,93.35,18.10,28.32
1905,5.07,27.04,50.21,85.40,133.94,165.16,189.92,179.40,154.16,116.89,25.91,22.58
1906,10.81,14.65,30.07,106.60,203.50,177.20,143.93,98.20,161.15,138.65,38.43,8.62
1907,9.39,23.87,42.61,112.91,102.36,198.49,126.89,85.22,200.06,115.92,22.03,11.72
1908,7.43,11.24,52.96,139.18,114.07,150.43,139.70,91.93,291.69,160.83,42.16,13.19
1909,36.56,52.83,108.44,101.35,141.74,152.19,158.76,222.04,164.52,150.78,21.88,27.71
1910,0.02,9.75,38.45,103.80,133.85,186.78,265.00,285.34,248.32,133.89,11.63,22.48
1911,8.48,12.22,123.77,116.78,153.16,173.45,144.69,119.64,159.35,86.78,27.21,18.79
1912,12.86,25.59,35.08,116.84,73.97,153.58,117.00,106.45,152.69,98.27,17.93,24.26
1913,8.17,48.46,23.61,90.50,93.78,126.16,237.99,212.52,203.70,77.41,10.52,3.18
1914,8.28,16.92,58.26,83.86,107.69,156.22,144.61,150.93,195.93,124.49,29.89,17.02
1915,3.94,14.48,93.42,85.23,179.98,189.80,195.12,136.66,199.08,112.63,25.83,8.45
1916,1.70,12.21,64.09,108.84,138.82,196.41,184.17,204.26,145.67,129.08,51.19,3.85
1917,18.19,41.37,46.57,80.44,187.63,163.51,273.79,344.19,306.50,108.68,30.80,17.57
1918,1.58,23.73,119.25,93.67,151.59,205.46,154.46,120.14,126.97,121.85,45.11,27.41
1919,7.92,31.35,87.96,97.62,155.66,144.97,74.99,81.65,163.78,126.54,27.41,8.86
1920,3.19,17.33,42.88,100.26,126.32,156.10,136.26,129.01,130.96,87.85,38.83,3.59
1921,8.54,26.39,56.06,79.25,142.77,157.56,213.18,230.02,275.78,131.80,50.47,8.28
1922,1.72,55.15,34.84,112.39,132.38,133.15,105.93,111.25,222.56,192.09,53.55,4.85
1923,15.46,23.64,80.60,119.93,109.61,134.55,139.73,112.51,179.18,143.56,33.29,4.81
1924,19.24,42.97,85.08,145.50,87.38,178.47,151.91,122.89,271.81,149.61,17.30,19.93
1925,0.69,13.04,86.86,96.04,151.71,191.90,143.12,222.07,223.45,112.36,58.02,10.49
1926,2.18,24.05,71.60,92.09,153.20,171.79,147.65,145.44,191.05,72.27,28.07,7.59
1927,12.69,62.27,26.78,105.94,110.32,195.85,122.77,108.50,202.50,168.96,27.76,22.07
1928,10.39,10.34,77.86,114.52,142.06,130.32,170.63,189.98,190.39,145.14,13.39,7.15
1929,14.09,32.61,76.46,94.17,139.34,230.08,184.88,162.64,204.46,153.26,57.48,14.00
1930,6.96,17.88,77.78,89.98,175.99,135.50,170.73,146.09,155.52,156.73,30.74,19.57
1931,21.21,35.36,53.46,109.71,135.81,194.14,154.48,186.45,206.96,103.57,53.38,19.54
1932,7.05,36.57,100.73,85.41,167.38,158.44,77.46,112.64,171.78,130.94,33.46,19.69
1933,19.37,42.62,81.59,125.84,185.16,184.15,224.49,220.09,203.40,115.63,77.24,26.30
1934,1.09,8.40,75.76,90.85,140.15,152.12,186.91,228.28,278.63,190.66,14.47,14.07
1935,8.03,28.98,69.05,109.66,129.41,214.21,231.95,206.08,200.17,113.60,31.57,16.70
1936,10.80,28.89,52.28,119.98,160.01,154.60,131.06,105.01,193.75,111.12,52.07,18.21
1937,0.74,29.83,42.47,78.64,125.60,119.96,171.35,161.43,186.02,145.07,24.52,19.13
1938,6.16,14.35,62.74,96.07,143.39,134.35,88.47,138.98,173.32,129.70,63.03,35.83
1939,14.42,51.40,81.84,99.07,136.62,151.36,203.27,170.03,183.75,135.62,32.75,28.45
1940,17.24,23.57,69.59,95.82,157.97,166.82,131.20,157.86,197.37,160.68,44.10,4.63
1941,12.64,8.18,64.96,94.20,187.42,159.08,182.97,204.82,206.73,76.65,38.89,18.95
1942,17.01,36.07,49.49,99.33,195.12,116.90,83.93,136.05,179.55,134.16,23.05,21.88
1943,9.66,17.58,84.41,126.99,157.83,145.37,97.02,141.87,210.31,132.56,51.39,23.32
1944,15.64,33.82,93.69,101.30,101.17,147.45,152.66,209.57,190.30,147.07,20.64,15.80
1945,14.63,10.21,32.28,93.22,104.35,133.47,210.49,143.81,243.88,161.93,21.10,4.62
1946,8.61,21.96,71.71,63.39,109.54,157.20,101.55,69.27,222.67,187.82,39.89,12.98
1947,4.16,37.81,52.53,105.87,140.48,159.30,186.69,269.71,313.89,120.95,34.82,19.66
1948,1.10,29.53,60.05,128.33,160.82,181.89,118.07,163.70,211.16,82.08,42.14,5.66
1949,3.57,21.06,68.10,85.53,143.28,184.56,221.57,278.03,229.21,161.72,49.56,6.74
