Variable:,pr
Country:,"Tanzania, United Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,157.71,166.36,125.96,163.37,55.40,8.39,7.79,4.65,11.71,17.81,56.29,98.61
1902,107.23,121.48,133.92,141.41,60.99,22.58,8.21,7.42,18.36,33.10,89.42,145.16
1903,166.85,181.70,168.64,192.73,88.32,13.63,5.47,9.78,16.25,24.65,59.56,140.84
1904,185.76,152.15,183.27,183.43,93.08,15.23,7.89,9.35,9.98,20.59,75.54,151.82
1905,162.09,85.43,183.31,199.43,42.64,8.28,6.43,7.82,20.88,21.91,111.79,185.44
1906,176.30,182.36,249.57,181.40,60.78,16.32,5.25,5.67,14.41,32.21,54.98,129.10
1907,122.00,145.07,112.96,200.21,74.64,11.31,3.73,5.69,11.41,22.24,68.36,93.33
1908,142.44,142.80,132.59,170.98,77.01,16.60,10.36,9.56,11.18,21.22,79.53,135.67
1909,134.21,85.81,141.89,144.67,43.93,7.78,12.01,10.68,23.42,20.92,51.47,93.37
1910,179.92,95.43,121.10,176.48,58.81,5.03,10.09,6.51,7.71,15.18,66.61,115.23
1911,97.85,108.68,179.35,171.50,61.09,10.11,9.55,10.64,6.21,16.11,123.61,115.16
1912,144.45,193.16,136.84,182.29,36.06,7.88,5.36,10.88,25.44,20.98,81.25,140.07
1913,122.43,155.35,220.98,146.64,81.49,13.62,3.78,4.63,10.82,29.26,68.57,142.15
1914,154.48,133.65,165.47,133.91,53.61,9.09,6.25,11.36,15.06,27.07,88.44,131.22
1915,124.66,129.30,169.02,169.39,67.38,18.19,6.39,4.24,15.49,27.47,75.99,150.62
1916,137.71,159.45,148.38,189.44,78.12,11.48,4.66,7.64,19.42,25.80,73.72,138.63
1917,153.69,178.44,169.85,177.58,62.59,14.09,4.38,9.70,14.02,27.37,73.37,110.88
1918,145.20,106.66,125.29,142.55,46.38,14.67,10.00,5.32,12.85,23.34,60.35,119.59
1919,137.14,158.37,164.31,148.27,44.48,7.44,8.15,7.96,15.80,30.38,82.05,134.20
1920,126.79,104.65,175.58,145.50,57.56,7.45,4.92,3.77,12.17,40.71,85.38,157.54
1921,126.18,128.57,146.40,150.44,44.38,8.55,6.41,5.60,8.91,21.61,75.19,120.11
1922,117.66,144.05,216.64,79.65,79.07,10.97,4.20,13.12,11.81,31.81,67.37,100.49
1923,115.12,180.48,120.81,263.47,74.78,6.28,7.34,8.40,15.38,16.30,51.60,194.88
1924,123.88,198.63,141.58,127.16,27.45,14.09,3.78,8.55,11.62,14.23,43.77,60.94
1925,208.03,154.77,150.18,78.93,51.69,18.59,7.52,8.51,11.94,38.51,152.88,143.75
1926,136.76,129.07,160.75,160.35,46.01,5.13,6.45,6.15,28.09,31.30,75.57,123.06
1927,173.17,103.80,216.90,149.70,45.61,6.23,2.53,5.38,9.99,22.31,41.88,168.15
1928,87.49,140.14,192.22,144.36,68.33,16.66,3.19,7.86,13.35,34.04,49.91,131.51
1929,116.39,79.44,165.91,133.40,32.70,16.15,11.39,5.85,11.01,28.97,50.13,170.92
1930,181.44,198.97,259.78,205.58,49.53,6.80,5.73,8.03,29.04,22.11,76.50,83.47
1931,142.23,143.30,202.44,169.52,66.73,10.18,7.23,6.64,14.07,10.99,69.42,186.03
1932,112.52,163.05,209.67,172.59,75.25,11.26,5.18,3.78,25.68,14.45,41.71,137.46
1933,226.33,170.50,134.32,97.27,31.46,8.09,6.93,11.37,14.66,24.39,36.93,131.59
1934,164.91,121.70,155.31,112.71,77.98,23.13,11.71,7.70,8.15,24.22,62.08,159.30
1935,112.45,215.98,145.35,116.43,98.04,20.17,1.43,11.09,19.37,20.00,65.23,154.03
1936,203.35,172.27,190.52,222.15,65.00,35.76,3.55,10.84,19.73,15.36,35.28,181.49
1937,138.91,127.65,225.43,209.14,89.49,6.28,2.90,7.73,13.34,40.39,95.49,88.55
1938,83.81,132.32,212.36,123.97,58.21,9.82,4.44,4.09,12.08,34.95,71.94,103.06
1939,105.16,98.97,186.17,185.32,76.66,10.55,4.18,8.86,15.06,10.02,63.42,93.97
1940,210.24,158.58,212.13,152.74,64.71,7.10,9.14,7.64,8.77,22.93,70.09,98.07
1941,160.18,118.37,173.19,120.34,61.57,12.01,2.96,12.68,13.24,18.78,173.41,206.35
1942,162.17,82.17,263.02,182.97,72.60,5.92,3.95,13.87,3.38,21.72,66.68,132.12
1943,109.10,184.21,119.21,152.06,80.41,16.22,6.92,9.84,10.14,8.64,34.64,76.40
1944,151.52,111.19,182.93,169.64,58.34,9.85,5.78,5.85,26.30,41.00,141.73,147.60
1945,178.23,160.41,147.96,134.30,114.81,9.70,4.98,10.42,13.13,13.35,62.90,133.47
1946,85.12,72.17,108.54,190.28,64.16,6.27,4.50,8.52,23.49,30.07,87.92,139.53
1947,190.88,158.72,178.67,238.76,83.55,19.75,6.29,5.21,19.57,19.74,50.58,132.09
1948,176.11,102.82,167.34,141.26,56.57,12.70,6.46,9.42,15.00,35.26,47.98,105.55
1949,91.52,145.80,84.87,130.05,49.80,7.64,11.12,7.08,9.16,15.83,27.89,128.62
1950,160.07,138.69,230.38,143.70,68.63,6.76,6.32,10.92,13.82,41.38,49.21,111.31
1951,159.11,178.86,159.48,213.27,64.69,14.55,6.31,7.67,8.05,37.05,131.34,212.77
1952,105.74,187.24,177.28,160.88,93.34,8.77,2.31,6.19,20.36,22.39,61.81,40.39
1953,140.18,64.74,154.70,151.92,59.94,9.87,7.39,11.38,22.08,23.02,56.12,159.66
1954,147.66,117.46,97.56,159.78,77.18,7.31,5.40,7.02,13.00,18.96,43.92,126.80
1955,116.84,213.08,140.16,148.44,80.82,14.27,8.07,4.94,15.69,12.29,43.85,144.24
1956,226.84,151.56,140.91,184.40,47.60,8.56,3.61,5.88,14.59,17.25,52.10,125.60
1957,193.35,141.58,157.30,202.12,98.98,10.00,6.17,4.64,11.95,26.99,54.79,163.48
1958,95.47,165.27,213.81,124.56,47.79,15.53,4.69,7.20,8.95,16.25,39.09,142.11
1959,126.64,155.18,169.56,95.44,37.72,5.43,6.53,12.14,9.38,33.72,101.56,133.40
1960,182.13,170.84,206.92,183.56,28.46,12.91,3.48,3.55,11.95,22.29,39.72,63.00
1961,99.07,185.29,146.40,145.79,46.97,10.04,20.97,7.33,19.70,76.64,223.77,240.33
1962,220.80,145.48,176.29,158.62,59.63,11.57,5.81,14.43,14.48,50.86,75.25,125.98
1963,207.44,160.51,194.17,172.33,55.18,14.48,4.48,2.89,5.76,11.28,197.97,173.03
1964,167.88,191.47,210.51,168.70,23.30,10.57,7.22,8.12,10.36,20.55,43.83,115.03
1965,110.73,141.58,170.82,147.50,41.36,4.49,2.50,5.67,20.10,40.27,75.61,181.48
1966,108.85,162.32,204.48,126.06,38.19,15.86,3.48,9.18,15.80,27.03,74.60,114.59
1967,92.86,126.52,135.22,209.50,109.67,14.96,18.93,13.93,38.99,36.44,136.50,228.85
1968,130.12,210.82,231.59,222.91,53.96,26.69,3.89,4.07,10.17,25.10,96.14,161.13
1969,129.51,155.09,132.42,119.45,57.95,7.67,4.98,9.96,10.40,27.48,89.99,90.35
1970,210.35,176.16,217.74,123.77,34.27,3.69,6.05,5.29,18.43,18.64,52.17,177.16
1971,135.36,138.63,120.76,184.15,49.69,9.99,9.71,6.65,10.27,22.64,69.00,132.87
1972,135.88,162.45,148.90,129.23,93.51,14.70,5.82,8.26,21.67,57.12,126.15,157.70
1973,188.68,147.81,117.95,156.78,46.69,10.16,2.45,6.79,16.16,23.12,76.91,108.32
1974,134.87,82.32,161.07,237.76,72.77,17.56,18.85,4.71,8.78,16.65,53.46,117.46
1975,125.06,103.09,181.70,145.41,56.49,10.95,10.49,5.07,29.41,25.01,36.80,135.12
1976,119.94,139.27,165.37,134.72,62.15,21.50,9.26,7.57,17.47,24.42,46.02,94.66
1977,187.47,122.68,119.25,188.99,67.39,7.21,4.64,13.07,19.63,36.25,116.48,162.35
1978,146.25,148.08,251.71,153.63,30.74,9.87,2.89,6.45,9.05,25.27,149.65,200.73
1979,185.56,219.96,200.55,208.33,76.25,17.85,7.80,5.03,7.16,14.92,73.31,173.35
1980,157.00,90.17,173.64,176.57,80.44,2.14,3.23,13.16,14.99,26.52,89.70,141.18
1981,120.89,130.57,188.04,139.34,80.92,6.42,4.01,10.57,16.27,28.73,45.22,149.23
1982,114.43,106.90,129.64,143.62,95.57,19.16,12.30,7.41,17.03,83.19,183.97,174.80
1983,136.70,103.33,145.39,117.97,73.68,11.75,7.72,10.10,11.98,33.10,53.00,154.68
1984,173.88,138.54,118.58,166.12,35.23,14.36,11.21,5.21,6.86,35.82,120.53,165.34
1985,105.96,194.85,144.14,153.35,55.01,5.70,8.46,5.06,11.87,18.94,116.14,140.58
1986,173.78,108.67,157.84,171.62,78.13,9.17,2.08,5.85,7.38,49.72,95.69,218.63
1987,170.05,144.56,136.22,124.18,69.13,9.21,6.15,9.76,15.48,24.98,73.14,73.98
1988,194.18,123.75,204.87,130.04,29.06,14.79,5.98,13.80,17.18,27.18,77.65,155.10
1989,192.68,102.99,171.10,185.12,77.69,12.65,5.75,10.45,14.78,31.91,89.32,202.00
1990,100.47,183.65,210.15,175.34,41.66,4.38,2.27,4.37,12.59,29.19,69.22,122.82
1991,188.68,115.40,178.64,137.59,76.57,8.56,8.34,8.39,12.69,41.85,75.05,157.15
1992,98.12,146.24,115.65,166.24,67.90,12.57,6.26,3.91,10.20,29.45,107.71,145.44
1993,171.55,151.21,160.85,132.10,58.27,11.75,3.15,9.25,6.16,16.30,54.05,51.82
1994,166.10,177.17,168.48,113.07,58.96,6.24,8.69,9.60,9.30,28.51,87.14,142.78
1995,152.34,164.26,180.61,122.83,74.56,6.58,3.21,11.17,14.63,35.60,36.66,109.86
1996,139.32,230.67,179.51,130.43,64.41,5.67,6.03,5.76,12.93,19.83,41.74,92.18
1997,115.66,108.82,141.76,179.44,58.43,22.52,6.21,3.46,3.02,57.11,146.57,249.09
1998,248.43,192.74,146.59,181.40,65.84,9.87,3.84,3.79,12.99,22.44,43.38,54.11
1999,161.47,85.04,244.33,153.61,36.64,17.95,8.07,13.29,12.67,16.47,97.99,97.84
2000,91.53,81.18,169.19,98.05,44.61,14.11,3.16,10.86,7.70,20.93,131.73,193.18
2001,216.87,120.64,148.86,122.92,36.75,10.93,5.95,7.63,16.74,26.28,59.45,133.34
2002,208.92,134.40,215.77,147.33,49.37,5.79,2.63,12.69,16.36,35.92,96.14,167.64
2003,137.48,102.48,121.05,108.41,80.62,7.45,3.10,4.93,12.56,30.23,40.34,118.97
2004,145.41,184.81,145.89,157.48,12.84,8.52,1.14,4.48,31.24,35.72,92.10,160.27
