Variable:,pr
Country:,Uganda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,45.43,69.35,93.35,153.86,130.29,74.06,84.80,54.78,71.64,83.68,90.01,46.06
1902,37.34,57.94,53.47,160.86,147.62,84.47,105.83,161.53,135.79,131.78,117.43,71.64
1903,74.37,33.42,106.99,153.82,157.34,192.34,101.67,65.99,147.91,159.29,71.17,62.55
1904,29.04,57.94,117.39,115.56,119.64,68.97,63.79,156.40,102.76,101.25,110.31,101.44
1905,47.06,27.85,125.93,93.46,101.11,54.10,96.89,104.45,122.50,135.26,153.65,109.81
1906,17.77,100.93,164.62,172.55,117.52,105.14,65.99,156.89,122.75,143.80,53.21,38.26
1907,33.12,52.03,32.66,180.40,172.52,85.11,90.32,87.36,69.52,97.44,103.43,51.33
1908,22.62,64.53,50.28,159.82,170.37,94.70,96.83,118.30,90.86,110.65,89.60,60.04
1909,48.47,26.27,94.50,217.71,87.64,54.00,81.11,161.37,171.18,69.19,68.57,143.96
1910,49.26,22.82,90.24,148.80,162.47,90.64,125.53,90.59,70.41,103.55,101.10,63.52
1911,40.89,18.25,151.79,142.95,159.67,67.38,44.95,141.38,61.93,104.10,159.57,23.17
1912,33.35,87.36,94.60,169.38,123.14,101.31,97.71,146.20,96.24,103.57,118.34,60.38
1913,8.33,83.97,99.62,163.63,154.72,81.37,76.01,63.73,56.95,109.53,64.77,43.54
1914,54.26,57.47,116.08,111.94,144.39,105.24,103.58,121.36,139.59,108.00,156.75,38.41
1915,35.29,68.60,131.57,146.98,141.79,109.84,44.14,84.06,155.32,153.37,97.35,112.85
1916,24.73,84.66,87.00,187.14,182.20,102.60,57.07,115.55,170.52,92.97,74.85,84.77
1917,68.67,107.47,42.59,204.77,169.13,109.91,56.72,137.62,161.91,161.57,30.26,36.41
1918,25.80,19.22,48.85,123.94,108.28,80.23,70.36,80.28,85.87,77.63,98.66,48.29
1919,16.79,88.68,121.59,118.80,144.63,75.52,134.70,105.01,138.70,106.06,141.25,44.68
1920,22.88,19.22,139.70,177.72,174.27,99.52,74.65,91.70,91.80,113.69,115.99,61.28
1921,22.42,56.20,47.79,105.26,133.55,79.75,102.44,114.23,76.30,107.18,66.72,40.78
1922,21.50,59.68,134.07,138.43,190.86,59.19,64.02,164.91,96.47,106.58,47.00,53.81
1923,8.18,91.52,108.38,188.26,202.99,69.00,124.25,84.71,137.49,142.18,80.71,81.77
1924,22.57,70.86,77.62,177.49,139.80,47.15,88.59,150.78,109.83,135.99,80.55,40.98
1925,54.99,37.99,133.54,90.04,115.06,101.31,83.65,97.89,73.19,126.76,166.33,60.57
1926,36.90,79.65,95.71,192.15,136.81,73.27,109.57,106.66,160.06,117.03,110.48,21.98
1927,50.12,80.58,103.00,150.46,95.27,58.74,72.47,87.18,100.07,47.84,82.20,64.69
1928,25.68,25.17,71.52,174.97,191.51,99.42,76.90,108.99,91.22,138.15,88.66,41.77
1929,22.68,24.68,80.99,159.01,121.61,91.30,104.63,96.46,97.28,114.55,78.18,124.20
1930,60.50,45.67,130.18,201.95,145.65,99.14,62.84,95.96,111.61,136.49,62.72,41.11
1931,37.95,43.80,154.13,156.70,166.52,67.75,129.47,121.07,116.03,92.33,83.22,61.33
1932,20.53,40.96,165.15,109.76,174.84,53.53,88.98,100.82,142.58,83.79,83.90,64.57
1933,63.07,65.06,84.65,118.21,138.80,70.10,77.66,144.84,115.23,112.40,48.50,73.56
1934,8.86,23.53,78.74,181.51,129.26,79.70,106.69,144.81,63.77,107.76,85.59,88.17
1935,8.68,94.18,76.80,141.48,201.24,145.87,35.36,86.90,127.14,124.19,76.82,95.86
1936,79.27,101.02,112.23,182.40,88.77,140.17,69.66,92.01,120.47,86.60,49.58,98.22
1937,30.35,87.36,123.39,167.55,188.33,111.28,95.44,82.32,90.21,126.16,152.74,45.36
1938,26.61,25.67,85.77,140.44,137.86,93.13,99.55,122.12,123.44,120.99,55.95,54.16
1939,25.60,74.05,88.62,144.59,112.61,70.56,95.18,109.92,87.04,94.36,103.20,28.67
1940,70.35,112.04,131.06,163.31,140.30,58.20,105.19,130.38,72.27,80.40,132.64,34.71
1941,27.39,61.09,91.04,181.04,177.28,122.72,60.23,134.23,82.68,103.78,162.99,137.80
1942,61.77,45.35,172.05,197.88,215.08,70.50,59.61,174.93,82.75,59.81,44.51,50.19
1943,17.68,71.74,55.84,156.18,137.40,120.33,68.98,144.08,79.13,73.12,28.75,36.04
1944,41.43,37.72,118.80,166.26,153.97,65.58,85.24,134.33,138.20,120.19,116.99,78.01
1945,32.72,27.33,68.33,71.43,228.83,103.73,102.82,165.03,138.07,98.65,105.76,32.31
1946,15.38,10.67,59.91,202.57,161.09,109.84,114.18,186.79,119.35,125.14,98.57,56.89
1947,81.68,64.63,121.18,234.73,175.96,99.08,139.52,104.84,138.49,54.45,42.38,68.22
1948,34.98,50.33,84.52,155.06,150.37,116.96,117.40,134.46,130.34,129.50,77.03,40.11
1949,10.76,31.11,39.53,155.24,136.48,80.81,116.84,130.30,131.54,99.23,52.86,93.14
1950,37.87,36.31,117.24,167.68,153.47,92.96,108.00,133.61,112.94,112.41,35.31,41.51
1951,39.74,62.99,129.33,194.26,160.11,96.03,80.32,105.07,89.52,164.67,175.13,164.65
1952,19.13,57.78,126.37,167.12,160.96,47.14,71.96,123.85,121.76,107.52,82.08,12.55
1953,36.93,36.21,73.18,185.33,112.70,119.17,66.69,102.82,97.07,150.12,106.82,47.44
1954,14.97,46.31,66.94,157.59,192.97,107.41,105.15,111.55,132.34,102.10,55.11,78.63
1955,72.81,58.27,78.09,166.01,138.19,64.09,101.30,161.62,145.17,98.91,78.05,107.44
1956,52.45,53.83,96.52,198.24,148.12,67.84,64.02,150.19,107.13,125.40,71.10,71.35
1957,69.52,33.79,107.80,204.32,181.37,117.30,63.46,104.23,61.34,100.51,97.77,93.90
1958,39.27,55.97,97.27,161.58,143.92,99.31,99.69,113.03,100.60,108.59,62.53,110.29
1959,43.09,54.16,100.78,141.17,159.17,75.09,69.28,122.30,126.60,146.18,130.76,40.85
1960,70.01,78.88,140.13,167.76,134.19,51.80,63.38,127.49,130.36,110.32,78.52,45.13
1961,17.34,58.24,118.68,154.68,125.42,107.59,127.89,156.58,162.21,196.87,256.40,113.57
