Variable:,pr
Country:,Zambia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,229.70,206.85,160.93,50.41,5.89,0.98,0.18,0.36,3.15,28.13,113.77,225.17
1902,238.86,197.85,182.95,55.27,7.11,0.62,0.12,0.33,3.04,26.80,109.37,211.10
1903,225.57,197.12,154.21,47.53,9.18,0.90,0.09,0.51,2.88,26.15,103.83,182.18
1904,244.28,206.98,168.62,39.73,9.23,0.65,0.26,0.19,2.00,38.49,76.94,244.37
1905,223.38,230.67,122.23,24.43,8.40,0.21,0.14,0.21,2.95,14.47,107.10,188.26
1906,235.07,224.15,133.94,26.58,3.33,0.26,0.10,0.06,7.50,26.34,95.59,131.19
1907,211.93,236.40,108.97,66.58,3.64,0.33,0.23,0.11,0.43,22.79,118.40,220.86
1908,218.46,232.39,96.53,37.03,4.25,0.21,0.09,0.13,0.48,17.26,118.99,252.54
1909,234.75,208.77,178.20,33.47,11.41,0.28,0.08,0.07,0.91,19.25,38.40,159.89
1910,221.87,216.77,182.06,44.25,0.81,0.67,0.11,0.27,0.44,37.16,107.68,165.50
1911,241.26,218.32,162.88,22.34,13.10,0.27,0.17,0.07,1.24,7.49,94.30,160.99
1912,253.65,223.81,120.56,19.32,4.19,0.26,0.20,0.08,6.74,6.67,41.01,224.74
1913,158.29,227.38,221.84,39.37,7.82,0.83,0.04,0.05,4.77,19.43,98.19,136.47
1914,199.79,255.93,129.13,60.97,3.89,0.22,0.08,0.09,0.23,4.99,84.66,235.22
1915,223.29,168.94,151.98,51.61,0.60,0.22,0.05,0.02,2.34,15.27,71.52,225.33
1916,221.57,154.58,121.00,22.40,11.47,0.13,0.03,0.22,1.64,5.99,121.10,280.74
1917,191.46,186.89,147.31,69.31,5.64,0.24,0.05,0.16,0.54,12.20,127.42,236.25
1918,223.38,190.24,184.62,23.75,2.07,1.04,0.17,0.03,0.16,13.15,131.14,144.58
1919,240.89,226.52,145.85,34.83,5.28,0.18,0.03,0.01,2.17,38.12,128.35,234.48
1920,203.92,199.42,224.11,14.44,7.51,0.51,0.05,0.01,0.84,30.52,97.54,233.49
1921,234.70,217.09,185.82,30.04,7.00,0.23,0.07,0.13,1.97,23.85,125.20,222.93
1922,132.15,236.24,147.84,16.34,8.32,0.60,0.03,0.11,0.10,45.64,117.07,177.38
1923,220.99,241.87,227.12,57.17,5.34,0.03,0.11,0.32,1.93,26.21,92.42,228.23
1924,164.85,143.52,148.90,11.66,0.50,0.99,0.05,0.16,1.69,42.20,105.26,204.07
1925,287.65,212.11,247.41,55.04,19.71,0.59,0.13,0.01,10.00,33.60,114.05,185.08
1926,297.47,249.07,226.42,39.88,5.44,0.03,0.12,0.07,1.69,27.65,95.24,256.35
1927,214.71,195.58,143.36,31.16,5.54,0.12,0.05,0.18,0.02,29.13,77.45,244.58
1928,237.69,167.58,205.22,26.41,2.11,0.21,0.03,0.04,3.10,10.00,84.09,227.80
1929,288.42,151.28,175.84,24.23,0.34,0.02,0.10,0.06,1.76,23.70,103.33,252.32
1930,230.32,137.14,159.99,90.36,1.12,0.03,0.03,0.02,6.89,10.43,113.82,192.05
1931,253.17,153.33,158.41,36.26,1.96,0.05,0.16,0.00,2.20,19.52,162.46,280.28
1932,168.68,270.22,187.82,69.76,16.98,0.22,0.12,0.36,2.14,5.14,66.31,258.77
