Variable:,tas
Country:,Burundi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.97,20.08,20.14,20.20,19.84,18.52,19.09,20.09,20.92,21.31,20.66,20.77
1902,19.97,20.09,20.14,20.12,21.33,20.80,19.11,21.28,20.80,21.03,19.76,19.07
1903,19.97,20.15,19.74,20.10,19.85,19.98,19.11,21.28,20.79,20.72,19.97,19.87
1904,19.47,19.51,19.73,19.80,19.97,19.80,19.30,21.27,21.06,19.97,19.51,19.39
1905,19.97,19.91,19.57,19.08,19.61,19.51,18.84,19.94,20.83,21.18,19.85,19.16
1906,19.24,19.91,18.95,18.98,19.23,18.37,18.37,19.10,19.92,20.43,20.52,20.08
1907,19.57,19.33,19.60,19.26,19.01,18.15,18.62,18.82,20.11,20.82,19.86,19.66
1908,19.97,20.19,20.01,20.25,19.56,19.24,19.21,20.61,20.76,20.73,19.86,19.32
1909,18.94,18.73,19.53,19.62,19.34,18.28,18.60,19.31,20.21,20.26,19.04,18.89
1910,19.14,19.02,19.30,19.55,18.60,19.12,18.16,19.42,19.69,19.70,19.12,19.87
1911,19.48,19.67,19.42,18.81,19.52,18.50,18.20,19.44,19.56,20.10,19.28,19.73
1912,19.30,19.32,19.25,19.25,19.11,18.76,18.27,19.40,20.16,20.29,19.37,18.93
1913,18.98,19.31,19.05,19.20,19.10,18.22,18.11,19.26,20.43,20.24,19.39,19.21
1914,19.23,19.47,19.61,19.37,19.10,18.72,18.45,19.72,20.27,20.31,19.47,19.45
1915,19.48,19.60,19.94,19.58,18.64,18.61,18.65,19.52,20.38,20.27,19.02,18.86
1916,19.23,19.27,19.15,19.33,19.10,18.27,17.99,19.17,19.81,20.73,18.88,18.86
1917,18.63,18.81,18.80,18.92,18.76,18.02,18.11,19.52,19.81,19.70,18.88,18.75
1918,18.88,19.01,19.15,19.00,18.64,18.27,18.33,19.40,20.06,20.27,19.14,19.13
1919,19.48,19.72,19.61,19.33,18.97,18.27,18.11,19.52,20.27,19.70,19.02,18.86
1920,19.15,19.15,19.27,18.78,18.76,17.90,18.11,19.40,20.80,20.73,20.17,18.41
1921,19.60,19.72,20.31,20.14,19.66,18.85,19.28,20.08,20.64,20.63,19.96,20.04
1922,20.14,20.51,20.17,19.92,19.22,19.16,18.58,19.98,20.82,20.39,19.80,19.58
1923,19.96,20.19,19.94,19.82,19.76,18.94,18.78,19.85,20.51,20.53,19.67,19.87
1924,19.97,20.09,20.14,20.12,19.76,19.14,19.11,20.18,20.80,20.73,19.96,19.87
1925,19.48,19.85,19.94,20.12,19.76,19.14,19.11,20.18,20.82,20.85,19.96,19.87
1926,19.97,20.75,20.14,20.53,19.79,19.16,19.14,20.08,21.22,20.85,20.06,19.58
1927,20.51,20.30,20.31,19.92,19.46,18.72,18.45,20.20,21.09,21.11,20.06,19.87
1928,20.39,20.55,20.14,20.49,19.76,19.16,18.65,20.18,21.09,20.98,20.14,19.87
1929,19.15,19.56,19.52,19.09,18.56,18.05,18.20,19.09,19.64,19.64,18.85,18.78
1930,19.31,19.15,19.15,19.09,18.88,18.05,18.37,19.52,20.34,19.85,19.14,19.05
1931,19.60,20.48,19.11,19.40,19.31,19.12,18.82,20.23,20.61,20.98,20.16,18.19
1932,19.35,18.85,19.40,19.33,18.53,18.60,18.45,19.74,20.82,20.53,20.46,18.83
1933,19.19,18.72,19.44,19.62,19.71,19.44,18.69,19.61,19.49,19.64,20.12,18.59
1934,19.52,19.01,19.73,19.23,19.20,18.89,18.78,19.98,20.36,20.07,19.16,18.84
1935,19.88,19.43,19.48,19.55,19.27,18.97,18.57,19.51,20.76,20.55,20.31,19.10
1936,19.51,19.20,19.03,19.51,19.43,18.47,18.84,19.46,20.25,20.75,20.41,19.06
