Variable:,tas
Country:,Benin
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.11,28.73,29.93,30.18,28.61,27.17,25.89,25.51,25.95,27.30,27.34,26.00
1902,26.19,28.67,30.20,30.60,29.11,26.77,25.90,25.61,25.96,26.86,27.34,26.44
1903,26.64,28.86,30.35,30.37,29.03,27.21,25.90,25.58,26.01,27.30,27.34,26.44
1904,26.64,28.85,30.34,30.37,29.03,27.22,25.90,25.58,26.01,27.30,27.34,26.44
1905,25.34,26.06,28.83,30.11,28.93,26.50,25.99,24.93,25.97,27.19,28.42,27.36
1906,25.65,28.27,30.47,32.46,29.20,27.73,25.52,24.93,27.13,27.83,27.83,27.48
1907,26.45,26.78,29.28,29.77,29.90,27.08,26.43,25.33,26.39,29.05,27.52,25.24
1908,26.28,27.89,29.69,30.86,30.21,28.12,26.60,25.02,26.25,27.00,26.56,25.66
1909,26.46,29.83,32.49,30.28,28.59,25.59,24.68,23.67,26.01,26.00,27.61,26.44
1910,25.29,29.17,29.90,30.07,29.36,28.74,26.70,25.83,26.61,27.02,27.25,26.39
1911,26.11,28.34,30.01,30.30,28.58,26.86,25.90,25.44,25.92,27.11,27.50,25.38
1912,26.73,28.58,29.85,31.22,29.16,27.32,26.68,25.98,26.73,27.13,26.49,26.30
1913,26.92,28.83,28.28,29.92,29.74,28.94,27.79,27.48,28.03,27.17,26.73,26.07
1914,28.88,28.25,29.32,29.98,30.44,28.90,27.31,25.67,26.75,27.93,29.19,26.40
1915,26.03,28.38,30.55,30.02,28.98,26.84,25.94,25.54,25.84,26.98,27.08,26.09
1916,25.98,28.10,30.20,29.93,28.66,26.90,25.95,25.21,25.53,26.79,26.62,26.44
1917,26.64,28.86,29.74,29.97,28.52,26.85,25.90,25.58,25.59,26.84,26.43,26.27
1918,26.32,27.87,29.44,30.02,28.65,27.22,25.90,25.06,25.53,27.07,27.02,26.44
1919,26.64,28.86,30.35,30.37,29.03,27.22,25.90,25.58,26.01,27.30,27.34,26.44
1920,26.74,28.86,30.35,30.37,29.46,27.22,25.90,25.58,26.01,27.30,27.34,26.44
1921,25.96,28.86,30.35,30.37,29.69,27.22,25.90,25.58,26.01,27.30,27.34,26.44
1922,26.64,28.86,30.35,30.37,29.13,27.22,25.90,25.10,25.43,26.93,27.03,26.19
1923,27.37,28.25,30.03,29.12,28.84,27.29,25.41,24.71,25.87,27.35,27.46,27.26
