Variable:,tas
Country:,"Cote d'Ivoire"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.94,28.20,28.67,28.11,27.06,26.08,25.11,24.89,25.59,26.29,26.69,25.78
1902,26.19,27.98,28.44,28.17,27.37,26.14,25.20,25.05,25.29,26.04,26.61,25.66
1903,26.19,28.02,28.54,28.16,27.33,26.01,24.90,24.65,25.33,26.32,26.48,25.69
1904,25.89,27.60,28.30,27.91,27.28,26.11,24.91,24.79,25.46,26.24,26.56,25.77
1905,26.02,27.54,28.37,28.31,27.34,25.79,25.00,24.72,25.28,26.11,26.57,25.90
1906,26.18,27.80,28.85,28.54,27.26,25.92,24.79,24.62,25.39,26.08,26.46,25.48
1907,25.94,27.57,28.35,27.93,27.19,25.84,24.99,24.66,25.34,26.20,26.62,25.62
1908,26.15,27.73,28.41,28.22,27.34,26.15,25.06,24.65,25.36,26.07,26.44,25.66
1909,26.04,28.08,28.84,28.03,27.03,25.64,24.87,24.70,25.44,26.08,26.55,25.65
1910,25.58,28.01,28.70,28.19,27.44,26.43,25.05,24.75,25.50,26.10,26.57,25.85
1911,26.08,27.87,28.39,28.23,27.04,25.72,24.95,24.64,25.40,26.09,26.43,25.45
1912,26.14,28.18,28.78,28.50,27.56,26.19,25.17,24.85,25.45,26.15,26.35,25.80
1913,26.37,27.74,28.00,28.09,27.27,26.53,25.41,25.02,25.57,26.06,26.20,25.35
1914,26.41,27.80,28.46,28.18,27.54,26.16,25.10,24.62,25.35,26.18,26.62,25.64
1915,25.89,27.92,28.80,28.23,27.24,26.06,25.07,24.88,25.41,26.18,26.50,25.65
1916,26.10,27.88,28.63,27.88,27.21,25.96,24.90,24.67,25.14,25.94,26.21,25.70
1917,26.34,27.74,28.22,28.00,27.03,25.92,25.21,24.79,25.12,26.00,25.97,25.62
1918,25.96,27.54,28.10,27.76,27.00,25.85,24.77,24.40,25.35,26.08,26.42,25.49
1919,26.23,28.12,28.23,27.66,26.81,25.85,24.69,24.65,25.15,26.11,26.62,25.89
1920,26.20,28.12,28.36,27.87,27.51,25.98,24.84,24.65,25.26,26.04,26.37,25.77
1921,25.41,28.01,28.42,27.80,27.43,25.57,24.99,24.82,25.42,26.35,26.43,25.73
1922,26.33,28.11,28.60,27.79,27.27,26.08,24.99,24.47,25.02,25.87,26.29,25.49
1923,26.18,27.36,27.87,27.35,27.14,25.98,25.33,24.56,25.18,25.93,26.37,26.03
1924,26.58,28.31,28.78,27.34,27.36,25.66,24.58,24.52,25.35,25.86,26.24,25.03
1925,23.93,27.22,28.15,28.43,27.81,25.85,24.99,24.70,24.99,25.09,26.23,25.24
1926,25.74,28.20,28.47,27.80,26.95,25.23,24.36,25.14,25.60,26.47,25.95,25.87
1927,24.32,27.19,27.37,27.78,26.43,24.94,24.56,24.04,25.16,25.53,25.68,24.81
1928,25.16,26.97,27.20,26.65,26.39,25.74,24.80,23.83,24.91,25.56,25.67,25.12
1929,25.00,26.72,27.53,27.78,26.85,24.76,24.66,23.97,25.13,25.49,25.68,24.36
1930,24.97,27.29,27.49,27.51,26.75,25.26,24.53,24.17,25.19,25.39,26.25,26.16
1931,26.36,27.57,28.43,28.14,27.23,26.03,24.99,25.06,24.68,26.08,26.40,26.53
1932,25.31,27.64,28.06,28.36,26.96,26.11,24.48,24.92,25.27,26.52,26.74,25.50
1933,26.47,27.83,28.07,27.67,27.43,25.51,25.03,25.11,25.45,25.77,26.30,25.63
1934,25.29,27.33,27.88,28.22,27.72,26.01,25.26,25.20,26.02,26.28,27.04,25.68
1935,25.88,28.01,28.56,28.25,27.43,25.65,24.80,24.53,25.35,25.89,26.24,25.85
1936,26.10,28.27,28.93,27.67,26.78,25.52,24.56,24.34,25.04,26.14,26.66,25.58
1937,25.88,28.22,29.06,28.87,28.04,26.56,25.25,25.08,25.52,26.39,27.33,26.61
1938,26.60,29.10,28.64,28.85,28.02,27.04,25.23,24.77,25.64,26.89,26.62,26.50
1939,25.94,27.58,28.73,28.47,27.51,26.46,25.55,25.05,25.48,26.50,27.15,26.41
1940,26.33,27.51,28.31,28.17,27.69,26.25,25.11,24.92,25.56,26.10,26.35,25.52
1941,26.53,27.56,28.97,28.30,27.50,26.27,25.27,25.45,26.11,27.06,26.94,26.01
1942,25.38,27.93,28.81,28.56,27.02,26.14,25.11,24.36,26.34,26.44,27.17,25.19
1943,25.45,27.44,28.38,27.84,26.97,25.83,24.83,24.39,25.32,26.09,25.89,25.87
1944,25.42,27.54,27.84,28.26,28.10,26.51,25.73,25.35,25.77,26.50,27.06,26.08
1945,26.54,27.73,28.32,28.23,27.58,26.62,25.20,24.74,25.63,25.88,26.63,25.52
1946,26.19,27.17,29.03,28.16,27.37,25.76,24.85,24.29,25.00,25.65,26.75,25.24
1947,25.72,28.40,28.30,27.94,27.98,26.36,25.47,25.11,25.51,26.18,25.97,25.61
1948,24.94,27.29,28.25,27.70,27.11,25.49,25.02,24.95,25.46,26.38,25.91,25.62
1949,25.89,27.05,28.72,28.35,27.34,26.20,25.53,24.92,25.77,26.30,26.51,25.86
1950,25.76,26.93,28.05,28.28,27.52,26.05,25.01,24.44,25.19,25.48,26.13,25.42
1951,26.33,27.40,28.39,28.39,27.18,26.11,25.37,25.15,25.81,26.05,26.59,26.11
1952,26.24,28.00,28.57,28.56,27.24,26.21,25.11,24.73,25.35,26.15,26.61,25.86
1953,26.77,27.79,28.11,28.55,27.19,25.43,25.17,24.89,25.73,26.29,27.01,26.03
1954,26.31,27.97,28.39,27.55,27.14,25.27,24.36,24.44,25.52,25.89,26.67,26.13
1955,26.26,27.63,27.91,27.73,27.20,25.65,24.82,24.85,25.34,25.93,26.32,25.17
1956,25.61,27.69,27.84,28.00,27.06,25.59,24.39,24.59,25.53,26.11,26.41,25.92
1957,25.19,27.63,28.26,28.22,27.25,25.99,25.12,25.24,25.57,26.20,26.94,26.47
1958,27.28,27.85,28.83,28.39,27.52,25.52,24.50,24.68,25.71,26.36,26.81,25.73
1959,26.06,27.77,28.66,28.70,26.82,26.20,25.19,24.79,25.21,26.46,26.89,25.28
1960,26.09,27.87,27.74,27.57,27.49,25.81,24.86,25.14,25.65,26.39,26.55,25.91
1961,25.84,27.38,28.77,28.02,27.63,26.00,24.55,24.39,25.18,26.45,26.46,25.62
1962,26.49,27.88,28.18,27.84,27.19,25.39,25.50,24.67,25.22,26.08,26.39,25.29
1963,26.35,28.09,27.92,27.97,27.08,26.45,25.58,25.58,26.32,26.08,26.47,25.62
1964,25.77,27.75,28.74,28.07,26.80,25.62,24.71,24.36,24.93,25.69,26.03,25.57
1965,25.23,27.26,28.19,27.59,27.03,25.70,24.76,24.61,25.33,26.32,26.50,25.08
1966,25.97,27.49,28.42,27.99,27.44,25.91,25.80,25.20,25.42,26.23,26.67,25.95
1967,25.14,27.51,27.96,27.86,27.30,25.85,24.63,24.63,25.19,25.99,26.58,25.35
1968,25.40,27.61,27.87,27.49,26.88,25.90,25.47,25.74,25.78,26.36,26.52,26.25
1969,26.57,28.57,28.88,28.54,28.10,26.33,25.16,24.91,25.64,26.09,26.31,26.17
1970,26.57,28.35,28.84,28.47,27.18,26.41,25.08,25.19,25.36,26.64,26.41,25.66
1971,25.32,27.28,27.83,27.45,26.99,25.79,24.60,24.12,24.66,25.64,26.10,24.83
1972,25.70,27.32,27.70,27.26,26.58,25.51,25.23,24.62,25.23,26.00,26.42,25.91
1973,26.14,28.49,28.70,28.37,27.59,26.39,25.46,24.94,25.39,26.17,26.36,25.29
1974,25.05,27.34,27.88,27.73,27.16,26.19,24.78,24.72,24.74,25.63,25.92,24.96
1975,25.16,27.14,27.98,27.59,26.66,25.77,24.52,24.49,24.63,25.52,25.79,25.49
1976,25.43,26.94,27.71,27.38,26.40,25.08,24.42,24.18,24.95,25.02,25.45,25.19
1977,26.28,27.50,28.47,28.30,27.22,25.82,24.75,24.53,25.22,25.98,26.22,25.12
1978,26.60,28.04,27.93,27.23,26.68,25.29,24.20,24.64,24.98,25.61,25.92,25.68
1979,26.83,27.48,28.56,28.36,26.90,25.23,24.96,25.05,25.38,26.12,26.54,25.15
1980,26.76,27.74,28.28,28.39,26.98,25.98,24.75,24.78,25.47,25.99,26.45,25.05
1981,25.29,28.11,28.30,28.28,26.82,26.38,24.74,24.87,25.61,26.64,26.41,26.13
1982,25.52,27.72,27.68,27.65,26.95,25.77,24.70,24.37,25.51,25.88,26.08,25.19
1983,24.91,28.37,29.39,28.95,27.54,26.03,25.18,25.08,25.61,26.71,26.77,25.78
1984,26.34,27.60,28.61,28.43,27.17,26.30,24.98,25.42,25.53,26.09,26.77,25.35
1985,26.25,27.58,28.63,28.06,27.50,25.84,24.30,25.00,24.93,26.25,26.93,24.78
1986,25.04,28.30,27.98,28.39,27.44,26.27,24.64,24.73,25.26,25.78,25.96,24.73
1987,26.92,28.31,28.68,29.41,28.26,26.36,26.06,25.39,26.05,26.26,27.23,26.04
1988,25.74,28.53,29.16,28.63,28.19,26.05,24.97,24.68,25.29,26.46,26.62,24.76
1989,25.22,27.54,27.87,28.31,27.74,26.03,25.19,24.59,25.26,25.89,27.24,25.99
1990,25.89,27.59,29.34,28.29,27.37,26.04,24.70,24.98,25.51,26.33,26.79,25.74
1991,26.59,28.22,28.49,27.90,27.01,26.53,25.35,24.86,25.61,25.46,26.29,25.69
1992,25.41,28.30,28.61,28.18,27.16,25.62,24.57,24.83,25.23,26.04,25.87,26.26
1993,25.53,27.94,27.84,28.12,26.95,26.31,25.12,25.15,25.43,26.51,26.91,25.81
1994,26.08,27.95,28.72,28.32,27.33,26.16,24.83,24.81,25.42,25.70,26.45,25.36
1995,25.47,28.03,28.62,28.19,27.58,26.62,25.45,25.42,25.74,26.25,26.64,26.01
1996,26.86,28.16,28.67,28.33,27.69,26.35,25.29,24.84,25.28,25.98,26.59,25.79
1997,26.84,27.56,28.62,27.76,27.25,25.60,25.13,25.21,25.97,26.86,27.05,26.21
1998,26.55,29.38,30.18,29.55,28.23,26.61,25.65,25.10,25.69,26.59,27.11,26.12
1999,26.53,27.29,28.67,28.22,27.57,26.67,25.37,25.16,25.30,25.76,26.68,25.64
2000,26.72,27.01,29.02,28.37,27.44,26.05,25.01,24.94,25.54,26.18,26.81,25.94
2001,26.15,27.28,29.05,28.24,27.38,26.05,25.03,24.92,25.36,26.57,27.10,26.63
2002,26.25,27.41,29.38,28.60,28.27,26.64,25.62,25.20,25.97,26.14,27.02,26.29
2003,26.71,29.20,29.24,28.65,28.00,25.88,24.99,25.08,25.22,26.73,26.85,25.81
2004,26.75,28.30,28.74,28.41,27.31,26.11,24.91,25.15,25.80,26.63,26.99,27.45
2005,25.75,29.51,29.57,28.87,27.69,26.29,25.26,25.06,26.01,26.75,27.20,26.55
2006,26.42,28.31,28.63,28.91,27.24,26.96,25.83,25.39,25.68,26.48,26.28,25.60
2007,25.79,28.53,29.24,28.43,28.00,27.00,25.71,24.88,25.91,26.55,27.13,26.08
2008,24.31,28.00,28.98,28.61,27.66,26.23,24.99,24.79,25.66,26.15,26.48,26.25
2009,25.70,29.37,29.44,28.66,27.81,26.53,25.58,25.10,25.48,26.06,26.44,26.61
2010,27.24,29.13,30.36,29.21,27.81,26.70,25.48,25.33,25.47,26.16,27.07,26.28
2011,26.37,27.48,29.87,28.64,27.49,26.66,25.33,25.20,25.78,26.45,27.40,25.58
2012,25.99,27.76,28.93,28.21,27.04,26.08,25.22,24.97,25.47,26.36,27.12,25.87
2013,26.02,28.86,29.52,28.58,27.65,26.68,25.35,24.86,25.67,26.27,26.94,25.51
2014,26.95,27.75,28.49,28.39,27.61,26.78,25.76,25.34,25.50,26.55,27.14,26.06
2015,25.93,28.60,29.09,29.07,28.22,26.88,25.75,25.58,26.17,26.78,27.06,25.48
2016,26.57,28.89,29.63,29.41,28.16,26.65,25.56,25.56,25.97,27.06,27.51,26.94
2017,26.68,28.76,29.45,29.06,27.85,26.62,25.76,25.44,26.17,27.13,27.02,26.35
2018,26.39,28.80,28.83,28.99,27.95,26.85,25.41,25.32,25.67,26.49,27.54,26.23
2019,26.76,27.74,28.91,28.04,27.18,25.94,25.63,25.49,26.14,25.90,27.54,26.81
2020,26.71,28.78,29.92,29.44,28.51,26.66,25.55,25.01,25.39,25.89,26.96,27.51
2021,28.04,28.71,29.43,29.24,28.11,26.54,25.56,25.08,25.93,26.79,27.74,27.41
