Variable:,tas
Country:,Cameroon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.57,25.07,25.46,26.10,24.71,23.85,23.31,22.75,23.16,24.18,24.15,23.60
1902,23.84,24.82,25.98,25.94,25.44,24.28,23.28,23.52,23.77,24.18,24.15,23.60
1903,24.12,25.40,26.28,26.14,25.30,23.88,23.40,23.45,23.96,24.18,24.15,23.60
1904,23.84,24.94,25.72,25.94,25.17,24.14,22.96,22.94,23.96,24.18,24.15,23.60
1905,24.12,25.52,26.55,26.64,25.69,24.08,23.22,23.58,23.58,24.18,24.15,23.60
1906,23.75,25.20,26.55,26.77,25.30,24.21,23.47,23.33,23.96,24.18,24.15,23.60
1907,23.62,25.33,26.28,26.28,25.50,24.21,24.04,23.77,23.90,24.18,24.15,23.60
1908,23.62,24.94,26.18,26.28,25.44,23.56,23.40,22.62,23.51,24.18,24.15,23.60
1909,23.84,25.33,26.35,26.64,25.44,24.90,24.11,23.26,24.21,24.18,24.15,23.60
1910,23.42,24.75,25.66,25.62,25.05,24.71,23.79,23.26,23.45,24.18,23.46,23.19
1911,23.55,25.01,26.42,26.32,25.62,24.52,23.79,23.45,23.77,24.18,24.15,23.60
1912,23.92,25.77,26.87,26.83,25.75,24.72,23.31,23.26,23.46,23.79,23.37,23.51
1913,23.68,24.82,25.91,26.01,25.17,23.82,23.28,23.39,23.51,24.18,24.15,23.60
1914,24.25,25.40,26.61,26.58,25.56,24.08,23.28,23.39,24.02,24.18,24.15,23.60
1915,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1916,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1917,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1918,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1919,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1920,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1921,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1922,23.84,25.33,26.25,26.28,25.44,24.28,23.40,23.26,23.65,24.18,24.15,23.60
1923,24.34,25.28,26.63,26.50,25.57,24.36,23.27,22.96,23.66,24.33,24.47,23.93
1924,24.06,26.09,26.94,26.59,25.61,24.28,23.08,22.94,23.23,24.19,24.14,23.47
1925,22.98,24.90,26.50,26.28,25.36,24.13,23.38,23.00,23.64,23.97,24.43,23.71
1926,24.13,25.32,26.05,25.96,25.36,24.24,23.61,23.56,24.08,24.55,24.60,23.97
1927,23.98,25.58,26.35,26.27,25.75,24.36,23.41,23.03,24.05,24.38,24.40,24.03
1928,24.05,24.89,26.65,26.29,25.30,24.07,23.46,22.87,23.75,24.28,24.31,23.48
1929,23.55,25.43,26.35,26.27,25.57,23.91,22.94,22.79,23.41,24.15,24.36,23.06
