Variable:,tas
Country:,"Congo (Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.45,25.09,24.93,25.12,24.64,23.63,22.97,23.12,23.78,24.31,24.34,24.36
1902,24.65,24.73,25.21,25.00,24.96,23.81,22.89,23.59,24.09,24.31,24.34,24.36
1903,24.94,25.32,25.53,25.30,24.81,23.40,23.01,23.52,24.29,24.31,24.34,24.36
1904,24.65,24.86,24.94,24.95,24.67,23.66,22.56,23.00,24.29,24.31,24.34,24.36
1905,24.94,25.44,25.80,25.62,25.07,23.60,22.82,23.65,23.89,24.31,24.34,24.36
1906,24.55,25.12,25.54,25.61,24.71,23.72,23.09,23.40,24.29,24.31,24.34,24.36
1907,24.41,25.26,25.34,25.22,24.91,23.72,23.67,23.85,24.22,24.31,24.34,24.36
1908,24.41,24.86,25.24,25.28,24.87,23.07,23.01,22.67,23.83,24.31,24.34,24.36
1909,24.65,25.26,25.39,25.55,25.06,24.45,23.74,23.33,24.55,24.31,24.34,24.36
1910,24.22,24.66,24.88,24.69,24.88,24.25,23.41,23.33,23.77,24.31,24.06,24.19
1911,24.35,24.92,25.66,25.50,25.37,24.05,23.41,23.52,24.09,24.31,24.34,24.36
1912,24.74,25.71,25.91,25.83,25.31,24.33,22.97,23.52,24.00,24.16,24.03,24.34
1913,24.49,24.73,25.03,25.13,24.98,23.34,22.89,23.45,23.83,24.31,24.34,24.36
1914,25.07,25.32,25.86,25.46,24.91,23.60,22.89,23.45,24.36,24.31,24.34,24.36
1915,24.65,25.26,25.30,25.35,24.61,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1916,24.65,25.26,25.23,25.00,24.77,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1917,24.65,25.26,25.17,25.22,24.99,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1918,24.65,25.26,25.49,25.12,24.64,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1919,24.65,25.26,25.49,25.47,24.23,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1920,24.65,25.26,25.49,25.10,24.70,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1921,24.65,25.26,25.23,25.22,24.83,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1922,24.65,25.26,25.20,25.25,24.74,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1923,24.65,25.26,25.14,25.22,24.67,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1924,24.65,25.26,25.49,25.25,25.12,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1925,24.65,25.26,25.49,25.12,24.67,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1926,24.65,25.26,25.27,25.35,24.74,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1927,24.65,25.26,25.14,25.28,25.06,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1928,24.65,25.26,25.49,25.22,25.09,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1929,24.65,25.26,25.49,25.12,24.26,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1930,24.65,25.26,25.49,25.02,24.93,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1931,24.65,25.26,25.40,25.25,25.06,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1932,24.65,25.26,25.49,24.97,24.36,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1933,24.65,25.26,25.61,25.38,25.09,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1934,24.65,25.26,25.36,25.42,25.50,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1935,24.65,25.26,25.30,25.28,25.09,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1936,24.65,25.26,25.17,25.12,24.80,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1937,24.65,25.26,25.49,25.54,25.37,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1938,24.65,25.26,25.33,25.35,24.90,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1939,24.65,25.26,25.20,25.38,25.28,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1940,24.65,25.26,25.46,25.28,24.70,23.81,23.01,23.33,23.97,24.31,24.34,24.36
1941,25.50,26.16,26.52,26.42,25.54,24.22,22.63,23.80,24.48,25.24,24.60,25.01
1942,25.38,26.20,26.17,26.40,25.30,24.11,23.10,23.23,23.93,24.67,24.98,24.52
1943,24.87,25.35,25.36,25.32,24.66,22.52,22.08,23.19,23.97,24.73,24.18,24.90
1944,24.97,25.24,25.14,25.77,25.68,24.60,23.67,23.95,24.55,24.68,24.75,25.13
1945,25.49,25.53,25.82,25.71,25.16,23.98,23.62,23.39,24.28,24.61,24.34,25.04
1946,25.53,25.74,25.59,25.88,24.82,23.78,23.11,23.09,23.86,24.30,24.60,24.87
1947,25.09,25.41,25.88,25.56,25.91,24.81,23.20,24.24,24.36,24.99,24.76,24.44
1948,24.74,24.98,25.42,25.14,24.98,23.69,22.58,23.29,24.32,24.65,24.59,24.96
1949,25.57,25.40,25.74,26.11,25.60,24.12,23.39,23.53,24.49,24.78,24.61,24.58
1950,24.94,25.22,25.66,25.71,25.26,24.73,23.11,23.14,23.71,24.21,24.43,24.75
1951,24.78,25.20,25.39,25.99,25.36,23.98,23.20,23.60,24.24,24.50,24.65,24.65
1952,25.60,25.64,25.79,25.90,25.25,23.97,22.79,23.17,23.84,24.52,24.49,24.58
1953,24.78,25.17,25.67,25.68,25.36,23.95,23.06,23.13,24.17,24.44,24.42,24.81
1954,24.87,24.72,25.58,25.56,25.07,23.59,22.25,22.97,24.12,24.39,24.22,24.43
1955,24.47,25.47,25.27,25.03,25.23,23.75,22.92,23.01,23.75,24.39,24.62,24.01
1956,24.39,25.16,25.30,25.49,25.12,23.84,22.55,23.00,24.09,24.27,24.74,24.16
1957,24.35,25.16,25.18,25.50,25.72,23.99,23.23,23.67,24.20,24.42,24.93,24.78
1958,25.64,25.65,26.04,25.92,25.15,23.21,22.37,23.28,24.30,24.69,24.67,24.81
1959,24.99,25.33,25.99,25.50,25.32,23.82,23.35,23.30,23.87,24.53,24.52,24.60
1960,24.81,24.95,25.41,25.48,25.11,23.87,23.22,23.73,23.89,24.56,24.65,24.83
1961,24.77,24.68,25.59,25.39,25.40,23.32,22.65,22.81,23.59,24.06,24.06,24.17
1962,24.39,25.07,25.29,25.58,25.32,23.42,22.96,23.24,24.00,24.39,24.52,24.53
1963,24.36,25.11,25.16,25.40,25.29,24.38,23.50,23.54,24.54,24.44,24.29,24.54
1964,25.25,25.35,25.90,25.25,25.32,23.63,22.80,22.94,23.63,23.87,24.19,24.02
1965,24.56,24.88,25.28,25.20,25.30,24.13,23.06,23.41,23.89,24.48,24.62,24.29
1966,24.95,25.16,25.95,25.42,25.54,24.37,23.48,23.75,23.98,24.50,24.54,24.31
1967,24.50,25.46,25.12,25.71,25.06,23.91,22.39,22.84,23.74,24.42,24.34,24.51
1968,24.45,25.14,25.14,25.60,25.04,23.68,22.91,23.65,24.03,24.36,24.48,24.47
1969,24.43,25.68,26.21,25.98,25.75,24.15,23.07,23.58,24.19,24.49,24.60,24.64
1970,24.94,25.83,25.96,26.06,25.44,23.69,22.91,23.31,24.02,24.72,24.48,24.38
1971,24.28,25.00,25.33,25.17,24.84,24.10,23.12,22.96,23.66,24.14,23.96,23.48
1972,24.68,25.01,25.08,24.80,25.29,23.28,23.27,23.26,24.04,24.19,24.28,24.89
1973,25.24,26.13,25.79,25.20,24.79,23.85,23.39,23.12,23.88,24.13,24.08,23.92
1974,23.84,24.47,24.70,24.94,24.54,23.60,22.77,23.05,23.45,24.02,23.88,23.35
1975,23.89,24.75,25.19,25.22,24.89,23.63,22.66,22.72,23.32,23.64,23.74,23.52
1976,24.05,24.26,24.73,24.75,24.60,23.08,22.22,22.47,23.88,23.79,23.64,23.72
1977,24.49,25.05,25.39,25.45,24.93,23.12,22.68,23.20,23.91,24.14,24.16,24.00
1978,24.38,25.20,25.44,24.77,24.54,23.12,22.54,23.09,23.81,24.11,23.95,24.35
1979,24.87,25.40,25.62,25.45,25.11,23.89,23.58,23.43,24.16,24.61,24.79,24.71
1980,24.87,25.25,25.49,25.88,25.44,23.52,22.67,23.12,23.97,24.08,24.48,24.32
1981,24.60,25.67,25.48,25.71,25.19,23.92,23.06,23.54,24.19,24.52,24.14,24.74
1982,24.93,25.17,25.39,25.43,24.99,23.48,22.69,23.09,23.85,24.06,24.45,24.99
1983,25.09,26.15,26.47,26.44,25.72,23.62,23.04,23.11,24.48,24.48,24.48,24.40
1984,24.36,25.64,25.53,25.51,25.30,24.59,23.35,23.92,24.17,24.82,24.29,24.44
1985,24.82,25.15,25.75,25.23,25.00,23.91,23.11,23.46,24.09,24.40,24.45,24.57
1986,24.76,25.33,25.06,25.58,25.60,24.09,23.20,23.40,24.14,24.12,24.64,24.34
1987,25.23,25.28,25.86,26.06,25.91,24.32,23.90,23.95,24.37,24.79,24.87,25.16
1988,25.08,26.03,25.96,25.82,25.84,24.14,23.33,23.92,24.02,24.14,24.25,24.08
1989,23.82,25.04,25.05,25.65,24.66,24.30,23.03,23.96,24.37,24.68,24.83,24.67
1990,25.31,25.45,25.97,25.69,25.23,24.16,23.16,23.45,23.69,24.71,24.73,24.84
1991,24.56,25.24,25.78,25.35,25.47,24.43,23.23,23.16,24.32,23.89,24.24,24.40
1992,24.33,25.20,25.86,25.72,25.05,23.30,22.29,22.89,23.65,24.14,23.88,24.12
1993,24.25,24.82,25.22,25.12,25.18,23.81,23.47,23.26,23.53,24.18,24.21,24.39
1994,24.62,25.22,25.55,25.23,25.02,23.57,22.93,23.34,24.03,23.81,24.09,24.39
1995,24.84,25.19,25.43,25.68,25.19,23.94,23.49,23.80,24.32,24.47,24.37,24.26
1996,24.42,24.86,25.32,25.28,25.00,23.76,23.15,23.35,24.03,24.09,24.07,24.04
1997,24.46,24.86,25.28,25.36,24.53,23.62,23.48,23.54,24.29,24.69,24.68,24.78
1998,25.52,26.67,26.59,26.50,25.79,24.72,24.04,23.87,24.42,24.45,24.82,24.61
1999,24.64,24.92,25.79,25.61,24.86,24.06,23.51,23.47,23.77,24.16,24.35,24.46
2000,25.05,24.69,25.67,25.58,25.40,23.88,23.13,23.17,23.88,24.33,24.76,24.31
2001,24.46,25.34,25.61,25.57,25.69,24.33,23.60,23.48,24.15,24.45,24.55,25.02
2002,24.90,25.56,25.69,26.02,26.05,24.28,23.87,23.75,24.20,24.14,24.23,24.50
2003,24.97,25.54,25.40,25.56,25.56,24.09,23.65,23.98,24.19,24.51,24.57,24.80
2004,25.15,25.36,26.11,25.83,25.28,23.75,23.32,24.07,24.30,24.86,24.89,25.07
2005,25.26,26.30,26.01,26.05,25.25,23.81,23.62,23.95,24.67,24.62,24.51,24.81
2006,25.56,25.59,25.63,25.96,25.00,24.93,23.96,24.02,24.02,24.83,24.07,24.82
