Variable:,tas
Country:,Comoros
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.81,24.20,24.32,23.50,22.70,21.82,20.70,20.20,20.90,22.30,23.79,24.41
1902,24.71,24.40,24.32,24.00,23.11,21.72,21.20,20.61,21.80,22.60,23.80,24.11
1903,24.61,24.30,24.22,23.60,23.10,22.02,21.00,20.71,20.91,22.21,23.90,24.20
1904,24.30,24.40,23.91,23.91,23.40,21.21,20.50,20.50,20.80,22.40,23.39,24.20
1905,24.71,24.70,24.01,23.30,23.00,22.00,20.80,20.70,21.60,22.70,24.01,24.31
1906,24.60,24.50,23.80,23.60,22.90,21.51,20.80,20.30,21.00,22.40,23.60,24.00
1907,24.30,24.30,24.12,23.40,22.80,21.50,20.50,20.40,21.10,22.80,23.90,24.42
1908,24.91,24.10,24.21,23.81,23.11,21.81,20.90,20.80,21.40,22.80,23.90,24.42
1909,24.50,24.50,24.12,24.01,22.70,21.32,21.00,20.30,21.40,22.41,23.70,24.20
1910,24.10,24.40,24.22,24.11,23.11,21.31,20.50,20.50,21.00,22.40,23.30,24.11
1911,24.61,24.40,24.12,23.20,23.11,21.72,21.10,20.30,21.51,22.30,23.50,24.60
1912,24.81,24.30,24.21,23.80,23.30,21.91,20.90,20.80,21.60,22.70,24.00,23.90
1913,24.41,24.50,24.51,23.81,23.60,21.82,20.90,21.10,21.60,23.10,23.80,24.21
1914,24.51,24.70,24.41,24.11,23.31,22.02,21.00,21.00,21.70,22.80,23.70,24.60
1915,24.70,24.70,24.41,24.21,23.40,21.82,21.30,20.71,21.41,23.10,23.90,24.40
1916,24.61,24.50,24.41,24.10,23.21,21.82,20.71,20.91,21.50,22.80,23.50,24.01
1917,24.41,24.21,24.22,23.91,23.50,22.01,21.20,20.90,21.40,22.31,23.70,24.02
1918,24.70,24.40,24.31,23.81,23.21,21.92,21.00,20.80,21.50,22.90,23.80,24.41
1919,24.61,24.60,24.41,23.81,22.92,21.82,20.81,21.20,21.90,22.80,24.09,24.50
1920,24.60,24.50,24.32,23.72,23.31,21.53,20.71,20.91,21.90,23.10,23.70,24.21
1921,24.51,24.50,24.22,23.81,23.21,21.82,21.00,20.90,21.60,23.00,23.80,24.21
1922,24.41,24.50,24.32,23.52,23.11,21.72,20.80,20.90,21.31,22.70,23.90,24.50
1923,24.71,24.60,24.51,24.20,23.50,21.91,21.30,20.71,21.70,22.90,24.00,24.41
1924,24.61,24.50,24.52,23.91,23.40,21.91,21.20,21.00,21.60,22.71,23.80,24.30
