Variable:,tas
Country:,Djibouti
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.65,24.49,25.95,27.56,29.36,31.59,32.69,32.13,30.34,27.63,25.38,23.91
1902,23.31,23.98,25.38,26.48,28.04,31.93,34.42,33.96,31.43,27.87,25.56,23.80
1903,24.79,25.18,26.42,28.22,29.46,31.79,33.76,32.47,30.44,27.53,24.64,23.51
1904,22.91,24.65,25.76,27.87,29.55,32.36,32.67,32.14,30.34,27.63,25.38,23.90
1905,23.65,24.46,25.93,27.56,29.36,31.59,33.35,32.13,30.44,28.30,26.15,24.48
1906,23.24,25.48,25.94,27.46,30.37,32.86,33.35,32.88,30.92,27.63,24.64,22.18
1907,22.60,24.96,26.43,27.89,29.94,32.26,33.09,32.03,30.24,27.44,24.79,21.57
1908,23.32,23.71,27.03,28.65,31.59,32.52,33.16,32.03,31.58,27.63,24.14,22.24
1909,22.33,23.65,25.12,25.98,28.88,30.92,33.34,32.80,30.53,27.44,24.72,24.00
1910,23.40,24.46,26.42,28.32,30.36,32.26,34.34,32.96,30.34,27.53,25.57,24.72
1911,24.10,24.50,26.72,27.86,30.29,32.43,33.35,32.60,30.55,28.40,26.00,24.49
1912,23.64,24.46,25.94,27.54,29.33,31.58,32.63,32.10,30.31,27.61,25.38,23.87
1913,23.62,24.43,25.90,27.54,29.36,31.56,32.67,32.13,30.34,27.63,25.38,23.90
1914,23.67,24.46,25.95,27.56,29.36,31.59,32.67,32.13,30.34,27.63,25.38,23.90
1915,23.67,24.47,25.94,27.56,29.36,31.59,32.67,32.13,30.34,27.63,25.38,23.90
1916,23.65,24.46,25.93,27.54,29.36,31.59,32.67,32.13,30.34,27.63,25.38,23.90
1917,23.65,24.47,25.94,27.56,29.36,31.59,32.67,32.13,30.34,27.63,25.38,23.90
1918,23.65,24.48,25.94,27.56,29.36,31.59,32.67,32.13,30.34,27.63,25.38,23.90
1919,23.67,24.47,25.95,27.56,29.36,31.59,32.67,32.13,30.34,27.63,25.38,23.90
1920,23.65,24.45,25.94,27.56,29.36,31.59,32.67,32.12,30.34,27.63,25.38,23.90
