Variable:,tas
Country:,Gabon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.28,25.53,25.12,25.56,24.84,23.55,22.75,22.74,23.94,25.04,24.92,24.86
1902,25.58,25.02,25.58,25.34,25.39,23.95,22.65,23.60,24.57,25.04,24.92,24.86
1903,25.98,25.91,26.08,25.76,25.12,23.35,22.85,23.51,24.85,25.04,24.92,24.86
1904,25.58,25.22,25.19,25.29,24.93,23.75,22.17,22.72,24.85,25.04,24.92,24.86
1905,25.98,26.10,26.44,26.27,25.54,23.65,22.55,23.70,24.27,25.04,24.92,24.86
1906,25.40,25.61,26.15,26.32,25.02,23.85,22.95,23.31,24.85,25.04,24.92,24.86
1907,25.22,25.81,25.85,25.69,25.31,23.85,23.82,23.98,24.75,25.04,24.92,24.86
1908,25.22,25.22,25.68,25.76,25.31,22.87,22.85,22.24,24.17,25.04,24.92,24.86
1909,25.58,25.81,25.93,26.21,25.46,24.90,23.92,23.21,25.23,25.04,24.92,24.86
1910,24.94,24.92,25.09,24.90,25.07,24.61,23.44,23.21,24.07,25.04,24.30,24.50
1911,25.12,25.31,26.25,26.06,25.84,24.32,23.44,23.51,24.57,25.04,24.92,24.86
1912,25.68,26.48,26.67,26.56,25.81,24.64,22.75,23.37,24.30,24.70,24.22,24.78
1913,25.32,25.02,25.37,25.49,25.23,23.26,22.65,23.41,24.17,25.04,24.92,24.86
1914,26.17,25.91,26.52,26.10,25.32,23.65,22.65,23.41,24.94,25.04,24.92,24.86
1915,25.58,25.81,25.83,25.87,25.12,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1916,25.58,25.81,25.79,25.60,25.24,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1917,25.58,25.81,25.73,25.78,25.41,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1918,25.58,25.81,25.98,25.70,25.14,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1919,25.58,25.81,25.98,25.96,24.82,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1920,25.58,25.81,25.98,25.68,25.19,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1921,25.58,25.81,25.79,25.78,25.28,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1922,25.58,25.81,25.77,25.80,25.21,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1923,25.58,25.81,25.72,25.78,25.17,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1924,25.58,25.81,25.98,25.80,25.51,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1925,25.58,25.81,25.98,25.70,25.17,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1926,25.58,25.81,25.81,25.87,25.21,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1927,25.58,25.81,25.72,25.82,25.46,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1928,25.58,25.81,25.98,25.78,25.49,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1929,25.58,25.81,25.98,25.70,24.85,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1930,25.58,25.81,25.98,25.62,25.37,23.95,22.85,23.21,24.37,25.04,24.92,24.86
1931,25.58,25.81,25.91,25.80,25.46,23.95,22.85,23.21,24.37,25.04,24.92,24.86
