Variable:,tas
Country:,Ghana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.38,28.86,29.17,28.94,27.73,26.62,25.64,25.37,25.81,26.84,27.28,26.05
1902,26.52,28.77,29.38,29.36,28.21,26.18,25.65,25.42,25.76,26.40,27.29,26.50
1903,26.95,28.95,29.52,29.12,28.12,26.62,25.64,25.37,25.81,26.84,27.28,26.50
1904,26.95,28.94,29.52,29.12,28.13,26.62,25.64,25.37,25.82,26.84,27.28,26.50
1905,26.19,27.19,28.59,29.04,28.04,26.19,25.67,24.94,25.75,26.81,27.90,27.00
1906,26.39,28.44,29.61,30.37,28.21,26.88,25.37,24.89,26.43,27.10,27.52,27.03
1907,26.78,27.61,28.76,28.66,28.56,26.50,26.03,25.19,26.04,27.91,27.40,25.78
1908,26.74,28.31,29.08,29.40,28.79,27.17,26.07,25.00,25.96,26.65,26.81,26.03
1909,26.85,29.55,30.87,29.07,27.86,25.60,24.89,24.20,25.82,26.04,27.45,26.50
1910,26.04,29.02,29.26,28.84,28.25,27.50,26.10,25.50,26.13,26.64,27.28,26.50
1911,26.63,28.56,29.19,29.03,27.77,26.28,25.65,25.24,25.73,26.65,27.27,25.77
1912,26.93,28.81,29.22,29.61,28.14,26.64,26.18,25.64,26.29,26.69,26.65,26.41
1913,27.12,28.87,28.20,28.83,28.49,27.63,26.82,26.52,27.00,26.71,26.66,26.14
1914,28.36,28.58,28.89,28.87,28.96,27.63,26.46,25.33,26.15,27.13,28.27,26.37
1915,26.34,28.46,29.72,28.77,28.07,26.23,25.67,25.34,25.64,26.51,27.01,26.16
1916,26.29,28.19,29.37,28.66,27.76,26.29,25.69,25.01,25.32,26.31,26.56,26.50
1917,26.95,28.95,28.91,28.70,27.61,26.25,25.64,25.37,25.39,26.37,26.36,26.33
1918,26.62,27.95,28.59,28.77,27.74,26.62,25.64,24.84,25.32,26.61,26.95,26.50
1919,26.95,28.95,29.52,29.12,28.12,26.62,25.64,25.37,25.82,26.84,27.28,26.50
1920,27.05,28.95,29.52,29.12,28.66,26.62,25.64,25.37,25.82,26.84,27.28,26.50
1921,26.07,28.95,29.52,29.12,28.96,26.62,25.64,25.37,25.82,26.84,27.28,26.50
1922,26.95,28.95,29.52,29.12,28.29,26.62,25.64,24.88,25.23,26.47,26.97,26.25
1923,27.36,28.21,28.81,27.40,27.88,26.50,25.66,24.66,25.51,26.66,27.03,27.06
1924,27.48,30.01,30.01,28.29,28.37,26.27,25.09,24.99,25.82,26.74,27.00,26.03
1925,24.49,28.06,29.59,29.49,28.33,25.75,25.44,25.10,25.55,25.74,27.11,25.85
