Variable:,tas
Country:,Morocco
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.03,10.33,12.92,16.90,18.96,24.08,25.85,26.76,21.89,16.73,13.39,9.33
1902,9.51,11.59,13.79,15.76,17.63,21.21,25.60,25.97,22.37,17.32,14.15,10.28
1903,9.64,11.48,13.55,15.57,17.70,21.54,25.45,25.74,21.95,18.42,14.18,9.44
1904,9.09,11.09,12.36,15.36,19.06,22.27,25.94,26.28,22.05,18.78,13.96,11.12
1905,9.10,10.06,14.03,16.13,18.13,21.82,25.69,25.64,21.92,17.58,13.05,10.09
1906,9.79,10.06,13.03,14.39,18.00,22.59,25.51,26.24,22.76,18.45,13.69,9.59
1907,8.78,9.79,13.18,15.01,17.62,22.18,24.44,25.89,22.87,17.07,13.66,11.05
1908,9.82,10.61,12.10,13.98,18.92,21.16,25.13,25.45,23.02,18.62,14.65,10.76
1909,8.74,10.01,12.90,15.70,18.77,20.75,25.11,25.37,21.44,18.55,13.90,11.37
1910,9.46,11.59,12.32,14.93,17.29,21.57,24.90,25.00,22.25,18.33,14.14,10.89
1911,7.95,10.86,11.80,14.55,17.60,21.64,24.96,26.03,24.01,17.69,13.30,11.39
1912,9.43,13.10,14.32,14.67,19.59,22.06,22.93,24.45,21.67,17.43,13.25,9.64
1913,10.39,11.18,13.07,14.40,18.21,23.10,24.71,24.18,20.75,18.19,14.02,10.19
1914,8.14,10.71,13.09,15.45,18.52,20.46,24.41,25.15,22.66,17.92,13.29,10.29
1915,8.88,10.56,13.40,14.05,18.44,21.81,26.12,26.18,22.43,17.24,13.67,10.81
1916,9.13,10.45,12.07,14.66,18.36,21.62,25.07,25.78,22.27,18.58,13.94,10.65
1917,8.58,10.16,12.06,14.13,18.24,21.78,26.18,25.19,23.46,17.12,13.23,8.71
1918,9.99,10.63,12.15,13.83,18.19,22.25,25.42,25.82,22.43,16.23,13.32,10.48
1919,8.93,12.19,13.05,14.38,18.24,22.49,24.66,26.76,22.66,17.04,12.99,9.19
1920,9.27,10.97,12.89,15.93,18.80,22.16,25.16,25.41,22.67,17.42,13.31,10.01
1921,9.49,10.69,12.76,14.68,18.00,21.79,26.15,25.50,22.70,19.13,13.30,9.19
1922,9.16,10.85,12.30,15.25,19.41,21.60,25.66,25.93,21.69,18.46,13.55,9.30
1923,7.63,11.33,13.60,13.74,18.60,21.57,25.94,27.18,21.90,20.32,13.99,8.47
1924,9.11,9.41,13.58,15.84,20.59,23.59,26.88,25.52,22.52,18.22,13.72,10.24
1925,8.61,10.29,11.12,14.61,17.92,21.40,24.28,26.71,22.66,17.79,13.08,12.12
1926,10.54,13.18,14.11,16.33,18.09,22.66,26.38,26.53,24.95,20.37,12.42,9.57
1927,9.38,9.96,13.44,15.50,19.43,23.27,24.72,26.68,22.67,19.15,13.11,10.81
1928,8.51,11.26,13.66,15.01,16.99,22.83,27.79,26.81,24.04,18.11,13.02,9.49
1929,9.69,11.52,13.40,16.03,17.41,22.89,26.37,25.86,22.24,18.10,12.80,10.94
1930,9.99,9.79,13.67,13.85,18.97,21.01,25.43,27.46,23.44,20.49,15.57,10.66
1931,8.82,9.58,14.08,15.03,18.72,23.53,25.90,25.19,21.94,19.51,14.60,9.69
1932,9.10,10.16,13.21,14.85,18.59,21.60,24.58,25.79,22.17,17.24,14.00,10.23
1933,8.91,11.24,12.79,16.87,20.31,21.83,25.87,27.56,22.11,19.25,12.00,8.60
1934,7.89,9.56,11.08,14.62,18.39,22.91,25.79,25.29,22.80,18.94,13.50,11.66
1935,8.03,9.48,13.85,16.21,17.33,22.72,26.86,25.76,23.91,17.02,13.94,10.80
1936,11.29,12.08,13.12,15.94,16.33,21.27,25.70,26.70,24.21,17.07,12.31,8.94
1937,9.97,12.75,13.49,17.80,19.24,22.28,27.03,26.68,22.71,18.28,16.22,10.09
1938,8.69,11.15,13.73,15.67,18.43,24.42,26.50,25.53,21.14,19.13,15.08,9.93
1939,10.28,10.43,12.35,14.71,18.00,21.75,26.26,25.09,23.14,18.03,14.04,10.77
1940,9.93,12.75,15.59,16.86,18.73,21.97,25.70,27.75,23.09,17.66,13.85,9.13
1941,9.53,12.17,13.67,15.08,17.90,22.56,25.92,26.67,23.52,19.85,14.59,9.36
1942,8.65,9.60,14.18,15.91,20.04,22.88,26.31,25.85,22.75,19.99,14.31,10.95
1943,10.03,10.23,13.09,16.94,20.00,23.93,25.74,27.19,22.31,17.97,12.16,9.98
1944,9.08,10.21,13.09,17.36,20.31,22.66,26.55,26.16,23.04,17.97,14.21,9.40
1945,7.29,11.18,14.07,18.11,20.19,24.04,26.58,25.16,23.87,20.15,16.06,11.93
1946,9.23,11.39,13.23,15.10,17.33,23.03,27.85,26.68,23.67,19.08,14.12,9.41
1947,9.09,11.50,15.72,17.19,18.22,23.24,25.59,26.16,23.47,18.70,15.60,10.13
1948,9.99,12.27,14.72,15.44,18.48,24.06,26.42,26.70,23.09,18.31,15.58,11.59
1949,9.56,11.47,12.83,17.17,18.36,23.03,26.67,27.91,22.79,19.41,14.72,10.90
1950,9.27,11.77,14.09,15.89,18.65,23.17,27.30,26.00,22.79,18.05,15.49,10.03
1951,8.86,10.16,14.44,15.96,17.20,23.54,25.63,25.73,23.01,16.71,14.22,10.98
1952,7.94,10.63,15.21,14.84,18.60,23.89,25.94,25.92,21.83,19.49,15.10,10.59
1953,8.91,9.90,12.48,16.30,20.51,21.91,26.42,27.07,22.63,17.80,14.89,11.56
1954,8.21,9.36,12.56,13.63,19.30,22.32,25.96,25.43,22.89,19.79,15.25,10.56
1955,11.54,12.22,12.57,16.72,21.07,23.67,25.84,26.17,23.63,18.63,15.62,11.87
1956,9.56,8.62,12.00,14.13,18.59,22.26,25.27,25.06,21.83,19.39,12.18,8.92
1957,7.77,11.96,14.73,14.38,17.94,21.76,26.57,26.36,23.68,17.36,13.08,8.79
1958,9.36,12.86,13.68,15.11,19.93,21.83,24.97,25.96,23.51,18.71,13.20,11.41
1959,10.73,10.17,13.68,15.90,17.77,22.39,25.90,26.03,22.05,18.25,13.45,10.80
1960,9.33,12.65,14.06,15.67,19.11,22.75,25.69,25.69,22.42,17.33,15.06,9.07
1961,8.62,12.58,14.75,16.91,20.47,22.29,27.23,26.79,23.46,18.21,13.95,11.94
1962,10.36,10.12,12.92,15.72,19.60,22.18,26.04,27.42,23.83,19.34,12.25,10.11
1963,10.39,10.55,13.41,15.43,17.40,21.53,25.82,25.25,21.22,19.10,14.92,10.86
1964,9.61,11.66,13.75,14.31,21.09,22.63,26.09,25.73,24.60,18.45,13.65,8.94
1965,9.04,10.21,14.22,15.14,20.33,23.63,24.64,25.47,20.64,17.80,13.55,10.58
1966,11.22,13.23,13.04,16.09,19.49,22.69,24.67,26.09,23.28,17.14,11.47,9.54
1967,9.37,10.87,14.34,14.22,18.28,21.93,26.64,26.27,22.01,18.38,13.33,8.58
1968,8.93,10.79,12.00,14.87,18.40,22.44,26.23,24.98,22.70,19.94,14.83,10.36
1969,11.17,12.03,13.94,14.17,18.29,21.54,26.55,25.52,20.71,17.70,14.52,9.00
1970,11.11,11.47,12.35,15.61,18.83,21.75,26.70,25.68,23.49,17.83,14.82,9.15
1971,9.81,11.04,11.59,13.70,15.75,21.01,25.02,25.16,22.24,20.16,12.21,9.60
1972,8.81,11.17,12.34,14.96,17.12,20.70,24.84,24.36,21.11,18.18,13.99,9.53
1973,8.93,10.17,12.68,15.40,19.56,21.88,25.25,26.35,22.87,18.00,14.61,9.30
1974,10.27,10.97,12.64,13.84,19.04,21.68,26.51,26.35,22.33,16.42,13.71,10.38
1975,10.06,11.73,12.35,14.44,16.75,21.20,27.21,26.57,21.69,18.60,13.09,9.78
1976,8.83,10.91,12.43,13.26,17.24,22.84,26.16,26.78,22.13,17.25,12.54,11.42
1977,9.84,11.82,14.76,16.52,17.90,20.98,23.71,23.73,22.49,18.51,13.36,11.85
1978,9.72,12.75,13.74,15.06,17.06,20.47,26.44,25.40,24.06,18.14,14.20,12.06
1979,11.35,11.88,12.46,15.09,18.62,22.30,25.81,25.91,22.72,17.45,13.85,10.34
1980,9.47,11.83,13.36,15.54,18.20,22.44,25.94,26.74,24.18,18.63,14.02,9.14
1981,8.59,10.65,15.12,14.76,18.41,23.20,25.60,25.12,23.10,19.44,16.08,12.01
1982,10.31,11.73,14.03,15.43,18.84,23.55,25.64,25.48,23.25,18.12,13.12,9.06
1983,9.48,10.23,15.59,15.54,17.95,23.73,25.01,24.76,24.04,20.68,16.11,11.07
1984,9.35,10.77,12.42,17.06,16.06,22.04,27.28,25.62,23.12,18.10,14.07,10.97
1985,8.56,12.92,12.69,16.14,17.45,22.94,26.42,26.56,23.81,19.77,15.03,10.79
1986,9.42,11.10,12.73,13.58,20.34,21.88,26.11,26.02,23.51,18.44,13.54,9.81
1987,9.79,11.68,14.61,17.61,19.33,23.10,25.36,25.63,24.85,18.24,14.38,12.04
1988,10.05,11.13,13.71,15.92,18.15,21.31,26.53,27.32,23.66,18.99,14.91,9.54
1989,9.36,11.45,14.42,14.23,19.12,22.93,27.12,27.05,23.22,20.00,14.88,12.72
1990,9.39,13.16,14.93,14.86,19.28,22.76,26.82,27.23,24.46,18.61,14.29,10.11
1991,9.02,9.70,12.74,14.78,17.95,23.15,26.39,27.06,23.55,16.91,13.49,10.65
1992,8.99,11.39,13.24,16.02,19.58,20.46,26.00,26.54,22.96,17.14,13.51,10.96
1993,8.82,10.62,13.74,15.43,18.01,22.88,26.34,26.01,21.22,16.86,13.20,10.39
1994,9.02,10.89,13.92,15.48,19.54,23.80,27.27,26.62,21.82,18.60,15.27,11.22
1995,9.89,12.49,14.17,15.92,21.18,22.65,26.80,26.57,21.99,20.18,16.22,12.53
1996,11.55,10.65,13.18,16.33,19.04,23.70,26.41,25.11,21.74,18.54,14.50,11.49
1997,10.84,13.13,15.28,17.12,19.39,22.71,24.93,25.34,23.53,20.10,15.41,11.60
1998,10.06,13.17,15.52,16.05,18.04,23.71,26.54,27.02,23.36,18.37,14.79,9.83
1999,9.64,9.86,13.36,16.95,20.43,23.74,26.53,26.61,22.91,19.23,13.36,10.29
2000,8.66,12.80,15.33,15.28,19.40,24.51,26.66,26.90,23.14,17.47,13.89,11.77
2001,10.86,12.12,16.13,17.05,19.22,24.54,26.25,26.59,22.70,20.74,14.16,11.34
2002,10.87,12.79,14.37,16.09,19.27,23.37,25.87,24.95,22.86,20.22,14.87,12.45
2003,9.57,10.93,15.08,16.14,20.63,24.67,26.87,27.43,23.88,18.86,14.19,10.80
2004,10.35,12.10,13.71,15.74,17.50,24.53,27.09,27.19,23.75,19.89,13.71,10.06
2005,8.26,9.12,14.49,16.96,21.21,24.67,26.83,27.01,23.24,20.17,13.98,10.40
2006,8.63,10.48,14.40,17.39,20.63,23.36,27.60,26.77,23.87,20.32,15.84,10.40
2007,9.75,12.73,13.88,15.40,19.39,23.14,27.26,26.29,23.02,19.35,14.67,10.66
2008,10.56,12.98,14.59,17.76,18.71,24.16,26.98,26.94,22.90,17.84,12.23,9.51
2009,9.03,11.14,14.60,15.51,20.09,24.28,27.83,27.37,22.18,20.52,16.27,12.73
2010,10.69,13.32,14.92,17.73,19.34,22.97,27.56,28.23,24.28,18.78,14.58,12.35
