Variable:,tas
Country:,Mauritius
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.24,25.34,25.14,24.14,22.34,20.73,19.84,19.73,20.34,21.49,23.16,24.43
1902,25.24,25.34,25.13,24.24,22.36,20.73,19.86,19.73,20.46,21.57,23.16,24.44
1903,25.16,25.34,25.14,24.16,22.44,20.83,19.84,19.74,20.34,21.47,23.14,24.43
1904,25.14,25.34,25.13,24.14,22.36,20.73,19.84,19.74,20.34,21.59,23.16,24.44
1905,25.16,25.34,25.13,24.14,22.36,20.84,19.84,19.83,20.47,21.59,23.06,24.43
1906,25.26,25.34,25.23,24.16,22.36,20.73,19.84,19.73,20.34,21.49,23.06,24.43
1907,25.16,25.34,25.13,24.14,22.36,20.74,19.83,19.74,20.36,21.60,23.14,24.43
1908,25.16,25.34,25.14,24.16,22.34,20.83,19.84,19.83,20.46,21.60,23.16,24.43
1909,25.14,25.34,25.13,24.14,22.34,20.73,19.86,19.74,20.46,21.47,23.16,24.54
1910,25.16,25.34,25.13,24.16,22.34,20.73,19.84,19.74,20.44,21.59,23.04,24.43
1911,25.14,25.34,25.13,24.13,22.34,20.73,19.84,19.74,20.36,21.59,23.14,24.54
1912,25.24,25.34,25.23,24.16,22.44,20.74,19.84,19.83,20.46,21.59,23.16,24.44
1913,25.14,25.34,25.23,24.14,22.46,20.73,19.84,19.83,20.44,21.59,23.14,24.43
1914,25.14,25.36,25.14,24.16,22.36,20.83,19.84,19.83,20.46,21.57,23.06,24.53
1915,25.16,25.34,25.14,24.24,22.36,20.73,19.86,19.73,20.36,21.59,23.14,24.43
1916,25.16,25.34,25.14,24.16,22.34,20.73,19.83,19.74,20.36,21.57,23.04,24.41
1917,25.14,25.33,25.13,24.14,22.44,20.74,19.86,19.74,20.34,21.47,23.06,24.41
1918,25.16,25.34,25.13,24.14,22.34,20.74,19.84,19.73,20.36,21.59,23.14,24.44
1919,25.16,25.34,25.14,24.14,22.34,20.73,19.83,19.84,20.46,21.57,23.16,24.44
1920,25.16,25.34,25.13,24.14,22.36,20.73,19.83,19.74,20.46,21.59,23.06,24.43
1921,25.14,25.34,25.13,24.14,22.34,20.73,19.84,19.74,20.44,21.59,23.14,24.43
1922,25.14,25.34,25.13,24.04,22.34,20.73,19.83,19.74,20.34,21.49,23.14,24.44
1923,25.24,25.34,25.23,24.16,22.44,20.74,19.86,19.73,20.46,21.59,23.16,24.44
1924,25.16,25.34,25.23,24.14,22.36,20.74,19.86,19.83,20.44,21.49,23.14,24.43
1925,25.14,25.34,25.13,24.16,22.34,20.84,19.94,19.73,20.47,21.59,23.14,24.44
1926,25.26,25.36,25.24,24.26,22.44,20.84,19.86,19.83,20.46,21.59,23.16,24.44
1927,25.16,25.34,25.13,24.16,22.36,20.74,19.84,19.83,20.44,21.59,23.14,24.53
1928,25.14,25.36,25.23,24.24,22.46,20.73,19.84,19.74,20.44,21.59,23.16,24.43
1929,25.24,25.33,25.23,24.24,22.36,20.83,19.86,19.83,20.44,21.60,23.16,24.43
1930,25.14,25.36,25.13,24.14,22.34,20.73,19.84,19.73,20.47,21.49,23.16,24.44
1931,25.14,25.34,25.13,24.14,22.34,20.73,19.84,19.73,20.34,21.47,23.04,24.43
1932,25.16,25.34,25.14,24.14,22.34,20.73,19.84,19.74,20.34,21.49,23.16,24.43
1933,25.16,25.34,25.13,24.14,22.34,20.73,19.84,19.74,20.34,21.57,23.16,24.43
1934,25.14,25.34,25.14,24.14,22.36,20.71,19.84,19.71,20.34,21.49,23.06,24.43
1935,25.14,25.34,25.14,24.14,22.36,20.74,19.83,19.74,20.46,21.59,23.06,24.43
1936,25.14,25.36,25.14,24.14,22.36,20.73,19.84,19.73,20.36,21.59,23.14,24.43
1937,25.14,25.34,25.13,24.14,22.34,20.83,19.84,19.73,20.46,21.49,23.16,24.44
1938,25.16,25.34,25.14,24.16,22.36,20.73,19.86,19.83,20.36,21.49,23.04,24.44
1939,25.16,25.36,25.13,24.14,22.36,20.74,19.84,19.73,20.44,21.57,23.14,24.43
