Variable:,tas
Country:,Rwanda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.65,18.81,18.86,18.82,18.66,17.59,18.17,18.86,19.16,19.47,19.22,19.37
1902,18.65,18.81,18.86,18.72,20.06,19.78,18.17,19.99,19.01,19.18,18.33,17.70
1903,18.65,18.90,18.46,18.72,18.67,18.99,18.17,19.99,19.01,18.88,18.53,18.48
1904,18.05,18.12,18.43,18.31,18.72,18.80,18.44,19.92,19.21,18.02,18.00,17.95
1905,18.65,18.58,18.30,17.76,18.39,18.53,17.86,18.66,19.03,19.25,18.36,17.78
1906,17.80,18.65,17.74,17.64,18.05,17.44,17.32,17.88,18.17,18.58,18.97,18.65
1907,18.22,18.02,18.32,17.93,17.85,17.23,17.64,17.60,18.38,18.98,18.41,18.22
1908,18.65,18.93,18.72,18.89,18.32,18.29,18.31,19.43,18.97,18.88,18.39,17.81
1909,17.43,17.19,18.15,18.19,18.13,17.18,17.57,17.90,18.32,18.35,17.43,17.35
1910,17.70,17.54,17.88,18.08,17.28,18.19,17.07,18.05,17.75,17.70,17.54,18.48
1911,18.06,18.36,18.15,17.46,18.28,17.55,17.16,18.16,17.79,18.25,17.86,18.26
1912,17.85,17.90,17.82,17.70,17.80,17.75,17.19,18.00,18.25,18.35,17.81,17.39
1913,17.54,17.94,17.66,17.69,17.83,17.16,17.06,17.88,18.59,18.35,17.89,17.74
1914,17.81,18.12,18.26,17.88,17.83,17.75,17.44,18.37,18.41,18.45,18.00,18.05
1915,18.12,18.28,18.62,18.11,17.32,17.58,17.64,18.16,18.58,18.35,17.47,17.37
1916,17.81,17.89,17.74,17.85,17.83,17.23,16.92,17.78,17.89,18.88,17.33,17.37
1917,17.17,17.39,17.38,17.39,17.45,16.94,17.06,18.16,17.89,17.72,17.33,17.23
1918,17.46,17.62,17.74,17.47,17.32,17.23,17.30,18.03,18.17,18.35,17.60,17.65
1919,18.12,18.39,18.26,17.85,17.70,17.23,17.06,18.16,18.41,17.72,17.47,17.37
1920,17.73,17.76,17.90,17.24,17.45,16.81,17.06,18.03,19.01,18.88,18.77,16.87
1921,18.23,18.39,19.05,18.75,18.47,17.87,18.36,18.80,18.84,18.78,18.51,18.67
1922,18.84,19.25,18.90,18.48,17.96,18.23,17.57,18.66,19.03,18.52,18.35,18.17
1923,18.64,18.91,18.62,18.40,18.57,17.95,17.82,18.55,18.69,18.64,18.21,18.48
1924,18.65,18.81,18.86,18.72,18.57,18.19,18.17,18.90,19.01,18.88,18.53,18.48
1925,18.12,18.53,18.62,18.72,18.57,18.19,18.17,18.90,19.03,19.02,18.53,18.48
1926,18.65,19.56,18.86,19.15,18.59,18.23,18.20,18.80,19.45,19.02,18.62,18.17
1927,19.26,19.05,19.05,18.48,18.25,17.75,17.44,18.93,19.33,19.31,18.62,18.48
1928,19.09,19.34,18.86,19.15,18.57,18.23,17.64,18.90,19.33,19.16,18.72,18.48
1929,17.73,18.20,18.17,17.57,17.23,17.00,17.16,17.71,17.73,17.68,17.27,17.29
1930,17.92,17.76,17.74,17.57,17.60,17.00,17.33,18.16,18.48,17.91,17.60,17.56
1931,18.23,19.11,17.89,18.03,18.11,18.11,17.86,18.89,18.78,19.05,18.70,16.89
1932,17.97,17.62,18.03,17.85,17.40,17.64,17.44,18.46,18.99,18.65,18.91,17.49
1933,17.78,17.55,18.19,18.31,18.49,18.43,17.74,18.33,17.76,17.81,18.59,17.28
1934,18.20,17.76,18.47,17.86,17.83,17.90,17.82,18.56,18.57,18.19,17.74,17.45
