Variable:,tas
Country:,Senegal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.08,27.72,28.38,31.05,30.85,31.12,29.20,28.86,28.66,28.58,25.83,24.03
1902,25.28,27.37,28.13,30.61,31.64,31.58,29.51,29.26,28.38,29.92,28.20,23.80
1903,23.96,27.45,29.46,30.30,31.28,30.49,29.23,28.38,28.25,29.75,27.80,24.12
1904,24.27,26.66,28.20,30.55,31.13,30.43,28.81,28.11,28.41,28.91,27.82,24.44
1905,24.80,26.57,28.76,30.32,30.95,30.54,29.27,28.51,28.77,29.05,27.11,25.05
1906,25.53,26.90,29.85,30.62,31.26,31.16,28.71,27.91,28.41,29.05,27.67,23.90
1907,23.97,26.07,28.31,29.77,30.23,29.65,28.76,27.92,28.11,28.66,26.48,24.02
1908,24.65,26.61,28.96,30.97,31.64,31.01,29.25,28.20,28.57,29.32,27.88,25.63
1909,24.23,26.53,29.51,30.31,31.28,30.30,29.06,28.35,28.21,29.11,27.24,24.99
1910,23.76,27.21,28.88,30.70,31.48,30.75,28.57,28.36,28.71,29.56,28.70,25.05
1911,23.82,26.43,27.66,30.74,30.89,30.02,29.06,28.41,28.79,29.94,27.82,25.36
1912,24.76,27.30,29.66,30.44,31.59,31.12,29.21,28.44,28.55,29.03,27.85,24.67
1913,24.95,27.06,28.38,30.66,30.47,31.18,28.99,28.67,28.50,29.34,28.12,25.71
1914,24.73,26.17,28.90,30.30,31.98,30.17,28.55,28.23,28.23,29.35,27.25,24.54
1915,25.47,26.34,27.70,30.25,31.18,31.87,29.52,28.60,28.81,30.00,27.71,26.27
1916,25.04,26.37,27.65,29.41,30.83,30.81,28.57,28.50,28.31,29.74,27.45,25.13
1917,25.57,25.65,28.67,29.65,30.86,30.19,29.56,28.34,28.13,28.61,26.63,24.39
1918,25.54,26.95,28.26,29.99,31.61,31.36,28.88,28.34,28.52,29.06,26.84,24.55
1919,25.07,28.06,29.67,29.81,30.83,31.40,29.04,28.84,28.51,29.68,28.74,25.12
1920,25.09,25.78,28.04,30.56,31.08,30.56,28.11,28.09,27.88,29.09,26.90,24.92
1921,25.03,25.89,27.59,30.30,30.52,30.35,28.78,28.62,28.62,29.39,26.80,24.34
1922,24.07,26.66,27.58,28.61,30.47,29.51,28.02,28.25,27.78,28.95,27.68,24.91
1923,24.13,26.93,27.84,30.02,30.98,30.25,28.88,28.51,28.67,29.73,27.72,25.84
1924,24.48,25.30,28.97,30.20,31.76,30.20,28.77,28.37,27.88,28.29,27.41,24.12
1925,23.50,26.28,27.81,30.06,31.94,30.51,28.93,28.08,27.91,28.52,27.36,26.14
