Variable:,tas
Country:,Chad
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.82,23.19,26.82,30.14,31.33,30.94,29.32,28.35,28.69,27.64,24.16,21.57
1902,20.81,23.20,26.84,30.14,31.35,30.95,29.31,28.36,28.70,27.62,24.15,21.54
1903,20.80,23.15,26.81,30.14,31.34,30.95,29.32,28.36,28.69,27.63,24.16,21.57
1904,20.83,23.18,26.83,30.14,31.34,30.95,29.32,28.37,28.70,27.63,24.15,21.55
1905,20.82,23.17,26.82,30.13,31.34,30.95,29.32,28.36,28.70,27.63,24.16,21.56
1906,20.82,23.19,26.83,30.14,31.35,30.96,29.32,28.35,28.70,27.63,24.16,21.57
1907,20.83,23.19,26.83,30.14,31.34,30.95,29.31,28.34,28.70,27.63,24.15,21.55
1908,20.82,23.17,26.84,30.14,31.34,30.95,29.31,28.35,28.70,27.63,24.15,21.56
1909,20.82,23.19,26.84,30.14,31.35,30.95,29.31,28.35,28.69,27.63,24.16,21.56
1910,20.77,23.20,26.69,30.12,31.34,30.96,29.28,28.34,28.67,27.60,24.09,21.47
1911,20.88,23.11,26.76,30.08,31.26,30.96,29.34,28.35,28.70,27.62,24.14,21.49
1912,20.76,23.13,26.76,30.06,31.33,30.96,29.32,28.34,28.68,27.58,24.13,21.49
1913,20.77,23.13,26.65,30.09,31.30,30.92,29.36,28.38,28.73,27.61,24.05,21.47
1914,20.90,23.18,26.84,30.07,31.31,30.99,29.32,28.35,28.70,27.63,24.17,21.56
1915,20.86,23.20,26.81,30.10,31.31,30.95,29.34,28.35,28.70,27.63,24.17,21.53
1916,20.68,23.16,26.78,30.13,31.28,30.91,29.29,28.33,28.66,27.54,24.14,21.49
1917,20.79,23.17,26.75,30.05,31.33,30.91,29.34,28.33,28.63,27.50,24.10,21.50
1918,20.73,23.13,27.33,30.05,31.26,30.93,29.69,28.32,29.10,27.91,24.65,22.29
1919,22.55,24.11,27.19,30.04,31.72,30.65,29.38,28.65,28.80,27.93,24.39,21.89
1920,20.88,22.85,25.94,29.79,30.75,30.73,28.95,27.59,27.79,27.25,24.28,21.39
1921,20.76,22.52,26.03,30.16,31.33,30.94,29.56,27.98,28.32,27.42,24.26,22.64
1922,21.26,22.80,25.88,29.89,30.65,30.72,28.64,27.21,27.77,27.14,24.48,21.62
1923,21.26,22.72,27.09,30.39,30.98,30.76,29.03,27.89,28.79,27.60,24.30,21.76
1924,21.74,24.18,28.02,30.60,31.04,30.99,29.48,27.88,27.92,27.53,24.15,22.14
1925,19.58,22.01,27.41,30.39,31.43,31.07,29.66,28.34,29.03,27.89,25.03,21.67
1926,20.98,23.28,26.48,29.81,31.91,31.18,29.81,29.08,29.31,27.86,24.72,22.10
1927,21.76,23.50,26.81,29.88,31.49,31.18,29.47,28.19,28.86,28.54,24.88,22.00
1928,22.60,23.53,27.78,30.35,31.42,30.77,29.73,28.12,28.91,27.70,24.41,22.16
