Variable:,tas
Country:,Togo
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.33,28.54,29.03,28.77,27.45,26.19,25.17,24.95,25.45,26.52,26.92,26.06
1902,26.42,28.48,29.25,29.12,27.87,25.83,25.18,25.01,25.44,26.13,26.92,26.44
1903,26.81,28.64,29.38,28.92,27.81,26.21,25.17,24.98,25.48,26.52,26.92,26.44
1904,26.81,28.64,29.38,28.92,27.81,26.21,25.17,24.98,25.48,26.52,26.92,26.44
1905,25.67,26.18,28.03,28.68,27.73,25.59,25.26,24.42,25.44,26.41,27.87,27.26
1906,25.93,28.15,29.48,30.77,27.98,26.68,24.85,24.40,26.47,26.99,27.36,27.37
1907,26.65,26.84,28.46,28.41,28.58,26.09,25.64,24.78,25.83,28.03,27.08,25.38
1908,26.50,27.80,28.81,29.37,28.86,27.01,25.78,24.51,25.67,26.26,26.24,25.76
1909,26.66,29.49,31.28,28.84,27.43,24.79,24.12,23.32,25.48,25.39,27.16,26.44
1910,25.64,28.93,29.00,28.67,28.11,27.55,25.87,25.20,26.01,26.26,26.87,26.42
1911,26.35,28.21,29.08,28.86,27.43,25.91,25.18,24.87,25.40,26.35,27.07,25.54
1912,26.91,28.38,28.96,29.67,27.92,26.31,25.89,25.37,26.16,26.38,26.17,26.32
1913,27.08,28.63,27.57,28.54,28.45,27.73,26.83,26.66,27.25,26.40,26.39,26.13
1914,28.78,28.12,28.48,28.58,29.06,27.70,26.42,25.09,26.13,27.08,28.56,26.43
1915,26.29,28.22,29.55,28.62,27.76,25.88,25.20,24.96,25.34,26.23,26.69,26.14
1916,26.24,27.99,29.25,28.54,27.49,25.92,25.22,24.67,25.06,26.07,26.29,26.44
1917,26.81,28.64,28.87,28.57,27.38,25.90,25.17,24.98,25.11,26.13,26.13,26.30
1918,26.52,27.78,28.58,28.62,27.48,26.21,25.17,24.53,25.06,26.31,26.63,26.44
1919,26.81,28.64,29.38,28.92,27.81,26.21,25.17,24.98,25.48,26.52,26.92,26.44
1920,26.91,28.64,29.38,28.92,28.31,26.21,25.17,24.98,25.48,26.52,26.92,26.44
1921,25.96,28.64,29.38,28.92,28.60,26.21,25.17,24.98,25.48,26.52,26.92,26.44
1922,26.81,28.64,29.38,28.92,27.92,26.21,25.17,24.56,24.98,26.20,26.65,26.23
1923,27.38,27.95,28.76,27.31,27.62,26.22,25.01,24.20,25.26,26.40,26.82,27.14
1924,27.31,29.96,30.02,28.27,28.17,25.89,24.59,24.49,25.33,26.50,26.53,26.00
1925,24.30,27.59,29.68,29.30,27.82,24.93,24.83,24.58,25.28,25.42,26.87,25.79
1926,26.37,28.62,29.31,28.73,27.13,25.32,24.63,25.40,26.15,27.14,27.03,26.93
1927,25.03,28.16,27.71,28.60,27.24,25.30,24.92,23.75,25.23,25.65,26.49,25.89
1928,26.07,27.53,28.13,27.28,27.42,26.07,25.25,23.62,25.23,25.93,26.30,25.66
1929,25.80,27.04,28.12,28.23,27.55,25.14,25.26,24.20,25.46,25.43,25.70,24.58
1930,26.75,29.49,28.87,28.36,27.32,25.68,24.92,24.61,25.76,25.43,27.69,27.94
1931,27.61,28.68,29.47,29.37,27.98,26.24,25.70,25.58,24.81,26.37,27.25,27.90
1932,26.11,28.37,28.73,29.83,27.74,26.18,24.83,25.14,25.63,27.64,28.29,27.71
1933,27.70,29.67,29.92,28.89,27.43,25.56,25.23,24.70,26.00,26.05,27.12,27.03
1934,26.57,28.56,29.32,29.17,28.52,26.41,25.57,25.39,26.32,27.21,28.23,27.21
1935,27.08,29.59,31.54,30.20,28.25,25.91,25.28,24.75,25.65,27.06,27.38,27.52
1936,26.69,29.44,30.79,28.47,27.43,25.61,24.67,24.02,24.80,26.48,27.68,26.11
1937,26.73,29.07,30.80,30.34,29.30,27.43,26.05,25.29,26.06,27.73,28.76,28.32
1938,28.11,30.48,29.51,30.37,29.68,28.01,26.06,25.24,26.43,28.01,29.07,27.50
1939,27.14,28.86,30.48,28.71,28.28,27.02,26.09,25.16,25.67,27.11,28.14,27.93
1940,27.39,28.64,29.38,28.92,28.21,26.21,25.17,24.98,25.48,26.52,26.92,26.44
1941,27.43,28.23,30.30,29.29,28.42,26.46,25.58,25.53,26.40,27.75,27.99,27.33
1942,26.29,29.23,29.85,29.40,27.68,26.83,25.63,24.69,26.63,27.08,28.06,26.48
1943,26.29,28.40,29.34,28.57,27.39,26.02,25.17,24.69,25.47,26.67,27.23,27.44
1944,26.22,28.17,29.00,28.88,28.81,26.75,25.95,25.27,25.99,27.19,27.55,27.24
1945,27.26,27.96,28.70,28.82,28.08,26.36,25.50,24.64,25.85,26.32,27.08,25.96
1946,27.11,27.81,29.97,28.99,28.18,25.82,24.98,24.28,25.12,26.07,27.26,25.76
1947,26.31,30.23,29.02,28.83,28.65,26.48,25.70,25.21,25.68,26.78,26.65,26.68
1948,25.62,28.41,28.68,28.42,27.62,25.44,25.24,24.91,25.86,26.87,26.48,26.27
1949,26.75,27.84,30.12,29.33,28.11,26.76,25.75,24.92,25.97,27.27,27.74,26.71
1950,26.75,27.32,28.36,28.37,28.07,26.76,25.08,24.26,25.03,26.10,26.45,26.24
1951,27.57,28.96,29.66,29.32,27.60,26.94,25.39,25.14,26.20,26.65,26.88,26.61
1952,27.46,28.59,29.60,29.45,27.72,26.21,25.19,24.68,25.23,26.30,26.83,26.72
1953,27.69,28.54,29.05,29.23,27.03,25.67,24.79,24.63,25.58,26.37,27.08,26.16
1954,26.67,28.54,29.05,28.15,27.27,25.57,24.22,24.14,25.34,25.83,26.92,26.70
1955,26.79,28.45,28.78,28.06,27.40,25.57,24.49,24.58,25.02,26.05,26.67,26.02
1956,26.40,28.42,28.58,28.56,27.75,25.46,24.28,24.30,25.39,26.19,26.97,26.20
1957,26.17,27.85,29.07,28.42,27.33,26.07,25.26,24.86,25.36,26.01,26.97,26.74
1958,27.61,27.72,29.83,28.81,27.63,25.45,24.62,24.98,25.45,26.61,27.42,26.77
1959,27.06,28.56,29.42,28.90,27.46,26.19,25.17,24.63,25.37,26.50,26.95,26.18
1960,26.79,28.38,28.87,28.06,27.66,25.83,25.04,25.14,25.47,26.39,26.61,26.76
1961,26.97,27.69,29.38,28.44,27.90,25.74,24.57,24.26,24.97,26.52,26.76,26.14
1962,26.64,28.33,29.22,28.53,27.27,25.13,25.04,24.49,25.12,26.23,26.77,26.22
1963,27.06,28.83,28.60,28.46,27.34,26.34,25.44,25.28,26.11,26.32,26.37,26.69
1964,26.92,28.49,29.62,28.58,27.33,25.76,24.48,24.12,24.99,25.91,26.58,26.62
1965,26.94,28.17,29.04,28.25,27.55,25.78,25.14,25.02,25.46,26.65,26.75,26.09
1966,26.93,28.17,29.51,28.88,27.80,26.06,25.88,25.17,25.39,26.40,26.95,26.49
1967,26.11,28.74,28.82,28.39,27.48,25.69,24.96,24.62,25.15,26.32,26.71,26.70
1968,26.09,28.58,28.99,28.00,27.48,25.78,25.42,25.72,25.47,26.67,26.95,27.16
1969,26.91,29.17,29.87,29.17,28.26,26.66,25.26,25.14,25.52,26.32,26.49,27.16
1970,27.48,29.07,29.49,29.59,27.82,26.76,24.72,24.63,25.09,26.43,26.69,26.06
1971,25.81,27.76,28.79,28.32,27.34,25.66,24.40,23.78,24.48,25.82,26.36,25.58
1972,26.60,28.29,28.59,27.72,27.11,25.52,25.14,24.57,25.41,26.07,26.49,26.48
1973,27.38,29.41,29.30,29.19,27.96,26.19,25.43,24.81,25.03,26.24,26.16,26.11
1974,25.81,27.83,28.95,28.33,27.03,25.82,24.43,24.54,24.46,25.64,26.21,25.48
1975,25.75,27.70,28.72,27.95,26.93,25.70,24.30,24.00,24.23,25.61,26.20,25.70
1976,26.00,27.72,28.34,27.93,27.14,25.10,24.55,24.12,25.22,25.11,25.89,26.08
1977,27.11,28.09,29.04,29.32,27.99,26.04,25.18,24.60,25.36,26.15,26.67,25.82
1978,27.07,29.11,28.57,27.42,26.98,25.52,24.28,24.70,25.01,26.03,26.17,26.76
1979,27.58,28.21,29.46,28.85,27.29,25.45,24.88,25.20,25.34,26.44,26.79,25.64
1980,27.52,28.60,29.21,29.20,27.33,26.18,24.80,24.70,25.64,26.02,26.49,25.19
1981,26.45,29.31,29.97,29.59,27.75,26.81,25.26,25.38,26.09,27.42,27.01,27.48
1982,27.11,28.75,29.55,29.26,27.66,26.64,25.49,25.18,26.27,26.77,26.81,26.95
1983,25.57,29.60,30.38,30.55,28.91,26.50,25.72,25.41,26.18,27.58,27.84,27.17
1984,27.41,28.97,29.90,29.04,27.83,26.70,26.08,26.21,26.03,26.99,27.84,26.39
1985,28.02,28.69,30.23,29.25,28.00,26.58,25.19,25.61,25.70,27.11,27.84,25.98
1986,27.13,29.54,29.46,29.66,28.61,26.64,24.96,25.18,25.58,26.73,26.70,25.92
1987,27.51,29.00,29.05,29.99,28.76,26.64,26.00,25.50,25.87,26.51,27.37,26.45
1988,26.98,28.94,29.69,28.55,28.30,26.00,24.71,24.47,25.22,26.59,26.98,25.81
1989,25.28,27.58,28.51,29.02,27.86,26.08,24.89,24.60,25.17,26.00,27.17,26.25
1990,27.24,28.12,29.89,28.83,27.71,26.52,24.74,24.92,25.45,26.62,27.38,26.88
1991,27.34,29.12,29.47,28.25,27.16,26.46,25.07,24.65,25.73,25.59,26.55,26.02
1992,25.84,28.51,29.92,29.37,27.41,25.89,24.73,24.43,24.89,26.20,26.21,26.89
1993,25.90,28.74,28.56,29.31,27.10,26.31,24.89,24.99,25.37,26.61,27.45,26.57
1994,26.80,28.71,29.78,28.81,27.60,26.15,24.93,24.71,25.36,25.87,26.43,25.71
1995,26.50,28.46,29.41,28.97,27.83,26.50,25.39,25.10,25.58,26.30,26.69,26.93
1996,27.63,28.96,29.64,28.72,27.91,26.20,25.36,24.82,24.99,26.10,26.71,27.02
1997,27.73,28.20,28.94,28.47,27.05,25.87,25.16,25.12,26.17,26.79,27.24,26.86
1998,27.13,29.72,30.56,30.47,28.51,26.62,25.57,24.96,25.55,26.55,27.53,27.01
1999,27.46,28.31,29.49,28.67,28.04,26.92,25.21,24.70,24.92,25.92,27.10,26.82
2000,28.28,27.78,29.61,29.51,28.46,26.28,25.26,24.72,25.65,26.49,27.40,26.95
2001,27.08,28.56,30.11,29.32,28.53,26.31,25.46,24.97,25.56,27.02,27.78,27.75
2002,26.72,28.57,30.28,29.36,28.61,26.87,26.04,25.43,25.83,26.33,27.56,27.21
2003,27.69,29.86,30.21,28.81,28.63,26.18,25.39,25.27,25.80,27.35,27.53,27.03
2004,27.43,28.99,29.82,28.96,27.53,26.16,25.27,25.26,26.05,26.93,27.53,27.64
2005,26.78,30.32,30.71,29.93,28.17,26.38,25.48,25.12,26.21,26.93,27.88,27.73
2006,27.56,29.55,29.97,30.11,27.83,27.21,26.27,25.34,25.74,27.02,26.93,26.73
2007,26.52,29.31,30.21,29.34,28.19,26.78,25.80,25.22,26.03,27.17,27.91,27.23
2008,25.42,28.51,29.86,29.48,28.02,26.52,25.42,25.25,25.86,26.99,27.36,27.58
2009,27.35,29.79,30.27,28.84,28.36,26.80,25.80,25.37,26.12,26.90,27.05,27.70
2010,28.18,30.26,30.83,30.13,28.74,27.15,25.80,25.49,25.77,26.64,27.66,27.07
2011,26.99,29.21,30.37,29.68,28.55,27.11,25.86,25.47,26.00,26.88,27.42,26.32
2012,27.12,28.89,29.93,29.21,27.65,26.44,25.27,25.09,25.79,26.89,27.94,27.32
2013,27.38,29.42,30.59,28.90,27.94,26.58,25.56,25.04,26.16,26.90,27.93,26.94
2014,28.20,29.27,29.81,29.37,28.12,27.19,26.18,25.36,25.86,27.12,27.85,27.15
2015,26.56,29.75,29.88,29.83,29.43,27.45,26.14,25.63,26.25,27.16,27.88,26.34
2016,27.68,29.67,30.38,29.94,28.70,26.69,25.86,25.66,26.11,27.47,28.35,28.25
2017,27.62,29.51,30.54,30.02,28.35,26.65,25.98,25.31,26.03,27.34,27.91,27.38
2018,27.31,29.87,29.97,29.66,28.63,26.90,25.89,25.56,26.14,27.13,27.95,27.22
2019,28.46,28.64,30.44,28.92,27.81,26.21,26.07,25.83,26.37,26.26,28.11,27.52
2020,27.59,29.63,30.77,29.99,28.94,27.28,25.77,25.26,25.97,26.80,27.88,28.10
2021,28.72,29.57,30.25,30.14,29.11,27.14,26.06,25.82,26.25,27.52,28.23,27.93
