Variable:,tas
Country:,Tunisia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.64,10.24,14.73,18.70,19.54,26.21,28.35,27.78,26.09,20.45,15.13,11.30
1902,9.82,13.14,14.45,18.76,19.09,24.52,28.79,28.74,25.67,20.82,15.15,11.15
1903,10.85,11.38,14.11,16.47,20.72,23.64,26.64,27.54,25.22,21.52,14.72,11.50
1904,9.60,12.75,14.31,17.97,21.28,25.98,28.52,28.12,24.70,20.36,13.94,11.03
1905,8.22,9.46,14.31,18.27,20.37,25.18,28.09,28.38,26.06,19.39,15.81,11.00
1906,10.15,10.15,14.12,16.89,20.43,25.20,27.36,28.31,25.08,20.38,15.52,10.08
1907,8.61,9.55,12.34,16.41,20.66,24.59,27.07,28.24,25.07,21.51,16.50,12.38
1908,10.55,11.04,13.48,16.00,22.42,24.85,27.46,27.85,24.89,21.13,15.38,10.96
1909,9.08,10.07,14.60,17.43,20.35,24.44,26.36,27.59,25.23,21.37,15.36,12.55
1910,9.98,11.22,13.39,17.13,19.37,24.38,26.99,27.40,23.35,22.63,15.51,12.30
1911,8.55,10.94,14.31,16.63,19.78,25.78,28.50,29.63,26.40,22.24,16.01,13.22
1912,11.16,14.22,15.97,17.03,21.54,24.72,28.03,27.52,23.70,20.68,13.80,10.85
1913,11.23,11.30,14.83,17.08,20.85,24.79,26.87,27.97,26.48,21.82,17.32,11.84
1914,9.18,12.30,15.29,18.79,21.30,24.46,27.10,27.17,24.69,20.37,15.22,11.73
1915,10.31,11.29,14.57,16.70,21.14,25.37,28.03,28.36,24.40,19.79,15.41,12.77
1916,10.19,12.16,15.18,17.78,21.77,26.12,28.75,27.98,24.09,20.69,15.35,12.37
1917,9.62,11.68,13.76,16.54,21.74,26.15,27.94,29.35,26.68,20.42,13.74,9.09
1918,10.06,10.67,13.12,17.04,21.02,24.60,27.59,27.47,27.11,19.48,14.85,11.19
1919,9.72,12.14,14.68,17.27,19.42,25.05,27.40,27.83,25.78,20.37,15.75,10.48
1920,10.70,11.98,14.45,18.13,22.42,25.68,28.71,28.45,25.41,21.39,14.72,11.57
1921,10.66,11.91,13.73,16.30,21.05,24.44,28.49,28.11,26.54,21.78,14.95,10.73
1922,9.88,12.40,15.41,18.76,22.18,26.25,27.91,29.44,24.63,21.65,14.06,10.16
