Variable:,tas
Country:,Zimbabwe
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.73,23.95,23.38,21.66,18.61,15.39,15.24,17.99,20.30,23.38,24.06,23.54
1902,23.73,23.61,22.84,22.59,18.30,16.24,16.81,18.48,22.31,22.38,24.62,25.04
1903,24.38,24.32,23.67,23.02,20.28,16.22,15.70,18.46,21.58,24.10,24.03,23.42
1904,23.00,22.43,21.50,21.55,17.80,16.91,14.96,17.55,19.47,23.67,25.03,22.75
1905,24.25,23.47,21.81,20.83,18.18,17.38,14.78,18.64,22.38,25.68,24.72,24.91
1906,25.23,22.53,22.58,20.51,18.85,15.98,15.28,17.19,20.88,22.80,22.71,23.68
1907,23.67,22.82,22.59,20.73,18.41,15.47,13.71,16.03,20.43,23.45,23.73,23.47
1908,23.51,23.05,22.75,21.25,17.32,16.69,15.43,18.79,22.07,25.12,24.49,24.11
1909,23.63,23.44,22.42,20.19,18.32,15.13,15.83,18.52,20.78,23.85,23.96,24.62
1910,23.54,23.07,22.25,20.34,17.34,15.50,15.03,17.78,20.39,22.73,22.49,23.52
1911,22.94,22.58,21.56,19.99,17.56,14.27,14.14,16.88,19.66,24.54,24.63,25.95
1912,24.42,24.43,22.04,22.32,20.29,15.31,14.57,16.89,20.88,23.17,26.51,23.92
1913,24.37,24.00,22.36,21.45,18.66,15.25,16.25,18.16,21.40,24.53,24.88,25.89
1914,24.99,23.19,23.67,23.06,19.16,16.60,15.19,17.57,22.83,25.15,25.24,24.52
1915,24.22,23.24,22.31,21.98,17.84,16.15,16.65,17.84,21.32,24.58,25.01,24.48
1916,23.92,25.02,23.61,21.41,17.85,16.32,16.01,17.23,21.67,25.42,24.28,23.97
1917,23.84,24.13,23.11,21.25,19.37,16.80,15.80,17.40,20.63,24.60,24.79,22.69
1918,22.15,22.80,22.07,19.23,16.98,15.15,15.68,15.64,21.48,25.20,24.27,23.77
1919,23.78,22.99,22.44,21.88,16.61,15.57,15.83,16.95,20.90,23.11,23.87,23.94
1920,24.98,23.89,22.38,20.17,18.76,15.83,15.64,17.47,22.33,24.08,25.02,24.80
1921,24.34,23.97,23.34,21.00,17.95,16.76,14.78,16.70,20.61,24.22,23.86,23.66
1922,25.28,23.88,24.41,21.67,18.88,17.36,16.04,19.53,21.55,22.96,25.02,25.10
1923,23.75,23.26,22.57,21.01,18.34,16.64,15.83,18.18,20.91,24.43,26.27,24.61
1924,24.62,23.44,23.55,20.10,18.82,16.60,15.03,17.09,21.12,23.43,24.25,23.18
1925,22.99,23.02,22.61,21.43,17.59,16.35,14.84,17.00,19.17,22.94,24.98,25.37
1926,24.54,24.82,22.71,20.92,18.36,15.72,14.56,16.74,21.30,24.15,24.74,24.16
